#"T"	"Points:0"	"Points:1"	"Points:2"
0.98897	0	0	0
0.98905	0.01	0	0
0.98931	0.02	0	0
0.98972	0.03	0	0
0.99031	0.04	0	0
0.99105	0.05	0	0
0.99196	0.06	0	0
0.99302	0.07	0	0
0.99423	0.08	0	0
0.99559	0.09	0	0
0.99709	0.1	0	0
0.99873	0.11	0	0
1.0005	0.12	0	0
1.0024	0.13	0	0
1.0044	0.14	0	0
1.0065	0.15	0	0
1.0087	0.16	0	0
1.011	0.17	0	0
1.0133	0.18	0	0
1.0158	0.19	0	0
1.0183	0.2	0	0
1.0208	0.21	0	0
1.0234	0.22	0	0
1.026	0.23	0	0
1.0287	0.24	0	0
1.0313	0.25	0	0
1.034	0.26	0	0
1.0366	0.27	0	0
1.0392	0.28	0	0
1.0418	0.29	0	0
1.0443	0.3	0	0
1.0468	0.31	0	0
1.0492	0.32	0	0
1.0516	0.33	0	0
1.0538	0.34	0	0
1.056	0.35	0	0
1.0581	0.36	0	0
1.0601	0.37	0	0
1.0619	0.38	0	0
1.0637	0.39	0	0
1.0653	0.4	0	0
1.0668	0.41	0	0
1.0681	0.42	0	0
1.0693	0.43	0	0
1.0703	0.44	0	0
1.0712	0.45	0	0
1.072	0.46	0	0
1.0725	0.47	0	0
1.0729	0.48	0	0
1.0732	0.49	0	0
1.0733	0.5	0	0
0.98889	0	0.01	0
0.98897	0.01	0.01	0
0.98922	0.02	0.01	0
0.98964	0.03	0.01	0
0.99023	0.04	0.01	0
0.99097	0.05	0.01	0
0.99188	0.06	0.01	0
0.99294	0.07	0.01	0
0.99416	0.08	0.01	0
0.99552	0.09	0.01	0
0.99702	0.1	0.01	0
0.99866	0.11	0.01	0
1.0004	0.12	0.01	0
1.0023	0.13	0.01	0
1.0043	0.14	0.01	0
1.0064	0.15	0.01	0
1.0086	0.16	0.01	0
1.0109	0.17	0.01	0
1.0133	0.18	0.01	0
1.0157	0.19	0.01	0
1.0182	0.2	0.01	0
1.0208	0.21	0.01	0
1.0234	0.22	0.01	0
1.026	0.23	0.01	0
1.0287	0.24	0.01	0
1.0313	0.25	0.01	0
1.034	0.26	0.01	0
1.0366	0.27	0.01	0
1.0392	0.28	0.01	0
1.0418	0.29	0.01	0
1.0444	0.3	0.01	0
1.0468	0.31	0.01	0
1.0493	0.32	0.01	0
1.0516	0.33	0.01	0
1.0539	0.34	0.01	0
1.0561	0.35	0.01	0
1.0582	0.36	0.01	0
1.0601	0.37	0.01	0
1.062	0.38	0.01	0
1.0637	0.39	0.01	0
1.0654	0.4	0.01	0
1.0668	0.41	0.01	0
1.0682	0.42	0.01	0
1.0694	0.43	0.01	0
1.0704	0.44	0.01	0
1.0713	0.45	0.01	0
1.072	0.46	0.01	0
1.0726	0.47	0.01	0
1.073	0.48	0.01	0
1.0733	0.49	0.01	0
1.0734	0.5	0.01	0
0.98863	0	0.02	0
0.98872	0.01	0.02	0
0.98897	0.02	0.02	0
0.98939	0.03	0.02	0
0.98998	0.04	0.02	0
0.99073	0.05	0.02	0
0.99164	0.06	0.02	0
0.99271	0.07	0.02	0
0.99394	0.08	0.02	0
0.99531	0.09	0.02	0
0.99682	0.1	0.02	0
0.99847	0.11	0.02	0
1.0002	0.12	0.02	0
1.0021	0.13	0.02	0
1.0042	0.14	0.02	0
1.0063	0.15	0.02	0
1.0085	0.16	0.02	0
1.0108	0.17	0.02	0
1.0132	0.18	0.02	0
1.0157	0.19	0.02	0
1.0182	0.2	0.02	0
1.0207	0.21	0.02	0
1.0233	0.22	0.02	0
1.026	0.23	0.02	0
1.0286	0.24	0.02	0
1.0313	0.25	0.02	0
1.034	0.26	0.02	0
1.0366	0.27	0.02	0
1.0393	0.28	0.02	0
1.0419	0.29	0.02	0
1.0444	0.3	0.02	0
1.0469	0.31	0.02	0
1.0494	0.32	0.02	0
1.0517	0.33	0.02	0
1.054	0.34	0.02	0
1.0562	0.35	0.02	0
1.0583	0.36	0.02	0
1.0603	0.37	0.02	0
1.0622	0.38	0.02	0
1.0639	0.39	0.02	0
1.0656	0.4	0.02	0
1.067	0.41	0.02	0
1.0684	0.42	0.02	0
1.0696	0.43	0.02	0
1.0706	0.44	0.02	0
1.0715	0.45	0.02	0
1.0723	0.46	0.02	0
1.0729	0.47	0.02	0
1.0733	0.48	0.02	0
1.0735	0.49	0.02	0
1.0736	0.5	0.02	0
0.98821	0	0.03	0
0.9883	0.01	0.03	0
0.98855	0.02	0.03	0
0.98898	0.03	0.03	0
0.98957	0.04	0.03	0
0.99033	0.05	0.03	0
0.99125	0.06	0.03	0
0.99233	0.07	0.03	0
0.99357	0.08	0.03	0
0.99495	0.09	0.03	0
0.99648	0.1	0.03	0
0.99814	0.11	0.03	0
0.99993	0.12	0.03	0
1.0019	0.13	0.03	0
1.0039	0.14	0.03	0
1.006	0.15	0.03	0
1.0083	0.16	0.03	0
1.0106	0.17	0.03	0
1.013	0.18	0.03	0
1.0155	0.19	0.03	0
1.018	0.2	0.03	0
1.0206	0.21	0.03	0
1.0233	0.22	0.03	0
1.0259	0.23	0.03	0
1.0286	0.24	0.03	0
1.0313	0.25	0.03	0
1.034	0.26	0.03	0
1.0367	0.27	0.03	0
1.0393	0.28	0.03	0
1.042	0.29	0.03	0
1.0445	0.3	0.03	0
1.0471	0.31	0.03	0
1.0495	0.32	0.03	0
1.0519	0.33	0.03	0
1.0542	0.34	0.03	0
1.0565	0.35	0.03	0
1.0586	0.36	0.03	0
1.0606	0.37	0.03	0
1.0625	0.38	0.03	0
1.0642	0.39	0.03	0
1.0659	0.4	0.03	0
1.0674	0.41	0.03	0
1.0688	0.42	0.03	0
1.07	0.43	0.03	0
1.071	0.44	0.03	0
1.0719	0.45	0.03	0
1.0727	0.46	0.03	0
1.0733	0.47	0.03	0
1.0737	0.48	0.03	0
1.0739	0.49	0.03	0
1.074	0.5	0.03	0
0.98762	0	0.04	0
0.98771	0.01	0.04	0
0.98797	0.02	0.04	0
0.9884	0.03	0.04	0
0.989	0.04	0.04	0
0.98977	0.05	0.04	0
0.9907	0.06	0.04	0
0.9918	0.07	0.04	0
0.99305	0.08	0.04	0
0.99445	0.09	0.04	0
0.99599	0.1	0.04	0
0.99768	0.11	0.04	0
0.9995	0.12	0.04	0
1.0014	0.13	0.04	0
1.0035	0.14	0.04	0
1.0057	0.15	0.04	0
1.0079	0.16	0.04	0
1.0103	0.17	0.04	0
1.0128	0.18	0.04	0
1.0153	0.19	0.04	0
1.0178	0.2	0.04	0
1.0205	0.21	0.04	0
1.0231	0.22	0.04	0
1.0259	0.23	0.04	0
1.0286	0.24	0.04	0
1.0313	0.25	0.04	0
1.034	0.26	0.04	0
1.0367	0.27	0.04	0
1.0394	0.28	0.04	0
1.0421	0.29	0.04	0
1.0447	0.3	0.04	0
1.0473	0.31	0.04	0
1.0498	0.32	0.04	0
1.0522	0.33	0.04	0
1.0545	0.34	0.04	0
1.0568	0.35	0.04	0
1.0589	0.36	0.04	0
1.061	0.37	0.04	0
1.0629	0.38	0.04	0
1.0647	0.39	0.04	0
1.0664	0.4	0.04	0
1.0679	0.41	0.04	0
1.0693	0.42	0.04	0
1.0705	0.43	0.04	0
1.0716	0.44	0.04	0
1.0725	0.45	0.04	0
1.0732	0.46	0.04	0
1.0738	0.47	0.04	0
1.0743	0.48	0.04	0
1.0745	0.49	0.04	0
1.0746	0.5	0.04	0
0.98685	0	0.05	0
0.98694	0.01	0.05	0
0.98721	0.02	0.05	0
0.98764	0.03	0.05	0
0.98826	0.04	0.05	0
0.98904	0.05	0.05	0
0.98999	0.06	0.05	0
0.9911	0.07	0.05	0
0.99237	0.08	0.05	0
0.9938	0.09	0.05	0
0.99537	0.1	0.05	0
0.99709	0.11	0.05	0
0.99894	0.12	0.05	0
1.0009	0.13	0.05	0
1.003	0.14	0.05	0
1.0052	0.15	0.05	0
1.0075	0.16	0.05	0
1.0099	0.17	0.05	0
1.0124	0.18	0.05	0
1.015	0.19	0.05	0
1.0176	0.2	0.05	0
1.0203	0.21	0.05	0
1.023	0.22	0.05	0
1.0257	0.23	0.05	0
1.0285	0.24	0.05	0
1.0313	0.25	0.05	0
1.0341	0.26	0.05	0
1.0368	0.27	0.05	0
1.0396	0.28	0.05	0
1.0423	0.29	0.05	0
1.045	0.3	0.05	0
1.0476	0.31	0.05	0
1.0501	0.32	0.05	0
1.0526	0.33	0.05	0
1.0549	0.34	0.05	0
1.0572	0.35	0.05	0
1.0594	0.36	0.05	0
1.0615	0.37	0.05	0
1.0634	0.38	0.05	0
1.0653	0.39	0.05	0
1.067	0.4	0.05	0
1.0685	0.41	0.05	0
1.0699	0.42	0.05	0
1.0712	0.43	0.05	0
1.0723	0.44	0.05	0
1.0732	0.45	0.05	0
1.074	0.46	0.05	0
1.0746	0.47	0.05	0
1.075	0.48	0.05	0
1.0753	0.49	0.05	0
1.0754	0.5	0.05	0
0.98591	0	0.06	0
0.986	0.01	0.06	0
0.98627	0.02	0.06	0
0.98672	0.03	0.06	0
0.98734	0.04	0.06	0
0.98814	0.05	0.06	0
0.98911	0.06	0.06	0
0.99025	0.07	0.06	0
0.99155	0.08	0.06	0
0.993	0.09	0.06	0
0.99461	0.1	0.06	0
0.99636	0.11	0.06	0
0.99825	0.12	0.06	0
1.0003	0.13	0.06	0
1.0024	0.14	0.06	0
1.0047	0.15	0.06	0
1.007	0.16	0.06	0
1.0095	0.17	0.06	0
1.012	0.18	0.06	0
1.0146	0.19	0.06	0
1.0173	0.2	0.06	0
1.02	0.21	0.06	0
1.0228	0.22	0.06	0
1.0256	0.23	0.06	0
1.0284	0.24	0.06	0
1.0313	0.25	0.06	0
1.0341	0.26	0.06	0
1.0369	0.27	0.06	0
1.0397	0.28	0.06	0
1.0425	0.29	0.06	0
1.0452	0.3	0.06	0
1.0479	0.31	0.06	0
1.0505	0.32	0.06	0
1.053	0.33	0.06	0
1.0554	0.34	0.06	0
1.0578	0.35	0.06	0
1.06	0.36	0.06	0
1.0621	0.37	0.06	0
1.0641	0.38	0.06	0
