#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
-0.0093758 1.8596 -0.008539 0.0020384 -7.3092e-25 0.36959 0.87972 0.5
0.0052069 1.8495 -0.0087932 0.0022052 -1.0734e-24 0.37572 0.87044 0.5
0.0026112 1.843 -0.0089397 0.0021855 -2.2652e-25 0.36793 0.86943 0.5
0.28278 1.9887 -0.00031195 0.00026977 -6.345e-24 1.1365 0.62421 0.5
0.28411 1.9874 -0.00032542 0.00029842 -4.8236e-23 1.1523 0.60801 0.5
0.28294 1.9788 -0.00053823 0.00050139 3.3089e-23 1.1302 0.60424 0.5
1.1675 1.18 0.006847 -0.0088476 4.2539e-23 0.20522 0.61934 0.5
1.1393 1.1927 0.0069881 -0.0088837 2.5755e-23 0.20426 0.62674 0.5
1.0696 1.2067 0.0069087 -0.0088925 -1.1533e-23 0.21262 0.62426 0.5
-0.17169 1.8724 -0.0077665 0.000794 2.1938e-24 0.25552 0.91717 0.5
-0.1939 1.889 -0.0071307 0.0007177 -3.7163e-24 0.25235 0.92653 0.5
-0.17897 1.8864 -0.0073379 0.0008148 3.9942e-24 0.2606 0.92281 0.5
0.32932 1.6555 0.0018845 0.0026251 -5.331e-24 0.76171 0.30067 0.5
0.3339 1.6429 0.0021507 0.0024357 2.9033e-23 0.75092 0.28719 0.5
0.33459 1.6389 0.0020822 0.0024736 -1.1247e-22 0.74261 0.29735 0.5
0.30743 1.6928 -0.00050774 0.0037968 -1.9286e-23 0.73028 0.44563 0.5
0.3092 1.684 -0.00049526 0.0037624 1.033e-23 0.7156 0.44972 0.5
0.30441 1.6982 -0.00078495 0.0038906 -3.7229e-23 0.72666 0.45957 0.5
0.42242 1.4667 0.00062165 -0.0021379 -1.1795e-23 0.34459 0.6432 0.5
0.44042 1.4537 0.0010707 -0.0026181 -3.862e-23 0.33451 0.6428 0.5
0.41463 1.4731 0.00034836 -0.0019877 4.6843e-25 0.34039 0.6508 0.5
0.28477 1.7428 -0.002366 0.0042787 -4.3334e-23 0.73223 0.53083 0.5
0.28466 1.7473 -0.0022897 0.0042539 -1.0776e-23 0.74239 0.52641 0.5
0.28961 1.7302 -0.0020193 0.0042275 1.136e-23 0.72862 0.5147 0.5
0.61576 1.1569 0.0011855 -0.0016028 1.8869e-23 0.38842 0.096132 0.5
0.64016 1.1324 0.00090539 -0.0015417 -3.0171e-24 0.37238 0.096923 0.5
0.62307 1.1507 0.0011269 -0.001757 -5.0052e-24 0.38388 0.10598 0.5
0.49732 1.3582 0.0035136 -0.0037155 -6.5946e-23 0.4429 0.40067 0.5
0.48961 1.3635 0.0034864 -0.0034611 4.7639e-23 0.45196 0.38981 0.5
0.50436 1.3481 0.0035502 -0.0038797 3.9199e-23 0.4419 0.38835 0.5
0.27537 1.5336 -0.0033242 -0.0029695 -4.5824e-24 0.2053 0.7731 0.5
0.25804 1.5408 -0.0035982 -0.002934 9.6963e-24 0.20248 0.77752 0.5
0.25009 1.5471 -0.003876 -0.00258 9.7695e-24 0.212 0.77663 0.5
0.28262 1.8916 -0.0015473 0.0023679 8.5576e-23 1.0029 0.51167 0.5
0.28354 1.8815 -0.0015233 0.0025273 2.1474e-23 0.99173 0.49825 0.5
0.28176 1.8874 -0.0016595 0.0024822 1.083e-23 0.98816 0.51857 0.5
0.36962 1.5133 -0.00034647 -0.00010948 -1.7853e-23 0.4132 0.61105 0.5
0.38615 1.496 0.00015643 -0.0006977 3.8916e-23 0.40067 0.60905 0.5
0.37445 1.5095 -0.00031247 -0.00028359 2.5046e-23 0.40384 0.61697 0.5
0.26715 1.9923 -0.00031969 0.00019225 5.529e-23 1.0021 0.72955 0.5
0.26579 1.9895 -0.00044383 0.00028149 -2.2653e-23 0.98478 0.73501 0.5
0.26779 2 0 0 0 1.0037 0.74312 0.5
0.26351 1.7188 -0.0042427 0.0044 -2.2014e-24 0.61344 0.62111 0.5
0.27012 1.7044 -0.0039226 0.0043151 -1.2856e-23 0.60693 0.60998 0.5
0.26384 1.7105 -0.0042488 0.0043348 -5.0384e-23 0.6008 0.62294 0.5
0.298 1.9279 0.00030284 8.3661e-05 2.9056e-23 1.286 0.026111 0.5
0.29798 1.9296 0.00028104 0.0001485 1.3709e-22 1.2914 0.047832 0.5
0.29763 1.9367 0.000234 0.00010371 4.1864e-23 1.3092 0.037503 0.5
0.52682 1.4306 5.3117e-05 -0.0066324 2.9277e-23 0.01494 0.79092 0.5
0.59845 1.4122 0.00017301 -0.0065111 -1.138e-23 0.016063 0.78521 0.5
0.55928 1.4226 7.2598e-05 -0.0065943 -1.8797e-24 0.011738 0.78875 0.5
0.31494 1.7542 0.002348 0.00057479 1.316e-22 0.95283 0.05864 0.5
0.31655 1.7473 0.0024655 0.00041194 4.4866e-23 0.94415 0.041856 0.5
0.31719 1.74 0.0025257 0.00058928 4.8061e-23 0.9317 0.060047 0.5
0.32994 1.5921 -0.00060938 0.0025789 5.9241e-23 0.56245 0.52099 0.5
