#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
-0.21862 0.50025 1.1284 0 0 0 0 0
0.2295 0.50123 1.2186 0 0 0.01 0 0
0.69895 0.50419 1.3091 0 0 0.02 0 0
1.1894 0.5091 1.3998 0 0 0.03 0 0
1.7013 0.51595 1.4911 0 0 0.04 0 0
2.2363 0.52471 1.5828 0 0 0.05 0 0
2.796 0.53534 1.6752 0 0 0.06 0 0
3.3824 0.54781 1.7682 0 0 0.07 0 0
3.9977 0.56206 1.8616 0 0 0.08 0 0
4.6435 0.57804 1.9554 0 0 0.09 0 0
5.3214 0.59569 2.0493 0 0 0.1 0 0
6.0325 0.61493 2.1431 0 0 0.11 0 0
6.777 0.6357 2.2363 0 0 0.12 0 0
7.5545 0.6579 2.3286 0 0 0.13 0 0
8.3643 0.68145 2.4194 0 0 0.14 0 0
9.2049 0.70625 2.5084 0 0 0.15 0 0
10.074 0.73222 2.5948 0 0 0.16 0 0
10.969 0.75924 2.6781 0 0 0.17 0 0
11.887 0.78722 2.7578 0 0 0.18 0 0
12.825 0.81603 2.833 0 0 0.19 0 0
13.778 0.84557 2.9033 0 0 0.2 0 0
14.742 0.87572 2.9679 0 0 0.21 0 0
15.713 0.90636 3.0262 0 0 0.22 0 0
16.687 0.93736 3.0777 0 0 0.23 0 0
17.659 0.96862 3.1217 0 0 0.24 0 0
18.624 1 3.1577 0 0 0.25 0 0
19.577 1.0314 3.1852 0 0 0.26 0 0
20.516 1.0626 3.2038 0 0 0.27 0 0
21.434 1.0936 3.213 0 0 0.28 0 0
22.326 1.1243 3.2124 0 0 0.29 0 0
23.189 1.1544 3.202 0 0 0.3 0 0
24.017 1.184 3.1813 0 0 0.31 0 0
24.809 1.2128 3.1504 0 0 0.32 0 0
25.559 1.2408 3.1091 0 0 0.33 0 0
26.264 1.2678 3.0575 0 0 0.34 0 0
26.92 1.2937 2.9956 0 0 0.35 0 0
27.525 1.3186 2.9237 0 0 0.36 0 0
28.074 1.3421 2.842 0 0 0.37 0 0
28.565 1.3643 2.7508 0 0 0.38 0 0
28.996 1.3851 2.6506 0 0 0.39 0 0
29.364 1.4043 2.5417 0 0 0.4 0 0
29.668 1.422 2.4249 0 0 0.41 0 0
29.905 1.4379 2.3006 0 0 0.42 0 0
30.073 1.4522 2.1695 0 0 0.43 0 0
30.173 1.4647 2.0324 0 0 0.44 0 0
30.202 1.4753 1.89 0 0 0.45 0 0
30.161 1.4841 1.7431 0 0 0.46 0 0
30.048 1.4909 1.5926 0 0 0.47 0 0
29.865 1.4958 1.4394 0 0 0.48 0 0
29.61 1.4988 1.2844 0 0 0.49 0 0
29.285 1.4998 1.1284 0 0 0.5 0 0
28.891 1.4988 0.97241 0 0 0.51 0 0
28.428 1.4958 0.81735 0 0 0.52 0 0
27.898 1.4909 0.66413 0 0 0.53 0 0
27.303 1.4841 0.51365 0 0 0.54 0 0
26.646 1.4753 0.36679 0 0 0.55 0 0
25.927 1.4647 0.22439 0 0 0.56 0 0
25.151 1.4522 0.087266 0 0 0.57 0 0
24.32 1.4379 -0.04381 0 0 0.58 0 0
23.437 1.422 -0.16812 0 0 0.59 0 0
22.505 1.4043 -0.28499 0 0 0.6 0 0
21.53 1.3851 -0.39382 0 0 0.61 0 0
20.514 1.3643 -0.49406 0 0 0.62 0 0
19.462 1.3421 -0.58523 0 0 0.63 0 0
