#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
0.0050811 1.8279 5.3945e-05 -0.00091664 6.4295e-26 1.8429 0.39361 0.5
0.0025493 1.8332 6.3022e-05 -0.00093897 -4.8794e-25 1.8424 0.40878 0.5
-0.0061988 1.8467 7.075e-05 -0.0008857 4.4938e-25 1.8541 0.39964 0.5
0.22575 1.9439 0.00070893 0.00022032 -4.6354e-23 -0.47997 1.8246 0.5
0.22716 1.9316 0.00080916 0.00027212 1.2864e-22 -0.49818 1.7965 0.5
0.22653 1.9477 0.00065205 0.00021663 -3.1595e-23 -0.51908 1.8223 0.5
0.013835 1.9284 0.00048474 -0.00099178 1.0611e-24 1.7408 0.86494 0.5
0.024463 1.9036 0.00058575 -0.0012128 -9.1542e-25 1.7253 0.85629 0.5
0.023578 1.9131 0.000571 -0.0011419 3.8787e-24 1.722 0.87557 0.5
0.30564 1.4512 -0.00072168 -4.3792e-05 -4.9558e-23 0.35418 1.3099 0.5
0.30856 1.4452 -0.00078805 -4.5765e-05 1.3718e-22 0.32831 1.3037 0.5
0.29812 1.4689 -0.00052554 -3.7515e-05 -1.1328e-22 0.33261 1.3264 0.5
0.20622 1.7896 0.0020309 -0.00050956 1.1557e-23 0.54816 1.6383 0.5
0.20192 1.8083 0.0020238 -0.00053432 -4.1698e-24 0.56544 1.6566 0.5
0.20466 1.7889 0.0020341 -0.00055104 9.2724e-23 0.57756 1.63 0.5
0.27527 1.5091 -0.00044814 -0.00028375 2.6207e-23 1.6185 0.49574 0.5
0.24803 1.5341 -0.00038837 -0.00042289 -6.7456e-24 1.6309 0.49859 0.5
0.26919 1.5141 -0.00044463 -0.00029373 -1.1465e-23 1.6257 0.48299 0.5
0.2413 1.6704 0.0014239 1.5482e-05 -4.18e-24 0.23995 1.5284 0.5
0.23903 1.6849 0.0015146 3.2174e-05 -6.7847e-23 0.22005 1.5462 0.5
0.23685 1.6918 0.0015697 8.4632e-07 5.6163e-23 0.24262 1.555 0.5
0.26223 1.6788 -0.00032506 0.00023071 1.8152e-22 -1.2477 0.30378 0.5
0.2634 1.6671 -0.00034726 0.00019791 7.1251e-23 -1.236 0.26761 0.5
0.26088 1.693 -0.00031418 0.00021628 -1.4742e-22 -1.2792 0.27823 0.5
0.20508 1.8835 0.0016204 -0.0001833 -4.9273e-23 0.30383 1.8 0.5
0.20471 1.8933 0.0015394 -0.00016414 7.8362e-23 0.28755 1.8156 0.5
0.20221 1.904 0.0014478 -0.00018753 1.601e-23 0.31842 1.8284 0.5
0.11768 1.9507 0.0007648 -0.00064643 -1.9109e-24 1.258 1.4873 0.5
0.12015 1.935 0.0009564 -0.00080869 2.2338e-23 1.2564 1.4689 0.5
0.12293 1.9334 0.00099318 -0.00081205 -4.9887e-23 1.234 1.4825 0.5
0.17292 1.6159 -0.00016198 -0.00089035 1.1521e-23 1.6721 0.5175 0.5
0.14609 1.6472 -7.8081e-05 -0.001035 1.1484e-23 1.6888 0.52472 0.5
0.15656 1.6341 -0.00012663 -0.00095339 2.9539e-23 1.6862 0.50986 0.5
0.28457 1.5078 -0.00014025 8.3177e-05 -9.6463e-23 0.075737 1.3345 0.5
0.28925 1.4917 -0.00028881 4.3624e-05 -4.9348e-24 0.099524 1.3228 0.5
0.29273 1.4806 -0.00040557 3.1954e-05 1.0706e-22 0.078376 1.3061 0.5
0.7702 1.1195 -0.0014217 0.0011643 -1.6038e-22 1.1658 0.81389 0.5
0.83804 1.0906 -0.0012072 0.0010078 -4.4376e-23 1.1664 0.79608 0.5
0.81689 1.0947 -0.0012592 0.0010132 -3.3835e-24 1.152 0.81106 0.5
0.26072 1.5222 -0.0004257 -0.00029242 -7.5087e-24 1.6478 0.43577 0.5
0.28342 1.5017 -0.00045538 -0.00016383 -6.6999e-24 1.6393 0.42443 0.5
0.2852 1.4992 -0.00046849 -0.00015129 -4.7375e-23 1.6346 0.43484 0.5
0.12121 1.7305 0.0008016 -0.0016612 1.8513e-23 1.5718 0.87126 0.5
0.11204 1.744 0.00081033 -0.0016916 2.6499e-24 1.5883 0.86476 0.5
0.1275 1.7179 0.0007502 -0.0016201 -1.8888e-23 1.5711 0.85792 0.5
0.23363 1.6832 0.0015882 -0.0002048 -1.7131e-22 0.40712 1.5377 0.5
0.23351 1.6855 0.0015988 -0.00018398 5.2219e-23 0.38982 1.5418 0.5
0.22909 1.7053 0.0017278 -0.00022191 3.7814e-23 0.40308 1.5649 0.5
0.26405 1.611 0.00040511 0.0004865 -1.5699e-22 -0.40872 1.2833 0.5
0.26774 1.5909 0.00026996 0.00042924 4.5734e-23 -0.4126 1.2511 0.5
0.26491 1.6082 0.00036388 0.00048213 1.1346e-22 -0.43809 1.2631 0.5
