#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
-0.014917 1.0167 -1.327e-05 4.9893e-06 0 1.5046 0.0047406 0
0.034073 1.0077 -2.7865e-05 -5.2628e-11 -0 1.5 0 0
-0.043049 1.0203 -3.5321e-05 3.1316e-11 0 1.5051 0 0
-0.86002 1.2226 -0.00034569 -2.9317e-10 0 1.5707 0 0
-0.90408 1.2378 -0.00038047 3.717e-10 0 1.5758 0 0
-0.87974 1.2292 -0.0003426 1.6699e-05 0 1.5727 0.0052716 0
-0.56606 1.1355 -0.00018128 1.9319e-10 0 1.5404 0 0
-0.62565 1.1515 -0.00020378 8.7377e-11 0 1.5455 0 0
-0.59593 1.1446 -0.00016599 1.7108e-05 0 1.544 0.0056562 0
-1.4129 1.3373 -0.00036956 -2.1851e-10 0 -0.70824 0 0
-1.4004 1.3149 -0.00032442 -2.4595e-10 0 -0.69032 0 0
-1.4068 1.3262 -0.00036337 -1.8742e-05 0 -0.69913 0.01737 0
-1.4671 1.4692 -0.00061262 -6.77e-06 0 -0.82759 0.018034 0
-1.4696 1.4782 -0.00061557 -5.4449e-10 0 -0.83664 0 0
-1.4641 1.46 -0.00059328 -5.6839e-10 0 -0.81798 0 0
-1.7359 1.8954 -0.00015952 1.0248e-10 0 1.9192 0 0
-1.7395 1.9023 -0.0001424 -8.021e-11 0 1.9242 0 0
-1.7387 1.8992 -0.00014901 -1.0022e-05 0 1.9222 0.0051684 0
-1.2675 1.3986 -0.00077656 9.5737e-06 0 1.6389 0.0057073 0
-1.2561 1.3924 -0.00077375 -1.0561e-09 0 1.6364 0 0
-1.2793 1.4047 -0.00079715 -2.7612e-10 0 1.6414 0 0
-0.6802 1.1666 -0.00022632 -1.2238e-10 0 1.5505 0 0
-0.66538 1.1631 -0.00020374 1.088e-05 0 1.5497 0.0051092 0
-1.5143 1.7445 -0.00053598 2.9941e-10 0 -1.2129 0 0
-1.5132 1.7332 -0.00055491 -2.9707e-10 0 -1.192 0 0
-1.5137 1.74 -0.00054449 1.4401e-05 0 -1.2043 0.024028 0
-1.4794 1.5137 -0.00065155 4.5507e-10 0 -0.87431 0 0
-1.4746 1.4961 -0.00063573 4.153e-10 0 -0.85542 0 0
-1.4773 1.5059 -0.00065022 -3.6392e-06 0 -0.86698 0.020634 0
-1.3451 1.4457 -0.00085569 5.2343e-06 0 1.6596 0.0055206 0
-1.3357 1.4393 -0.00085144 1.0118e-09 0 1.6566 0 0
-1.3546 1.4507 -0.0008672 -1.0815e-10 0 1.6616 0 0
-1.774 1.9818 -6.7403e-06 -5.856e-12 0 1.9848 0 0
-1.7764 1.9875 -3.352e-06 -0 0 1.9899 0 0
-1.7766 1.9876 -3.1271e-06 -1.2544e-06 0 1.99 0.0038215 0
-1.7034 1.8304 -0.00034424 -3.6724e-10 0 1.8737 0 0
-1.7073 1.8378 -0.00032213 3.3383e-10 0 1.8788 0 0
-1.7064 1.8337 -0.00033449 -1.3338e-05 0 1.8756 0.0051497 0
-1.5226 1.9736 -1.4623e-05 6.3667e-12 0 -1.8742 0 0
-1.5226 1.968 -2.1276e-05 -3.8738e-12 0 -1.8495 0 0
-1.5225 1.9716 -1.6841e-05 3.7566e-06 0 -1.8664 0.02599 0
-1.7149 1.8519 -0.0002804 -3.1255e-11 0 1.8889 0 0
-1.7182 1.8591 -0.00025826 1.1075e-10 0 1.8939 0 0
-1.7173 1.8548 -0.00027219 -1.2307e-05 0 1.8901 0.0049275 0
-1.5224 1.9497 -4.8813e-05 -1.7667e-11 0 -1.7762 0 0
-1.5224 1.9433 -6.0216e-05 2.1375e-11 0 -1.752 0 0
-1.5223 1.9469 -5.3857e-05 6.8622e-06 0 -1.7654 0.026604 0
-1.5198 1.844 -0.00030555 1.2236e-05 0 -1.4375 0.021333 0
-1.5202 1.8486 -0.00029334 -2.0818e-10 0 -1.4506 0 0
-1.5198 1.8402 -0.00031466 5.6373e-10 0 -1.4284 0 0
-1.5484 1.6138 -0.00087589 -0 0 1.7424 0 0
-1.5564 1.6217 -0.00086413 -2.2203e-10 0 1.7475 0 0
-1.5484 1.6133 -0.00087462 -5.4259e-06 0 1.7421 0.0028949 0
-0.8155 1.2083 -0.00031244 3.1364e-10 0 1.5657 0 0
-0.82811 1.2125 -0.00030513 1.9748e-05 0 1.567 0.0053073 0
-1.5006 1.6213 -0.00067338 -1.0906e-10 0 -1.0096 0 0
-1.4982 1.6066 -0.00067761 -4.3793e-10 0 -0.98998 0 0
-1.4995 1.6144 -0.00067809 6.229e-06 0 -1.0005 0.021692 0
-1.5913 1.6611 -0.00080022 -4.0689e-10 0 1.7677 0 0
-1.5983 1.6697 -0.00078386 -2.1968e-10 0 1.7727 0 0
-1.5969 1.6671 -0.00078614 -1.1436e-05 0 1.7717 0.0048045 0
-1.4469 1.4102 -0.0005259 -1.3904e-05 0 -0.7707 0.017604 0
-1.4512 1.4213 -0.00053646 2.7404e-10 0 -0.78097 0 0
-1.4428 1.4011 -0.00050279 -3.1731e-10 0 -0.76263 0 0
-1.2991 1.4168 -0.00081774 7.3783e-10 0 1.6465 0 0
-1.319 1.4285 -0.00083591 -1.6929e-10 0 1.6515 0 0
-1.3128 1.4248 -0.00082412 5.3984e-06 0 1.6501 0.0050818 0
-1.5215 1.8992 -0.00016018 1.1551e-05 0 -1.5974 0.025528 0
-1.5217 1.9032 -0.00015037 6.7002e-11 0 -1.6101 0 0
-1.5216 1.8957 -0.00016866 1.6332e-10 0 -1.5869 0 0
-1.5226 1.9895 -2.3446e-06 1.6732e-12 0 -1.9492 0 0
-1.5226 1.9842 -5.2918e-06 9.985e-13 0 -1.9241 0 0
-1.5226 1.9868 -3.8168e-06 1.545e-06 0 -1.9359 0.023137 0
-1.4407 1.5133 -0.00090911 -1.9153e-06 0 1.6909 0.00458 0
-1.428 1.504 -0.0009088 8.8234e-10 0 1.6869 0 0
-1.4441 1.516 -0.0009131 -3.7727e-10 0 1.6919 0 0
-1.7423 1.9087 -0.0001263 -6.0871e-11 0 1.9293 0 0
-1.7451 1.9153 -0.0001106 4.5753e-11 0 1.9343 0 0
-1.7444 1.9116 -0.0001195 -8.7096e-06 0 1.9311 0.0048121 0
-1.6421 1.729 -0.00063999 8.9613e-11 0 1.8081 0 0
-1.6482 1.7373 -0.00061785 8.192e-11 0 1.8131 0 0
-1.6465 1.7338 -0.00062524 -1.5334e-05 0 1.8111 0.005485 0
-1.5186 1.8138 -0.00038316 4.4675e-10 0 -1.3624 0 0
-1.5182 1.8045 -0.00040583 -3.3015e-10 0 -1.3407 0 0
-1.5182 1.8091 -0.00039483 1.1816e-05 0 -1.3513 0.018923 0
-1.2046 1.0997 3.7743e-05 1.9053e-11 0 -0.5507 0 0
-1.15 1.0673 5.6843e-05 3.3495e-11 0 -0.5337 0 0
-1.1746 1.0821 4.3612e-08 -9.4086e-06 0 -0.54108 0.018979 0
-1.4873 1.548 -0.0006734 -1.3655e-09 0 -0.91241 0 0
-1.4836 1.5317 -0.00066498 2.674e-10 0 -0.89331 0 0
-1.4867 1.5452 -0.00067256 1.8276e-07 0 -0.91087 0.015759 0
-1.7296 1.8814 -0.00019702 -5.1036e-11 0 1.9091 0 0
-1.7329 1.8885 -0.00017889 -6.7793e-11 0 1.9141 0 0
-1.7323 1.8852 -0.00018643 -1.1478e-05 0 1.9119 0.005475 0
-1.7484 1.9226 -9.3867e-05 -4.6018e-11 0 1.9394 0 0
-1.7516 1.9298 -7.953e-05 6.5802e-11 0 1.9444 0 0
-1.7517 1.9283 -8.2081e-05 -6.2739e-06 0 1.9437 0.0041207 0
-1.6048 1.6781 -0.00076506 -2.713e-10 0 1.7778 0 0
-1.6124 1.6867 -0.00074748 -2.9981e-10 0 1.7828 0 0
-1.6101 1.6831 -0.00075284 -1.2415e-05 0 1.7809 0.004945 0
-1.5059 1.5701 -0.00090549 -4.5455e-06 0 1.7194 0.0045017 0
-1.501 1.5658 -0.00090937 -1.5076e-11 0 1.7172 0 0
-1.5117 1.5755 -0.00090582 7.0538e-10 0 1.7222 0 0
-1.496 1.5924 -0.00068006 8.0865e-10 0 -0.97042 0 0
-1.4931 1.5771 -0.00067987 -6.5224e-10 0 -0.95097 0 0
-1.4947 1.5861 -0.00068242 3.5407e-06 0 -0.96193 0.01932 0
-1.5225 1.9626 -2.883e-05 -5.0527e-12 0 -1.8249 0 0
-1.5225 1.9562 -3.8137e-05 1.0708e-11 0 -1.8005 0 0
-1.5225 1.9614 -2.981e-05 4.499e-06 0 -1.8229 0.022541 0
-1.4133 1.4929 -0.00090492 2.373e-10 0 1.6818 0 0
-1.4167 1.4951 -0.00090258 4.5056e-07 0 1.6825 0.003674 0
-1.5082 1.6811 -0.00063078 1.0059e-05 0 -1.1005 0.020206 0
-1.5089 1.6868 -0.00062368 -3.9041e-10 0 -1.1098 0 0
-1.5074 1.6739 -0.00063754 6.1409e-10 0 -1.0895 0 0
-1.3963 1.4797 -0.00089076 8.1286e-07 0 1.6749 0.0051566 0
-1.3864 1.4727 -0.00088943 1.5579e-10 0 1.6717 0 0
-1.4021 1.4835 -0.00089964 -4.8584e-10 -0 1.6768 0 0
-1.2772 1.1601 -3.8767e-05 2.0974e-11 0 -0.58499 0 0
-1.2392 1.1298 4.6732e-06 -4.6847e-12 0 -0.56779 0 0
-1.2573 1.1443 -5.9995e-05 -1.7602e-05 0 -0.57588 0.018088 0
-1.7788 1.9931 -1.2113e-06 4.4939e-13 0 1.9949 0 0
-1.6872 1.8008 -0.000434 -1.1121e-10 0 1.8535 0 0
-1.6915 1.8081 -0.00041199 1.0058e-10 0 1.8586 0 0
-1.6904 1.8046 -0.00042201 -1.1328e-05 0 1.8562 0.0042376 0
-1.5195 1.8318 -0.00033674 -3.4774e-10 0 -1.4062 0 0
-1.519 1.8229 -0.00035927 -1.3576e-10 0 -1.3843 0 0
-1.5191 1.8276 -0.00034756 1.2966e-05 0 -1.3959 0.021058 0
-1.711 1.8448 -0.00030065 -2.0439e-10 0 1.8838 0 0
-1.713 1.8465 -0.00029582 -1.1099e-05 0 1.8847 0.0046477 0
