#"p"	"T"	"U:0"	"U:1"	"U:2"	"Points:0"	"Points:1"	"Points:2"
-5.894e-07	1.0081	-0.0052283	0.0052283	0	0	0	0
0.00052905	1.0081	-0.011864	0	0	0.005	0	0
0.0020337	1.0081	-0.023716	0	0	0.01	0	0
0.0044806	1.0083	-0.035548	0	0	0.015	0	0
0.0079153	1.0084	-0.047348	0	0	0.02	0	0
0.012338	1.0086	-0.059105	0	0	0.025	0	0
0.017749	1.0088	-0.070809	0	0	0.03	0	0
0.024149	1.0091	-0.08245	0	0	0.035	0	0
0.03154	1.0094	-0.094017	0	0	0.04	0	0
0.039923	1.0097	-0.1055	0	0	0.045	0	0
0.049304	1.0101	-0.11689	0	0	0.05	0	0
0.059682	1.0106	-0.12817	0	0	0.055	0	0
0.071063	1.011	-0.13934	0	0	0.06	0	0
0.083448	1.0115	-0.15038	0	0	0.065	0	0
0.096841	1.0121	-0.16128	0	0	0.07	0	0
0.11124	1.0127	-0.17204	0	0	0.075	0	0
0.12666	1.0133	-0.18264	0	0	0.08	0	0
0.1431	1.014	-0.19308	0	0	0.085	0	0
0.16055	1.0146	-0.20334	0	0	0.09	0	0
0.17902	1.0154	-0.21342	0	0	0.095	0	0
0.19851	1.0161	-0.2233	0	0	0.1	0	0
0.21903	1.0169	-0.23298	0	0	0.105	0	0
0.24057	1.0178	-0.24244	0	0	0.11	0	0
0.26313	1.0186	-0.25169	0	0	0.115	0	0
0.28671	1.0195	-0.2607	0	0	0.12	0	0
0.31132	1.0204	-0.26947	0	0	0.125	0	0
0.33694	1.0214	-0.27799	0	0	0.13	0	0
0.36358	1.0223	-0.28625	0	0	0.135	0	0
0.39123	1.0233	-0.29425	0	0	0.14	0	0
0.41988	1.0244	-0.30197	0	0	0.145	0	0
0.44953	1.0254	-0.30941	0	0	0.15	0	0
0.48016	1.0265	-0.31656	0	0	0.155	0	0
0.51178	1.0276	-0.32342	0	0	0.16	0	0
0.54436	1.0287	-0.32997	0	0	0.165	0	0
0.5779	1.0299	-0.33621	0	0	0.17	0	0
0.61238	1.031	-0.34213	0	0	0.175	0	0
0.64778	1.0322	-0.34773	0	0	0.18	0	0
0.6841	1.0334	-0.35299	0	0	0.185	0	0
0.7213	1.0346	-0.35792	0	0	0.19	0	0
0.75936	1.0358	-0.36251	0	0	0.195	0	0
0.79827	1.0371	-0.36675	0	0	0.2	0	0
0.83801	1.0383	-0.37064	0	0	0.205	0	0
0.87853	1.0396	-0.37417	0	0	0.21	0	0
0.91982	1.0408	-0.37734	0	0	0.215	0	0
0.96184	1.0421	-0.38015	0	0	0.22	0	0
1.0046	1.0434	-0.38258	0	0	0.225	0	0
1.048	1.0447	-0.38464	0	0	0.23	0	0
1.092	1.046	-0.38633	0	0	0.235	0	0
1.1366	1.0473	-0.38763	0	0	0.24	0	0
1.1817	1.0486	-0.38856	0	0	0.245	0	0
1.2274	1.0499	-0.3891	0	0	0.25	0	0
1.2736	1.0512	-0.38926	0	0	0.255	0	0
1.3201	1.0525	-0.38903	0	0	0.26	0	0
1.3671	1.0538	-0.38842	0	0	0.265	0	0
1.4143	1.0551	-0.38742	0	0	0.27	0	0
1.4618	1.0563	-0.38603	0	0	0.275	0	0
1.5096	1.0576	-0.38425	0	0	0.28	0	0
1.5575	1.0589	-0.38209	0	0	0.285	0	0
1.6055	1.0601	-0.37955	0	0	0.29	0	0
1.6535	1.0614	-0.37662	0	0	0.295	0	0
1.7016	1.0626	-0.37331	0	0	0.3	0	0
1.7496	1.0638	-0.36963	0	0	0.305	0	0
1.7975	1.065	-0.36557	0	0	0.31	0	0
1.8451	1.0662	-0.36113	0	0	0.315	0	0
1.8925	1.0674	-0.35633	0	0	0.32	0	0
1.9397	1.0685	-0.35116	0	0	0.325	0	0
1.9864	1.0697	-0.34563	0	0	0.33	0	0
2.0327	1.0708	-0.33975	0	0	0.335	0	0
2.0785	1.0719	-0.33352	0	0	0.34	0	0
2.1237	1.073	-0.32694	0	0	0.345	0	0
2.1682	1.074	-0.32003	0	0	0.35	0	0
2.2121	1.075	-0.31278	0	0	0.355	0	0
2.2552	1.076	-0.30521	0	0	0.36	0	0
2.2975	1.077	-0.29732	0	0	0.365	0	0
2.3389	1.078	-0.28913	0	0	0.37	0	0
2.3793	1.0789	-0.28063	0	0	0.375	0	0
2.4187	1.0798	-0.27184	0	0	0.38	0	0
2.457	1.0806	-0.26276	0	0	0.385	0	0
2.4942	1.0815	-0.25341	0	0	0.39	0	0
2.5302	1.0823	-0.24379	0	0	0.395	0	0
2.5649	1.083	-0.23392	0	0	0.4	0	0
2.5984	1.0838	-0.2238	0	0	0.405	0	0
2.6304	1.0845	-0.21345	0	0	0.41	0	0
2.6611	1.0851	-0.20287	0	0	0.415	0	0
2.6902	1.0857	-0.19207	0	0	0.42	0	0
2.7179	1.0863	-0.18108	0	0	0.425	0	0
2.744	1.0869	-0.16989	0	0	0.43	0	0
2.7685	1.0874	-0.15852	0	0	0.435	0	0
2.7913	1.0879	-0.14698	0	0	0.44	0	0
2.8125	1.0884	-0.13529	0	0	0.445	0	0
2.832	1.0888	-0.12345	0	0	0.45	0	0
2.8497	1.0892	-0.11148	0	0	0.455	0	0
2.8656	1.0895	-0.099397	0	0	0.46	0	0
2.8797	1.0898	-0.087205	0	0	0.465	0	0
2.892	1.09	-0.07492	0	0	0.47	0	0
2.9024	1.0903	-0.062556	0	0	0.475	0	0
2.9109	1.0904	-0.050125	0	0	0.48	0	0
2.9176	1.0906	-0.03764	0	0	0.485	0	0
2.9224	1.0907	-0.025116	0	0	0.49	0	0
2.9253	1.0907	-0.012565	0	0	0.495	0	0
2.9263	1.0908	-0.0055402	-0.0055402	0	0.5	0	0
-0.0045797	1.0079	0	0.030058	0	0	0.01274	0
-0.0040691	1.008	-0.011867	0.030043	0	0.005	0.01274	0
-0.0025836	1.008	-0.023723	0.029999	0	0.01	0.01274	0
-0.00013201	1.0081	-0.035557	0.029926	0	0.015	0.01274	0
0.0033159	1.0083	-0.04736	0.029823	0	0.02	0.01274	0
0.0077562	1.0085	-0.059121	0.029691	0	0.025	0.01274	0
0.013188	1.0087	-0.070828	0.02953	0	0.03	0.01274	0
0.019612	1.009	-0.082472	0.029341	0	0.035	0.01274	0
0.027032	1.0093	-0.094042	0.029122	0	0.04	0.01274	0
0.035448	1.0096	-0.10553	0.028875	0	0.045	0.01274	0
0.044865	1.01	-0.11692	0.028599	0	0.05	0.01274	0
0.055284	1.0104	-0.1282	0.028295	0	0.055	0.01274	0
0.066709	1.0109	-0.13937	0.027964	0	0.06	0.01274	0
0.079142	1.0114	-0.15042	0.027605	0	0.065	0.01274	0
0.092587	1.012	-0.16133	0.027218	0	0.07	0.01274	0
0.10705	1.0126	-0.17209	0.026805	0	0.075	0.01274	0
0.12252	1.0132	-0.18269	0.026365	0	0.08	0.01274	0
0.13902	1.0138	-0.19313	0.025899	0	0.085	0.01274	0
0.15653	1.0145	-0.2034	0.025407	0	0.09	0.01274	0
0.17507	1.0153	-0.21348	0.024889	0	0.095	0.01274	0
0.19464	1.016	-0.22336	0.024347	0	0.1	0.01274	0
0.21523	1.0168	-0.23304	0.023781	0	0.105	0.01274	0
0.23685	1.0176	-0.24251	0.023191	0	0.11	0.01274	0
0.25949	1.0185	-0.25175	0.022577	0	0.115	0.01274	0
0.28316	1.0194	-0.26077	0.02194	0	0.12	0.01274	0
0.30785	1.0203	-0.26954	0.021282	0	0.125	0.01274	0
0.33357	1.0213	-0.27806	0.020601	0	0.13	0.01274	0
0.3603	1.0223	-0.28632	0.0199	0	0.135	0.01274	0
0.38804	1.0233	-0.29432	0.019178	0	0.14	0.01274	0
0.41679	1.0243	-0.30205	0.018436	0	0.145	0.01274	0
0.44654	1.0253	-0.30949	0.017676	0	0.15	0.01274	0
0.47728	1.0264	-0.31665	0.016897	0	0.155	0.01274	0
0.509	1.0275	-0.3235	0.016101	0	0.16	0.01274	0
0.54169	1.0287	-0.33005	0.015287	0	0.165	0.01274	0
0.57533	1.0298	-0.33629	0.014458	0	0.17	0.01274	0
0.60992	1.031	-0.34222	0.013613	0	0.175	0.01274	0
0.64544	1.0321	-0.34782	0.012753	0	0.18	0.01274	0
0.68187	1.0333	-0.35308	0.01188	0	0.185	0.01274	0
0.71918	1.0346	-0.35802	0.010994	0	0.19	0.01274	0
0.75737	1.0358	-0.3626	0.010096	0	0.195	0.01274	0
0.7964	1.037	-0.36685	0.0091862	0	0.2	0.01274	0
0.83625	1.0383	-0.37073	0.0082664	0	0.205	0.01274	0
0.87689	1.0395	-0.37427	0.007337	0	0.21	0.01274	0
0.9183	1.0408	-0.37743	0.0063991	0	0.215	0.01274	0
0.96044	1.0421	-0.38024	0.0054534	0	0.22	0.01274	0
1.0033	1.0434	-0.38267	0.004501	0	0.225	0.01274	0
1.0468	1.0447	-0.38473	0.0035427	0	0.23	0.01274	0
1.0909	1.046	-0.38642	0.0025795	0	0.235	0.01274	0
1.1357	1.0473	-0.38773	0.0016123	0	0.24	0.01274	0
1.181	1.0486	-0.38865	0.00064209	0	0.245	0.01274	0
1.2268	1.0499	-0.38919	-0.00033023	0	0.25	0.01274	0
1.273	1.0512	-0.38935	-0.0013036	0	0.255	0.01274	0
1.3197	1.0525	-0.38912	-0.0022771	0	0.26	0.01274	0
1.3668	1.0538	-0.38851	-0.0032498	0	0.265	0.01274	0
1.4142	1.0551	-0.38751	-0.0042207	0	0.27	0.01274	0
1.4618	1.0564	-0.38612	-0.0051889	0	0.275	0.01274	0
1.5097	1.0576	-0.38434	-0.0061533	0	0.28	0.01274	0
1.5577	1.0589	-0.38218	-0.007113	0	0.285	0.01274	0
1.6058	1.0602	-0.37964	-0.0080671	0	0.29	0.01274	0
1.654	1.0614	-0.37671	-0.0090145	0	0.295	0.01274	0
1.7022	1.0626	-0.3734	-0.0099543	0	0.3	0.01274	0
1.7503	1.0639	-0.36971	-0.010885	0	0.305	0.01274	0
1.7983	1.0651	-0.36565	-0.011807	0	0.31	0.01274	0
1.8461	1.0663	-0.36121	-0.012718	0	0.315	0.01274	0
1.8936	1.0674	-0.35641	-0.013618	0	0.32	0.01274	0
1.9408	1.0686	-0.35124	-0.014506	0	0.325	0.01274	0
1.9877	1.0697	-0.34571	-0.01538	0	0.33	0.01274	0
2.0341	1.0709	-0.33983	-0.01624	0	0.335	0.01274	0
2.08	1.072	-0.33359	-0.017085	0	0.34	0.01274	0
2.1253	1.073	-0.32701	-0.017914	0	0.345	0.01274	0
2.1699	1.0741	-0.3201	-0.018726	0	0.35	0.01274	0
2.2139	1.0751	-0.31285	-0.019521	0	0.355	0.01274	0
2.2571	1.0761	-0.30528	-0.020297	0	0.36	0.01274	0
2.2995	1.0771	-0.29739	-0.021054	0	0.365	0.01274	0
2.341	1.078	-0.28919	-0.02179	0	0.37	0.01274	0
2.3815	1.079	-0.28069	-0.022506	0	0.375	0.01274	0
2.421	1.0799	-0.2719	-0.023201	0	0.38	0.01274	0
2.4594	1.0807	-0.26282	-0.023872	0	0.385	0.01274	0
2.4967	1.0816	-0.25347	-0.024521	0	0.39	0.01274	0
2.5327	1.0824	-0.24385	-0.025146	0	0.395	0.01274	0
2.5675	1.0831	-0.23397	-0.025747	0	0.4	0.01274	0
2.601	1.0839	-0.22385	-0.026322	0	0.405	0.01274	0
2.6332	1.0846	-0.21349	-0.026872	0	0.41	0.01274	0
2.6639	1.0852	-0.20291	-0.027396	0	0.415	0.01274	0
2.6931	1.0859	-0.19211	-0.027892	0	0.42	0.01274	0
2.7208	1.0865	-0.18111	-0.028362	0	0.425	0.01274	0
2.747	1.087	-0.16992	-0.028803	0	0.43	0.01274	0
2.7716	1.0875	-0.15855	-0.029216	0	0.435	0.01274	0
2.7945	1.088	-0.14701	-0.0296	0	0.44	0.01274	0
2.8157	1.0885	-0.13532	-0.029956	0	0.445	0.01274	0
2.8352	1.0889	-0.12348	-0.030281	0	0.45	0.01274	0
2.8529	1.0893	-0.11151	-0.030577	0	0.455	0.01274	0
2.8689	1.0896	-0.099418	-0.030842	0	0.46	0.01274	0
2.883	1.0899	-0.087223	-0.031077	0	0.465	0.01274	0
