#"temperature_average" "density_average" "mass_flow_average:0" "mass_flow_average:1" "Points:0" "Points:1"
0.54879 1.8246 0.00059727 -0.00081175 0 0
0.54979 1.8213 0.00089454 -0.00081566 1 0
0.55264 1.8119 0.0016096 -0.00080105 2 0
0.55724 1.797 0.0024204 -0.00076091 3 0
0.56365 1.7767 0.0031952 -0.00071791 4 0
0.57184 1.7514 0.0039363 -0.0006719 5 0
0.58176 1.7217 0.0046281 -0.00062097 6 0
0.59336 1.6882 0.005265 -0.00056753 7 0
0.6066 1.6515 0.0058435 -0.00051083 8 0
0.6214 1.6124 0.0063609 -0.00045296 9 0
0.63771 1.5714 0.0068169 -0.00039649 10 0
0.65543 1.5291 0.0072099 -0.00034232 11 0
0.67449 1.4861 0.0075397 -0.00029329 12 0
0.69481 1.4429 0.0078102 -0.00024922 13 0
0.7163 1.3999 0.0080265 -0.00020813 14 0
0.73884 1.3575 0.0081929 -0.00016835 15 0
0.76236 1.3159 0.0083131 -0.00012854 16 0
0.78674 1.2754 0.0083918 -8.5656e-05 17 0
0.81188 1.2362 0.0084363 -3.4426e-05 18 0
0.83768 1.1984 0.0084523 2.291e-05 19 0
0.86403 1.1622 0.0084389 7.729e-05 20 0
0.89085 1.1276 0.0083893 0.00011956 21 0
0.91804 1.0945 0.0082972 0.00014359 22 0
0.94547 1.063 0.0081676 0.00015344 23 0
0.97306 1.0331 0.0080072 0.00014661 24 0
1.0007 1.0048 0.0078162 0.00012809 25 0
1.0283 0.97817 0.0076011 0.00011572 26 0
1.0556 0.95311 0.0073663 0.00011501 27 0
1.0826 0.92959 0.0071134 0.00011766 28 0
1.1092 0.90754 0.0068459 0.00011834 29 0
1.1353 0.88695 0.0065632 0.00012449 30 0
1.1607 0.86775 0.0062683 0.00013908 31 0
1.1855 0.84987 0.0059655 0.00015748 32 0
1.2094 0.83326 0.0056579 0.00017486 33 0
1.2325 0.81786 0.005346 0.00018902 34 0
1.2547 0.80363 0.00503 0.00019967 35 0
1.2758 0.79052 0.004711 0.00020718 36 0
1.2958 0.7785 0.0043893 0.00021234 37 0
1.3146 0.76751 0.004065 0.0002155 38 0
