#           y      vel_x       p_xy        q_x
9.11486e-03 1.50696e-04 -1.16276e-03 -4.06100e-07
2.73446e-02 4.52097e-04 -1.16276e-03 -1.22358e-06
4.55743e-02 7.53532e-04 -1.16276e-03 -2.05699e-06
6.38040e-02 1.05502e-03 -1.16276e-03 -2.91719e-06
8.20338e-02 1.35659e-03 -1.16276e-03 -3.81543e-06
1.00263e-01 1.65825e-03 -1.16276e-03 -4.76352e-06
1.18493e-01 1.96005e-03 -1.16276e-03 -5.77398e-06
1.36723e-01 2.26200e-03 -1.16276e-03 -6.86022e-06
1.54953e-01 2.56413e-03 -1.16276e-03 -8.03675e-06
1.73182e-01 2.86648e-03 -1.16276e-03 -9.31938e-06
1.91412e-01 3.16908e-03 -1.16276e-03 -1.07254e-05
2.09642e-01 3.47197e-03 -1.16276e-03 -1.22741e-05
2.27872e-01 3.77519e-03 -1.16276e-03 -1.39865e-05
2.46101e-01 4.07880e-03 -1.16276e-03 -1.58862e-05
2.64331e-01 4.38284e-03 -1.16276e-03 -1.79995e-05
2.82561e-01 4.68738e-03 -1.16276e-03 -2.03559e-05
3.00790e-01 4.99247e-03 -1.16276e-03 -2.29882e-05
3.19020e-01 5.29821e-03 -1.16276e-03 -2.59334e-05
3.37250e-01 5.60467e-03 -1.16276e-03 -2.92328e-05
3.55480e-01 5.91194e-03 -1.16276e-03 -3.29322e-05
3.73542e-01 6.21731e-03 -1.16275e-03 -3.70407e-05
3.90466e-01 6.50433e-03 -1.16275e-03 -4.13410e-05
4.05551e-01 6.76103e-03 -1.16275e-03 -4.55930e-05
4.18998e-01 6.99060e-03 -1.16275e-03 -4.97469e-05
4.30985e-01 7.19589e-03 -1.16275e-03 -5.37673e-05
4.41671e-01 7.37944e-03 -1.16275e-03 -5.76244e-05
4.51195e-01 7.54353e-03 -1.16275e-03 -6.12958e-05
4.59686e-01 7.69021e-03 -1.16275e-03 -6.47662e-05
4.67254e-01 7.82129e-03 -1.16275e-03 -6.80257e-05
4.74001e-01 7.93843e-03 -1.16275e-03 -7.10711e-05
4.80015e-01 8.04308e-03 -1.16276e-03 -7.38977e-05
4.85375e-01 8.13656e-03 -1.16275e-03 -7.65269e-05
4.90154e-01 8.22005e-03 -1.16279e-03 -7.88973e-05
4.94413e-01 8.29460e-03 -1.16260e-03 -8.12766e-05
4.98210e-01 8.36119e-03 -1.16321e-03 -8.28056e-05
