#           y         L1         L2       Linf
9.11486e-03 5.76723e-06 5.13140e-06 6.46568e-06
2.73446e-02 5.87490e-06 5.23328e-06 6.80284e-06
4.55743e-02 6.09530e-06 5.43746e-06 7.22040e-06
6.38040e-02 6.42466e-06 5.74517e-06 7.72094e-06
8.20338e-02 6.85878e-06 6.15899e-06 8.30718e-06
1.00263e-01 7.40763e-06 6.68359e-06 8.98161e-06
1.18493e-01 8.07859e-06 7.32632e-06 9.74606e-06
1.36723e-01 8.88330e-06 8.09784e-06 1.06010e-05
1.54953e-01 9.83190e-06 9.01266e-06 1.18592e-05
1.73182e-01 1.09465e-05 1.00898e-05 1.34013e-05
1.91412e-01 1.22505e-05 1.13538e-05 1.52030e-05
2.09642e-01 1.37724e-05 1.28353e-05 1.72946e-05
2.27872e-01 1.55490e-05 1.45733e-05 1.97069e-05
2.46101e-01 1.76327e-05 1.66166e-05 2.24684e-05
2.64331e-01 2.00745e-05 1.90270e-05 2.56022e-05
2.82561e-01 2.30227e-05 2.18833e-05 2.91195e-05
3.00790e-01 2.66061e-05 2.52871e-05 3.30104e-05
3.19020e-01 3.09536e-05 2.93711e-05 3.72289e-05
3.37250e-01 3.62270e-05 3.43116e-05 4.36300e-05
3.55480e-01 4.26587e-05 4.03463e-05 5.22122e-05
3.73542e-01 5.04502e-05 4.77198e-05 6.20567e-05
3.90466e-01 5.94547e-05 5.62982e-05 7.24401e-05
4.05551e-01 6.93406e-05 6.58035e-05 8.24281e-05
4.18998e-01 8.02549e-05 7.62411e-05 9.43920e-05
4.30985e-01 9.23691e-05 8.76499e-05 1.10545e-04
4.41671e-01 1.05677e-04 1.00074e-04 1.26391e-04
4.51195e-01 1.20212e-04 1.13584e-04 1.41275e-04
4.59686e-01 1.36195e-04 1.28290e-04 1.55443e-04
4.67254e-01 1.53309e-04 1.44350e-04 1.79462e-04
4.74001e-01 1.71558e-04 1.61974e-04 2.02520e-04
4.80015e-01 1.91320e-04 1.81404e-04 2.23453e-04
4.85375e-01 2.13096e-04 2.03022e-04 2.54711e-04
4.90154e-01 2.40087e-04 2.27844e-04 2.90382e-04
4.94413e-01 2.75341e-04 2.59621e-04 3.32578e-04
4.98210e-01 3.20517e-04 3.07051e-04 4.05487e-04
