#           y         L1         L2       Linf
9.11486e-03 2.37619e-06 2.48367e-06 3.74781e-06
2.73446e-02 2.44301e-06 2.53982e-06 4.03148e-06
4.55743e-02 2.56242e-06 2.65285e-06 4.38942e-06
6.38040e-02 2.74941e-06 2.82430e-06 4.82982e-06
8.20338e-02 2.99186e-06 3.05672e-06 5.36248e-06
1.00263e-01 3.30650e-06 3.35383e-06 5.99869e-06
1.18493e-01 3.67545e-06 3.72060e-06 6.75107e-06
1.36723e-01 4.10315e-06 4.16334e-06 7.63307e-06
1.54953e-01 4.60253e-06 4.68956e-06 8.65797e-06
1.73182e-01 5.17623e-06 5.30796e-06 9.83717e-06
1.91412e-01 5.84544e-06 6.02802e-06 1.11768e-05
2.09642e-01 6.60496e-06 6.86067e-06 1.26734e-05
2.27872e-01 7.45871e-06 7.81665e-06 1.43012e-05
2.46101e-01 8.42414e-06 8.91785e-06 1.60108e-05
2.64331e-01 9.75479e-06 1.01748e-05 1.76584e-05
2.82561e-01 1.15474e-05 1.17282e-05 1.91342e-05
3.00790e-01 1.36005e-05 1.34583e-05 1.97012e-05
3.19020e-01 1.71883e-05 1.68224e-05 2.22700e-05
3.37250e-01 1.96411e-05 1.85326e-05 2.39869e-05
3.55480e-01 3.55894e-05 3.52787e-05 5.50113e-05
3.73542e-01 5.97732e-05 5.67795e-05 7.44357e-05
3.90466e-01 5.64103e-05 5.29343e-05 6.62202e-05
4.05551e-01 6.96595e-05 6.58706e-05 8.16847e-05
4.18998e-01 7.98026e-05 7.55201e-05 9.25711e-05
4.30985e-01 9.21900e-05 8.72289e-05 1.09157e-04
4.41671e-01 1.05466e-04 9.96578e-05 1.25083e-04
4.51195e-01 1.20027e-04 1.13242e-04 1.40109e-04
4.59686e-01 1.36035e-04 1.27998e-04 1.54436e-04
4.67254e-01 1.53189e-04 1.44112e-04 1.78554e-04
4.74001e-01 1.71488e-04 1.61787e-04 2.01698e-04
4.80015e-01 1.91327e-04 1.81268e-04 2.22706e-04
4.85375e-01 2.13130e-04 2.02937e-04 2.54119e-04
4.90154e-01 2.40136e-04 2.27811e-04 2.89868e-04
4.94413e-01 2.75450e-04 2.59649e-04 3.32219e-04
4.98210e-01 3.20740e-04 3.07170e-04 4.05242e-04
