#"p"	"T"	"U:0"	"U:1"	"U:2"	"Points:0"	"Points:1"	"Points:2"
1.6113e-07	1.008	-0.0059244	0.0059244	0	0	0	0
0.0021859	1.0081	-0.023724	0	0	0.01	0	0
0.0082505	1.0084	-0.047361	0	0	0.02	0	0
0.018105	1.0088	-0.070828	0	0	0.03	0	0
0.031922	1.0094	-0.094042	0	0	0.04	0	0
0.049714	1.0101	-0.11692	0	0	0.05	0	0
0.071507	1.011	-0.13937	0	0	0.06	0	0
0.097319	1.0121	-0.16132	0	0	0.07	0	0
0.12718	1.0133	-0.18269	0	0	0.08	0	0
0.1611	1.0146	-0.2034	0	0	0.09	0	0
0.19911	1.0161	-0.22337	0	0	0.1	0	0
0.24122	1.0177	-0.24251	0	0	0.11	0	0
0.28742	1.0195	-0.26077	0	0	0.12	0	0
0.33771	1.0213	-0.27807	0	0	0.13	0	0
0.39206	1.0233	-0.29434	0	0	0.14	0	0
0.45043	1.0254	-0.30951	0	0	0.15	0	0
0.51276	1.0276	-0.32353	0	0	0.16	0	0
0.57897	1.0298	-0.33632	0	0	0.17	0	0
0.64894	1.0322	-0.34785	0	0	0.18	0	0
0.72255	1.0346	-0.35805	0	0	0.19	0	0
0.79964	1.037	-0.36689	0	0	0.2	0	0
0.88	1.0395	-0.37432	0	0	0.21	0	0
0.96343	1.0421	-0.3803	0	0	0.22	0	0
1.0497	1.0447	-0.3848	0	0	0.23	0	0
1.1384	1.0472	-0.38779	0	0	0.24	0	0
1.2294	1.0498	-0.38927	0	0	0.25	0	0
1.3223	1.0524	-0.3892	0	0	0.26	0	0
1.4167	1.055	-0.38759	0	0	0.27	0	0
1.5121	1.0576	-0.38443	0	0	0.28	0	0
1.6082	1.0601	-0.37973	0	0	0.29	0	0
1.7045	1.0626	-0.37349	0	0	0.3	0	0
1.8005	1.065	-0.36575	0	0	0.31	0	0
1.8958	1.0674	-0.35651	0	0	0.32	0	0
1.9898	1.0696	-0.34581	0	0	0.33	0	0
2.0821	1.0719	-0.33369	0	0	0.34	0	0
2.172	1.074	-0.3202	0	0	0.35	0	0
2.2592	1.076	-0.30538	0	0	0.36	0	0
2.343	1.0779	-0.28929	0	0	0.37	0	0
2.423	1.0797	-0.27199	0	0	0.38	0	0
2.4986	1.0814	-0.25356	0	0	0.39	0	0
2.5695	1.083	-0.23406	0	0	0.4	0	0
2.6351	1.0844	-0.21357	0	0	0.41	0	0
2.6951	1.0857	-0.19219	0	0	0.42	0	0
2.7489	1.0869	-0.16999	0	0	0.43	0	0
2.7964	1.0879	-0.14707	0	0	0.44	0	0
2.8371	1.0887	-0.12353	0	0	0.45	0	0
2.8708	1.0894	-0.099458	0	0	0.46	0	0
2.8972	1.09	-0.074966	0	0	0.47	0	0
2.9162	1.0904	-0.050156	0	0	0.48	0	0
2.9277	1.0906	-0.025132	0	0	0.49	0	0
2.9316	1.0907	-0.0062861	-0.0062861	0	0.5	0	0
2.6056e-05	1.0079	0	0.023728	0	0	0.01	0
0.0020578	1.008	-0.023726	0.023682	0	0.01	0.01	0
0.0079684	1.0083	-0.047367	0.023543	0	0.02	0.01	0
0.017824	1.0087	-0.070838	0.023312	0	0.03	0.01	0
0.031671	1.0093	-0.094057	0.02299	0	0.04	0.01	0
0.049508	1.01	-0.11694	0.022577	0	0.05	0.01	0
0.071357	1.0109	-0.13939	0.022076	0	0.06	0.01	0
0.097237	1.012	-0.16135	0.021488	0	0.07	0.01	0
0.12718	1.0132	-0.18272	0.020815	0	0.08	0.01	0
0.16119	1.0145	-0.20343	0.02006	0	0.09	0.01	0
0.1993	1.016	-0.2234	0.019224	0	0.1	0.01	0
0.24151	1.0177	-0.24255	0.018312	0	0.11	0.01	0
0.28782	1.0194	-0.26081	0.017326	0	0.12	0.01	0
0.33823	1.0213	-0.27811	0.016269	0	0.13	0.01	0
0.39271	1.0233	-0.29438	0.015147	0	0.14	0.01	0
0.45121	1.0253	-0.30956	0.013962	0	0.15	0.01	0
0.51367	1.0275	-0.32357	0.012719	0	0.16	0.01	0
0.58002	1.0298	-0.33637	0.011423	0	0.17	0.01	0
0.65013	1.0321	-0.3479	0.010078	0	0.18	0.01	0
0.72388	1.0345	-0.3581	0.00869	0	0.19	0.01	0
0.80111	1.037	-0.36694	0.0072636	0	0.2	0.01	0
0.88161	1.0395	-0.37437	0.0058045	0	0.21	0.01	0
0.96518	1.0421	-0.38035	0.0043181	0	0.22	0.01	0
1.0516	1.0446	-0.38485	0.0028101	0	0.23	0.01	0
1.1405	1.0472	-0.38784	0.0012866	0	0.24	0.01	0
1.2316	1.0498	-0.38932	-0.00024673	0	0.25	0.01	0
1.3246	1.0524	-0.38925	-0.0017833	0	0.26	0.01	0
1.4191	1.055	-0.38764	-0.0033172	0	0.27	0.01	0
1.5146	1.0576	-0.38448	-0.0048428	0	0.28	0.01	0
1.6108	1.0601	-0.37977	-0.0063535	0	0.29	0.01	0
1.7072	1.0626	-0.37354	-0.0078434	0	0.3	0.01	0
1.8033	1.065	-0.36579	-0.0093063	0	0.31	0.01	0
1.8987	1.0674	-0.35655	-0.010736	0	0.32	0.01	0
1.9928	1.0697	-0.34585	-0.012127	0	0.33	0.01	0
2.0851	1.0719	-0.33373	-0.013473	0	0.34	0.01	0
2.1752	1.074	-0.32023	-0.01477	0	0.35	0.01	0
2.2624	1.076	-0.30541	-0.01601	0	0.36	0.01	0
2.3463	1.078	-0.28932	-0.017189	0	0.37	0.01	0
2.4263	1.0798	-0.27202	-0.018303	0	0.38	0.01	0
2.5021	1.0815	-0.25358	-0.019346	0	0.39	0.01	0
2.573	1.083	-0.23408	-0.020314	0	0.4	0.01	0
2.6387	1.0845	-0.21359	-0.021203	0	0.41	0.01	0
2.6986	1.0858	-0.19221	-0.022008	0	0.42	0.01	0
2.7526	1.0869	-0.17	-0.022728	0	0.43	0.01	0
2.8001	1.0879	-0.14708	-0.023358	0	0.44	0.01	0
2.8408	1.0888	-0.12354	-0.023895	0	0.45	0.01	0
2.8745	1.0895	-0.099468	-0.024338	0	0.46	0.01	0
2.901	1.0901	-0.074974	-0.024685	0	0.47	0.01	0
2.92	1.0905	-0.050162	-0.024934	0	0.48	0.01	0
2.9315	1.0907	-0.025135	-0.025083	0	0.49	0.01	0
2.9355	1.0908	0	-0.025133	0	0.5	0.01	0
-0.0096923	1.0077	0	0.047419	0	0	0.02	0
-0.007609	1.0078	-0.023739	0.047326	0	0.01	0.02	0
-0.0016136	1.008	-0.047392	0.047048	0	0.02	0.02	0
0.0083138	1.0085	-0.070875	0.046586	0	0.03	0.02	0
0.022264	1.009	-0.094105	0.045942	0	0.04	0.02	0
0.040241	1.0098	-0.117	0.045117	0	0.05	0.02	0
0.062261	1.0107	-0.13947	0.044114	0	0.06	0.02	0
0.088342	1.0118	-0.16143	0.042938	0	0.07	0.02	0
0.11851	1.013	-0.18282	0.041592	0	0.08	0.02	0
0.15278	1.0143	-0.20353	0.040081	0	0.09	0.02	0
0.19118	1.0158	-0.22351	0.03841	0	0.1	0.02	0
0.2337	1.0175	-0.24267	0.036585	0	0.11	0.02	0
0.28036	1.0192	-0.26094	0.034612	0	0.12	0.02	0
0.33113	1.0211	-0.27825	0.0325	0	0.13	0.02	0
0.386	1.0231	-0.29453	0.030254	0	0.14	0.02	0
0.44491	1.0252	-0.30971	0.027884	0	0.15	0.02	0
0.5078	1.0274	-0.32373	0.025399	0	0.16	0.02	0
0.57459	1.0296	-0.33654	0.022806	0	0.17	0.02	0
0.64517	1.032	-0.34807	0.020117	0	0.18	0.02	0
0.71941	1.0344	-0.35828	0.017341	0	0.19	0.02	0
0.79713	1.0369	-0.36712	0.014488	0	0.2	0.02	0
0.87814	1.0394	-0.37454	0.01157	0	0.21	0.02	0
0.96223	1.042	-0.38053	0.0085975	0	0.22	0.02	0
1.0491	1.0446	-0.38503	0.005582	0	0.23	0.02	0
1.1386	1.0472	-0.38803	0.0025353	0	0.24	0.02	0
1.2302	1.0498	-0.3895	-0.0005309	0	0.25	0.02	0
1.3237	1.0524	-0.38943	-0.0036037	0	0.26	0.02	0
1.4188	1.055	-0.38782	-0.0066712	0	0.27	0.02	0
