#          y     vel_x      p_xy       q_x
9.1149e-03 1.5069e-04 -1.6444e-03 -4.0641e-07
2.7345e-02 4.5209e-04 -1.6444e-03 -1.2245e-06
4.5574e-02 7.5352e-04 -1.6444e-03 -2.0586e-06
6.3804e-02 1.0550e-03 -1.6444e-03 -2.9194e-06
8.2034e-02 1.3566e-03 -1.6444e-03 -3.8184e-06
1.0026e-01 1.6582e-03 -1.6444e-03 -4.7673e-06
1.1849e-01 1.9600e-03 -1.6444e-03 -5.7786e-06
1.3672e-01 2.2620e-03 -1.6444e-03 -6.8658e-06
1.5495e-01 2.5641e-03 -1.6444e-03 -8.0435e-06
1.7318e-01 2.8665e-03 -1.6444e-03 -9.3274e-06
1.9141e-01 3.1691e-03 -1.6444e-03 -1.0735e-05
2.0964e-01 3.4720e-03 -1.6444e-03 -1.2285e-05
2.2787e-01 3.7752e-03 -1.6444e-03 -1.4000e-05
2.4610e-01 4.0788e-03 -1.6444e-03 -1.5902e-05
2.6433e-01 4.3828e-03 -1.6444e-03 -1.8018e-05
2.8256e-01 4.6874e-03 -1.6444e-03 -2.0378e-05
3.0079e-01 4.9925e-03 -1.6444e-03 -2.3014e-05
3.1902e-01 5.2982e-03 -1.6444e-03 -2.5964e-05
3.3725e-01 5.6047e-03 -1.6444e-03 -2.9269e-05
3.5548e-01 5.9120e-03 -1.6444e-03 -3.2972e-05
3.7354e-01 6.2173e-03 -1.6444e-03 -3.7081e-05
3.9047e-01 6.5044e-03 -1.6444e-03 -4.1378e-05
4.0555e-01 6.7611e-03 -1.6444e-03 -4.5628e-05
4.1900e-01 6.9906e-03 -1.6444e-03 -4.9781e-05
4.3099e-01 7.1959e-03 -1.6444e-03 -5.3799e-05
4.4167e-01 7.3795e-03 -1.6444e-03 -5.7655e-05
4.5120e-01 7.5435e-03 -1.6444e-03 -6.1324e-05
4.5969e-01 7.6902e-03 -1.6444e-03 -6.4793e-05
4.6725e-01 7.8213e-03 -1.6444e-03 -6.8052e-05
4.7400e-01 7.9384e-03 -1.6444e-03 -7.1096e-05
4.8001e-01 8.0431e-03 -1.6444e-03 -7.3921e-05
4.8538e-01 8.1366e-03 -1.6444e-03 -7.6551e-05
4.9015e-01 8.2200e-03 -1.6445e-03 -7.8917e-05
4.9441e-01 8.2946e-03 -1.6442e-03 -8.1309e-05
4.9821e-01 8.3612e-03 -1.6451e-03 -8.2818e-05
