#           y      vel_x       p_xy        q_x
9.96115e-03 1.85593e-04 -5.59008e-04 -3.19850e-08
2.98834e-02 5.56780e-04 -5.59008e-04 -9.58835e-08
4.98057e-02 9.27966e-04 -5.59008e-04 -1.59596e-07
6.97280e-02 1.29915e-03 -5.59008e-04 -2.22978e-07
8.96503e-02 1.67034e-03 -5.59008e-04 -2.85888e-07
1.09573e-01 2.04152e-03 -5.59008e-04 -3.48177e-07
1.29495e-01 2.41271e-03 -5.59008e-04 -4.09681e-07
1.49417e-01 2.78389e-03 -5.59009e-04 -4.70221e-07
1.69339e-01 3.15508e-03 -5.59009e-04 -5.29601e-07
1.89262e-01 3.52626e-03 -5.59009e-04 -5.87603e-07
2.09184e-01 3.89744e-03 -5.59009e-04 -6.43991e-07
2.29106e-01 4.26862e-03 -5.59009e-04 -6.98499e-07
2.49029e-01 4.63980e-03 -5.59009e-04 -7.50839e-07
2.68951e-01 5.01097e-03 -5.59010e-04 -8.00694e-07
2.88873e-01 5.38215e-03 -5.59010e-04 -8.47718e-07
3.08796e-01 5.75332e-03 -5.59010e-04 -8.91531e-07
3.28718e-01 6.12449e-03 -5.59010e-04 -9.31726e-07
3.48640e-01 6.49566e-03 -5.59010e-04 -9.67858e-07
3.68562e-01 6.86683e-03 -5.59010e-04 -9.99454e-07
3.88485e-01 7.23799e-03 -5.59011e-04 -1.02599e-06
4.08883e-01 7.61801e-03 -5.59011e-04 -1.04738e-06
4.27785e-01 7.97016e-03 -5.59011e-04 -1.06138e-06
4.43117e-01 8.25581e-03 -5.59011e-04 -1.06827e-06
4.55554e-01 8.48750e-03 -5.59011e-04 -1.07070e-06
4.65641e-01 8.67543e-03 -5.59011e-04 -1.07046e-06
4.73824e-01 8.82786e-03 -5.59011e-04 -1.06874e-06
4.80461e-01 8.95151e-03 -5.59011e-04 -1.06635e-06
4.85844e-01 9.05180e-03 -5.59012e-04 -1.06328e-06
4.90211e-01 9.13315e-03 -5.59004e-04 -1.06325e-06
4.93753e-01 9.19912e-03 -5.59045e-04 -1.04582e-06
4.96626e-01 9.25273e-03 -5.58837e-04 -1.12474e-06
4.98956e-01 9.29584e-03 -5.59555e-04 -8.33367e-07
