#          y     vel_x      p_xy       q_x
1.1459e-02 1.3212e-04 -3.4588e-03 -3.4393e-08
3.4378e-02 3.9636e-04 -3.4588e-03 -1.0310e-07
5.7297e-02 6.6060e-04 -3.4588e-03 -1.7156e-07
8.0216e-02 9.2484e-04 -3.4588e-03 -2.3963e-07
1.0314e-01 1.1891e-03 -3.4588e-03 -3.0713e-07
1.2605e-01 1.4533e-03 -3.4588e-03 -3.7391e-07
1.4897e-01 1.7176e-03 -3.4588e-03 -4.3980e-07
1.7189e-01 1.9818e-03 -3.4588e-03 -5.0465e-07
1.9481e-01 2.2460e-03 -3.4588e-03 -5.6829e-07
2.1773e-01 2.5103e-03 -3.4588e-03 -6.3055e-07
2.4160e-01 2.7855e-03 -3.4588e-03 -6.9376e-07
2.6555e-01 3.0616e-03 -3.4588e-03 -7.5531e-07
2.8782e-01 3.3184e-03 -3.4588e-03 -8.1068e-07
3.0852e-01 3.5570e-03 -3.4588e-03 -8.6042e-07
3.2776e-01 3.7789e-03 -3.4588e-03 -9.0504e-07
3.4565e-01 3.9851e-03 -3.4588e-03 -9.4506e-07
3.6228e-01 4.1768e-03 -3.4588e-03 -9.8087e-07
3.7774e-01 4.3551e-03 -3.4588e-03 -1.0129e-06
3.9211e-01 4.5208e-03 -3.4588e-03 -1.0416e-06
4.0547e-01 4.6748e-03 -3.4588e-03 -1.0673e-06
4.1790e-01 4.8180e-03 -3.4588e-03 -1.0903e-06
4.2944e-01 4.9511e-03 -3.4588e-03 -1.1108e-06
4.4018e-01 5.0749e-03 -3.4588e-03 -1.1292e-06
4.5016e-01 5.1899e-03 -3.4588e-03 -1.1455e-06
4.5943e-01 5.2969e-03 -3.4588e-03 -1.1610e-06
4.6806e-01 5.3963e-03 -3.4588e-03 -1.1712e-06
4.7607e-01 5.4887e-03 -3.4588e-03 -1.1958e-06
4.8353e-01 5.5746e-03 -3.4589e-03 -1.1570e-06
4.9046e-01 5.6547e-03 -3.4584e-03 -1.3667e-06
4.9690e-01 5.7284e-03 -3.4599e-03 -7.9617e-07
