#          y     vel_x      p_xy       q_x
9.1149e-03 1.5150e-04 -1.6591e-03 -1.5340e-07
2.7345e-02 4.5449e-04 -1.6591e-03 -4.6567e-07
4.5574e-02 7.5751e-04 -1.6591e-03 -7.9278e-07
6.3804e-02 1.0606e-03 -1.6590e-03 -1.1455e-06
8.2034e-02 1.3637e-03 -1.6590e-03 -1.5357e-06
1.0026e-01 1.6668e-03 -1.6589e-03 -1.9769e-06
1.1849e-01 1.9701e-03 -1.6589e-03 -2.4850e-06
1.3672e-01 2.2734e-03 -1.6588e-03 -3.0792e-06
1.5495e-01 2.5769e-03 -1.6588e-03 -3.7829e-06
1.7318e-01 2.8806e-03 -1.6587e-03 -4.6250e-06
1.9141e-01 3.1845e-03 -1.6586e-03 -5.6415e-06
2.0964e-01 3.4887e-03 -1.6585e-03 -6.8776e-06
2.2787e-01 3.7933e-03 -1.6584e-03 -8.3907e-06
2.4610e-01 4.0984e-03 -1.6584e-03 -1.0254e-05
2.6433e-01 4.4042e-03 -1.6583e-03 -1.2561e-05
2.8256e-01 4.7109e-03 -1.6582e-03 -1.5433e-05
3.0079e-01 5.0187e-03 -1.6581e-03 -1.9026e-05
3.1902e-01 5.3282e-03 -1.6580e-03 -2.3541e-05
3.3725e-01 5.6397e-03 -1.6579e-03 -2.9232e-05
3.5548e-01 5.9540e-03 -1.6577e-03 -3.6391e-05
3.7133e-01 6.2302e-03 -1.6576e-03 -4.4143e-05
3.8426e-01 6.4584e-03 -1.6575e-03 -5.1950e-05
3.9613e-01 6.6710e-03 -1.6575e-03 -6.0416e-05
4.0705e-01 6.8693e-03 -1.6574e-03 -6.9569e-05
4.1707e-01 7.0546e-03 -1.6573e-03 -7.9340e-05
4.2628e-01 7.2280e-03 -1.6573e-03 -8.9671e-05
4.3475e-01 7.3906e-03 -1.6572e-03 -1.0049e-04
4.4252e-01 7.5432e-03 -1.6571e-03 -1.1171e-04
4.4966e-01 7.6866e-03 -1.6571e-03 -1.2326e-04
4.5623e-01 7.8214e-03 -1.6570e-03 -1.3505e-04
4.6226e-01 7.9483e-03 -1.6570e-03 -1.4700e-04
4.6780e-01 8.0676e-03 -1.6569e-03 -1.5901e-04
4.7289e-01 8.1800e-03 -1.6569e-03 -1.7102e-04
4.7757e-01 8.2857e-03 -1.6568e-03 -1.8294e-04
4.8187e-01 8.3852e-03 -1.6568e-03 -1.9472e-04
4.8582e-01 8.4787e-03 -1.6567e-03 -2.0628e-04
4.8944e-01 8.5666e-03 -1.6566e-03 -2.1757e-04
4.9278e-01 8.6489e-03 -1.6563e-03 -2.2850e-04
4.9584e-01 8.7253e-03 -1.6554e-03 -2.3895e-04
4.9865e-01 8.7937e-03 -1.6523e-03 -2.4827e-04
