#          y     vel_x      p_xy       q_x
1.8230e-02 3.0435e-04 -1.6628e-03 -8.8378e-07
5.4689e-02 9.1315e-04 -1.6628e-03 -2.7304e-06
9.1149e-02 1.5222e-03 -1.6627e-03 -4.8093e-06
1.2761e-01 2.1318e-03 -1.6626e-03 -7.2954e-06
1.6407e-01 2.7422e-03 -1.6625e-03 -1.0385e-05
2.0053e-01 3.3537e-03 -1.6624e-03 -1.4277e-05
2.3699e-01 3.9669e-03 -1.6622e-03 -1.9156e-05
2.7345e-01 4.5822e-03 -1.6624e-03 -2.4945e-05
3.0991e-01 5.2013e-03 -1.6617e-03 -3.2482e-05
3.4636e-01 5.8166e-03 -1.6683e-03 -3.4059e-05
3.7133e-01 6.2573e-03 -1.6534e-03 -7.0911e-05
3.8426e-01 6.4844e-03 -1.6631e-03 -6.4244e-05
3.9613e-01 6.6950e-03 -1.6609e-03 -7.3472e-05
4.0705e-01 6.8916e-03 -1.6614e-03 -8.0169e-05
4.1707e-01 7.0747e-03 -1.6612e-03 -8.8177e-05
4.2628e-01 7.2459e-03 -1.6612e-03 -9.6349e-05
4.3475e-01 7.4060e-03 -1.6612e-03 -1.0485e-04
4.4252e-01 7.5561e-03 -1.6611e-03 -1.1355e-04
4.4966e-01 7.6971e-03 -1.6610e-03 -1.2241e-04
4.5623e-01 7.8295e-03 -1.6610e-03 -1.3139e-04
4.6226e-01 7.9542e-03 -1.6609e-03 -1.4043e-04
4.6780e-01 8.0716e-03 -1.6609e-03 -1.4948e-04
4.7289e-01 8.1822e-03 -1.6608e-03 -1.5850e-04
4.7757e-01 8.2864e-03 -1.6608e-03 -1.6744e-04
4.8187e-01 8.3847e-03 -1.6607e-03 -1.7626e-04
4.8582e-01 8.4773e-03 -1.6607e-03 -1.8491e-04
4.8944e-01 8.5644e-03 -1.6606e-03 -1.9338e-04
4.9278e-01 8.6463e-03 -1.6603e-03 -2.0158e-04
4.9584e-01 8.7224e-03 -1.6594e-03 -2.0944e-04
4.9865e-01 8.7908e-03 -1.6563e-03 -2.1644e-04
