#          y     vel_x      p_xy       q_x
9.9611e-03 1.8772e-04 -5.6543e-04 -1.6196e-10
2.9883e-02 5.6315e-04 -5.6543e-04 -5.0034e-10
4.9806e-02 9.3859e-04 -5.6543e-04 -8.8609e-10
6.9728e-02 1.3140e-03 -5.6543e-04 -1.3653e-09
8.9650e-02 1.6895e-03 -5.6543e-04 -2.0099e-09
1.0957e-01 2.0649e-03 -5.6543e-04 -2.9373e-09
1.2949e-01 2.4403e-03 -5.6543e-04 -4.3427e-09
1.4942e-01 2.8158e-03 -5.6543e-04 -6.5519e-09
1.6934e-01 3.1912e-03 -5.6543e-04 -1.0111e-08
1.8926e-01 3.5667e-03 -5.6543e-04 -1.5935e-08
2.0918e-01 3.9421e-03 -5.6543e-04 -2.5565e-08
2.2911e-01 4.3176e-03 -5.6543e-04 -4.1597e-08
2.4903e-01 4.6931e-03 -5.6543e-04 -6.8430e-08
2.6895e-01 5.0686e-03 -5.6543e-04 -1.1354e-07
2.8887e-01 5.4441e-03 -5.6543e-04 -1.8974e-07
3.0880e-01 5.8198e-03 -5.6543e-04 -3.1906e-07
3.2872e-01 6.1955e-03 -5.6544e-04 -5.3966e-07
3.4864e-01 6.5715e-03 -5.6545e-04 -9.1788e-07
3.6856e-01 6.9479e-03 -5.6546e-04 -1.5690e-06
3.8848e-01 7.3249e-03 -5.6548e-04 -2.6911e-06
4.0888e-01 7.7119e-03 -5.6547e-04 -4.6487e-06
4.2779e-01 8.0723e-03 -5.6544e-04 -7.6425e-06
4.4312e-01 8.3668e-03 -5.6543e-04 -1.1626e-05
4.5555e-01 8.6087e-03 -5.6543e-04 -1.6529e-05
4.6564e-01 8.8086e-03 -5.6542e-04 -2.2277e-05
4.7382e-01 8.9754e-03 -5.6541e-04 -2.8746e-05
4.8046e-01 9.1161e-03 -5.6539e-04 -3.5774e-05
4.8584e-01 9.2359e-03 -5.6538e-04 -4.3163e-05
4.9021e-01 9.3387e-03 -5.6538e-04 -5.0692e-05
4.9375e-01 9.4274e-03 -5.6540e-04 -5.8116e-05
4.9663e-01 9.5038e-03 -5.6529e-04 -6.5290e-05
4.9896e-01 9.5698e-03 -5.6559e-04 -7.1856e-05
