#           y      vel_x       p_xy        q_x
1.14594e-02 1.51528e-04 -3.72785e-03 -6.04928e-06
3.43783e-02 4.54690e-04 -3.72785e-03 -1.81863e-05
5.72972e-02 7.58172e-04 -3.72785e-03 -3.04392e-05
8.02161e-02 1.06220e-03 -3.72786e-03 -4.28876e-05
1.03135e-01 1.36700e-03 -3.72786e-03 -5.56142e-05
1.26054e-01 1.67285e-03 -3.72786e-03 -6.87068e-05
1.48973e-01 1.98004e-03 -3.72786e-03 -8.22594e-05
1.71892e-01 2.28889e-03 -3.72786e-03 -9.63748e-05
1.94811e-01 2.59980e-03 -3.72786e-03 -1.11166e-04
2.17730e-01 2.91322e-03 -3.72788e-03 -1.26764e-04
2.41602e-01 3.24291e-03 -3.72788e-03 -1.44013e-04
2.65553e-01 3.57759e-03 -3.72785e-03 -1.62495e-04
2.87820e-01 3.89309e-03 -3.72785e-03 -1.80971e-04
3.08519e-01 4.19083e-03 -3.72785e-03 -1.99412e-04
3.27762e-01 4.47217e-03 -3.72785e-03 -2.17819e-04
3.45651e-01 4.73828e-03 -3.72785e-03 -2.36168e-04
3.62281e-01 4.99022e-03 -3.72784e-03 -2.54432e-04
3.77742e-01 5.22892e-03 -3.72784e-03 -2.72575e-04
3.92114e-01 5.45521e-03 -3.72784e-03 -2.90558e-04
4.05475e-01 5.66983e-03 -3.72784e-03 -3.08340e-04
4.17896e-01 5.87345e-03 -3.72784e-03 -3.25878e-04
4.29442e-01 6.06665e-03 -3.72784e-03 -3.43130e-04
4.40177e-01 6.24995e-03 -3.72784e-03 -3.60056e-04
4.50156e-01 6.42385e-03 -3.72784e-03 -3.76618e-04
4.59433e-01 6.58879e-03 -3.72784e-03 -3.92782e-04
4.68057e-01 6.74517e-03 -3.72785e-03 -4.08513e-04
4.76074e-01 6.89336e-03 -3.72783e-03 -4.23799e-04
4.83527e-01 7.03376e-03 -3.72789e-03 -4.38564e-04
4.90456e-01 7.16648e-03 -3.72764e-03 -4.52950e-04
4.96897e-01 7.29271e-03 -3.72837e-03 -4.66503e-04
