#          y     vel_x      p_xy       q_x
1.2500e-02 2.0868e-04 -1.6635e-03 -5.3753e-07
3.7500e-02 6.2608e-04 -1.6635e-03 -1.6385e-06
6.2500e-02 1.0436e-03 -1.6635e-03 -2.8060e-06
8.7500e-02 1.4612e-03 -1.6635e-03 -4.0886e-06
1.1250e-01 1.8790e-03 -1.6635e-03 -5.5390e-06
1.3750e-01 2.2972e-03 -1.6635e-03 -7.2178e-06
1.6250e-01 2.7157e-03 -1.6635e-03 -9.1965e-06
1.8750e-01 3.1347e-03 -1.6635e-03 -1.1561e-05
2.1250e-01 3.5544e-03 -1.6635e-03 -1.4418e-05
2.3750e-01 3.9749e-03 -1.6635e-03 -1.7894e-05
2.6244e-01 4.3954e-03 -1.6634e-03 -2.2133e-05
2.8630e-01 4.7992e-03 -1.6634e-03 -2.7097e-05
3.0823e-01 5.1717e-03 -1.6634e-03 -3.2674e-05
3.2838e-01 5.5158e-03 -1.6634e-03 -3.8864e-05
3.4689e-01 5.8340e-03 -1.6634e-03 -4.5677e-05
3.6389e-01 6.1288e-03 -1.6633e-03 -5.3119e-05
3.7952e-01 6.4023e-03 -1.6633e-03 -6.1192e-05
3.9388e-01 6.6568e-03 -1.6633e-03 -6.9893e-05
4.0707e-01 6.8942e-03 -1.6632e-03 -7.9218e-05
4.1919e-01 7.1162e-03 -1.6632e-03 -8.9157e-05
4.3032e-01 7.3246e-03 -1.6631e-03 -9.9692e-05
4.4055e-01 7.5207e-03 -1.6630e-03 -1.1080e-04
4.4995e-01 7.7059e-03 -1.6629e-03 -1.2245e-04
4.5859e-01 7.8812e-03 -1.6628e-03 -1.3459e-04
4.6652e-01 8.0478e-03 -1.6627e-03 -1.4718e-04
4.7381e-01 8.2063e-03 -1.6626e-03 -1.6015e-04
4.8051e-01 8.3573e-03 -1.6624e-03 -1.7343e-04
4.8666e-01 8.5012e-03 -1.6619e-03 -1.8688e-04
4.9232e-01 8.6370e-03 -1.6601e-03 -2.0031e-04
4.9751e-01 8.7607e-03 -1.6544e-03 -2.1268e-04
