#           y      vel_x       p_xy        q_x
9.11486e-03 1.51950e-04 -1.66089e-03 -4.03444e-07
2.73446e-02 4.55861e-04 -1.66089e-03 -1.21878e-06
4.55743e-02 7.59805e-04 -1.66089e-03 -2.05965e-06
6.38040e-02 1.06381e-03 -1.66089e-03 -2.94375e-06
8.20338e-02 1.36789e-03 -1.66089e-03 -3.88980e-06
1.00263e-01 1.67207e-03 -1.66089e-03 -4.91801e-06
1.18493e-01 1.97640e-03 -1.66089e-03 -6.05055e-06
1.36723e-01 2.28089e-03 -1.66089e-03 -7.31216e-06
1.54953e-01 2.58558e-03 -1.66089e-03 -8.73077e-06
1.73182e-01 2.89052e-03 -1.66089e-03 -1.03383e-05
1.91412e-01 3.19576e-03 -1.66089e-03 -1.21716e-05
2.09642e-01 3.50136e-03 -1.66089e-03 -1.42736e-05
2.27872e-01 3.80738e-03 -1.66089e-03 -1.66948e-05
2.46101e-01 4.11393e-03 -1.66090e-03 -1.94950e-05
2.64331e-01 4.42112e-03 -1.66090e-03 -2.27460e-05
2.82561e-01 4.72910e-03 -1.66090e-03 -2.65349e-05
3.00790e-01 5.03808e-03 -1.66090e-03 -3.09688e-05
3.19020e-01 5.34836e-03 -1.66091e-03 -3.61814e-05
3.37250e-01 5.66035e-03 -1.66092e-03 -4.23420e-05
3.55480e-01 5.97462e-03 -1.66093e-03 -4.96662e-05
3.73542e-01 6.28908e-03 -1.66092e-03 -5.83426e-05
3.90466e-01 6.58754e-03 -1.66090e-03 -6.80758e-05
4.05551e-01 6.85800e-03 -1.66090e-03 -7.84311e-05
4.18998e-01 7.10386e-03 -1.66090e-03 -8.93162e-05
4.30985e-01 7.32808e-03 -1.66089e-03 -1.00650e-04
4.41671e-01 7.53321e-03 -1.66089e-03 -1.12333e-04
4.51195e-01 7.72137e-03 -1.66089e-03 -1.24262e-04
4.59686e-01 7.89435e-03 -1.66088e-03 -1.36326e-04
4.67254e-01 8.05364e-03 -1.66088e-03 -1.48411e-04
4.74001e-01 8.20046e-03 -1.66088e-03 -1.60410e-04
4.80015e-01 8.33584e-03 -1.66088e-03 -1.72216e-04
4.85375e-01 8.46065e-03 -1.66088e-03 -1.83743e-04
4.90154e-01 8.57568e-03 -1.66091e-03 -1.94878e-04
4.94413e-01 8.68138e-03 -1.66074e-03 -2.05657e-04
4.98210e-01 8.77908e-03 -1.66123e-03 -2.15714e-04
