#           y      vel_x       p_xy        q_x
9.96115e-03 1.87778e-04 -3.99917e-04 -1.30013e-08
2.98834e-02 5.63335e-04 -3.99917e-04 -3.91170e-08
4.98057e-02 9.38892e-04 -3.99917e-04 -6.55834e-08
6.97280e-02 1.31445e-03 -3.99917e-04 -9.26747e-08
8.96503e-02 1.69001e-03 -3.99918e-04 -1.20731e-07
1.09573e-01 2.06557e-03 -3.99918e-04 -1.50195e-07
1.29495e-01 2.44114e-03 -3.99918e-04 -1.81665e-07
1.49417e-01 2.81671e-03 -3.99918e-04 -2.15967e-07
1.69339e-01 3.19230e-03 -3.99918e-04 -2.54261e-07
1.89262e-01 3.56789e-03 -3.99918e-04 -2.98193e-07
2.09184e-01 3.94350e-03 -3.99918e-04 -3.50131e-07
2.29106e-01 4.31913e-03 -3.99918e-04 -4.13516e-07
2.49029e-01 4.69479e-03 -3.99918e-04 -4.93411e-07
2.68951e-01 5.07051e-03 -3.99919e-04 -5.97363e-07
2.88873e-01 5.44629e-03 -3.99919e-04 -7.36793e-07
3.08796e-01 5.82218e-03 -3.99921e-04 -9.29313e-07
3.28718e-01 6.19824e-03 -3.99923e-04 -1.20266e-06
3.48640e-01 6.57455e-03 -3.99926e-04 -1.60183e-06
3.68562e-01 6.95126e-03 -3.99931e-04 -2.20200e-06
3.88485e-01 7.32863e-03 -3.99944e-04 -3.13397e-06
4.08883e-01 7.71620e-03 -3.99945e-04 -4.66619e-06
4.27785e-01 8.07708e-03 -3.99930e-04 -6.95189e-06
4.43117e-01 8.37211e-03 -3.99927e-04 -9.96474e-06
4.55554e-01 8.61408e-03 -3.99924e-04 -1.37365e-05
4.65641e-01 8.81334e-03 -3.99921e-04 -1.82950e-05
4.73824e-01 8.97827e-03 -3.99919e-04 -2.36451e-05
4.80461e-01 9.11565e-03 -3.99919e-04 -2.97857e-05
4.85844e-01 9.23099e-03 -3.99918e-04 -3.67202e-05
4.90211e-01 9.32880e-03 -3.99926e-04 -4.44813e-05
4.93753e-01 9.41320e-03 -3.99931e-04 -5.32779e-05
4.96626e-01 9.48833e-03 -3.99925e-04 -6.38733e-05
4.98956e-01 9.56092e-03 -3.99943e-04 -7.78540e-05
