#           y      vel_x       p_xy        q_x
9.11486e-03 1.52278e-04 -1.66238e-03 -3.89804e-07
2.73446e-02 4.56844e-04 -1.66238e-03 -1.17511e-06
4.55743e-02 7.61445e-04 -1.66238e-03 -1.97767e-06
6.38040e-02 1.06611e-03 -1.66238e-03 -2.80946e-06
8.20338e-02 1.37085e-03 -1.66238e-03 -3.68316e-06
1.00263e-01 1.67570e-03 -1.66238e-03 -4.61256e-06
1.18493e-01 1.98070e-03 -1.66238e-03 -5.61286e-06
1.36723e-01 2.28587e-03 -1.66238e-03 -6.70119e-06
1.54953e-01 2.59126e-03 -1.66238e-03 -7.89709e-06
1.73182e-01 2.89691e-03 -1.66238e-03 -9.22324e-06
1.91412e-01 3.20288e-03 -1.66238e-03 -1.07063e-05
2.09642e-01 3.50922e-03 -1.66238e-03 -1.23778e-05
2.27872e-01 3.81601e-03 -1.66238e-03 -1.42760e-05
2.46101e-01 4.12335e-03 -1.66239e-03 -1.64471e-05
2.64331e-01 4.43135e-03 -1.66239e-03 -1.89482e-05
2.82561e-01 4.74016e-03 -1.66239e-03 -2.18508e-05
3.00790e-01 5.04995e-03 -1.66239e-03 -2.52450e-05
3.19020e-01 5.36095e-03 -1.66239e-03 -2.92472e-05
3.37250e-01 5.67347e-03 -1.66240e-03 -3.40092e-05
3.55480e-01 5.98792e-03 -1.66240e-03 -3.97317e-05
3.73542e-01 6.30191e-03 -1.66239e-03 -4.66112e-05
3.90466e-01 6.59894e-03 -1.66238e-03 -5.44735e-05
4.05551e-01 6.86680e-03 -1.66238e-03 -6.30329e-05
4.18998e-01 7.10879e-03 -1.66238e-03 -7.22743e-05
4.30985e-01 7.32789e-03 -1.66238e-03 -8.22021e-05
4.41671e-01 7.52673e-03 -1.66238e-03 -9.28185e-05
4.51195e-01 7.70767e-03 -1.66238e-03 -1.04130e-04
4.59686e-01 7.87282e-03 -1.66238e-03 -1.16148e-04
4.67254e-01 8.02413e-03 -1.66238e-03 -1.28900e-04
4.74001e-01 8.16338e-03 -1.66239e-03 -1.42462e-04
4.80015e-01 8.29247e-03 -1.66239e-03 -1.57026e-04
4.85375e-01 8.41354e-03 -1.66240e-03 -1.73023e-04
4.90154e-01 8.52950e-03 -1.66243e-03 -1.91255e-04
4.94413e-01 8.64365e-03 -1.66232e-03 -2.13077e-04
4.98210e-01 8.76147e-03 -1.66257e-03 -2.39953e-04
