#          y     vel_x      p_xy       q_x
9.1149e-03 1.5261e-04 -1.6658e-03 -3.9882e-07
2.7345e-02 4.5783e-04 -1.6658e-03 -1.2039e-06
4.5574e-02 7.6309e-04 -1.6658e-03 -2.0252e-06
6.3804e-02 1.0684e-03 -1.6658e-03 -2.8770e-06
8.2034e-02 1.3738e-03 -1.6658e-03 -3.7686e-06
1.0026e-01 1.6793e-03 -1.6657e-03 -4.7165e-06
1.1849e-01 1.9849e-03 -1.6657e-03 -5.7335e-06
1.3672e-01 2.2907e-03 -1.6657e-03 -6.8379e-06
1.5495e-01 2.5968e-03 -1.6656e-03 -8.0452e-06
1.7318e-01 2.9030e-03 -1.6656e-03 -9.3784e-06
1.9141e-01 3.2096e-03 -1.6656e-03 -1.0860e-05
2.0964e-01 3.5165e-03 -1.6655e-03 -1.2521e-05
2.2787e-01 3.8238e-03 -1.6655e-03 -1.4393e-05
2.4610e-01 4.1316e-03 -1.6655e-03 -1.6519e-05
2.6433e-01 4.4401e-03 -1.6655e-03 -1.8950e-05
2.8256e-01 4.7493e-03 -1.6655e-03 -2.1752e-05
3.0079e-01 5.0594e-03 -1.6655e-03 -2.5017e-05
3.1902e-01 5.3707e-03 -1.6655e-03 -2.8866e-05
3.3725e-01 5.6835e-03 -1.6656e-03 -3.3474e-05
3.5548e-01 5.9984e-03 -1.6656e-03 -3.9081e-05
3.7307e-01 6.3046e-03 -1.6656e-03 -4.5760e-05
3.8906e-01 6.5860e-03 -1.6655e-03 -5.3315e-05
4.0323e-01 6.8384e-03 -1.6654e-03 -6.1633e-05
4.1577e-01 7.0655e-03 -1.6653e-03 -7.0740e-05
4.2689e-01 7.2702e-03 -1.6653e-03 -8.0609e-05
4.3673e-01 7.4553e-03 -1.6652e-03 -9.1205e-05
4.4546e-01 7.6229e-03 -1.6652e-03 -1.0242e-04
4.5318e-01 7.7750e-03 -1.6651e-03 -1.1416e-04
4.6003e-01 7.9131e-03 -1.6650e-03 -1.2626e-04
4.6609e-01 8.0387e-03 -1.6649e-03 -1.3861e-04
4.7147e-01 8.1528e-03 -1.6648e-03 -1.5101e-04
4.7622e-01 8.2567e-03 -1.6647e-03 -1.6336e-04
4.8044e-01 8.3510e-03 -1.6646e-03 -1.7546e-04
4.8417e-01 8.4367e-03 -1.6645e-03 -1.8726e-04
4.8748e-01 8.5144e-03 -1.6645e-03 -1.9861e-04
4.9041e-01 8.5849e-03 -1.6643e-03 -2.0947e-04
4.9301e-01 8.6485e-03 -1.6643e-03 -2.1972e-04
4.9531e-01 8.7061e-03 -1.6642e-03 -2.2938e-04
4.9735e-01 8.7578e-03 -1.6640e-03 -2.3836e-04
4.9915e-01 8.8039e-03 -1.6631e-03 -2.4677e-04
