#          y     vel_x      p_xy       q_x
9.1149e-03 1.5367e-04 -1.6852e-03 -7.6353e-08
2.7345e-02 4.6100e-04 -1.6852e-03 -2.2961e-07
4.5574e-02 7.6834e-04 -1.6852e-03 -3.8760e-07
6.3804e-02 1.0757e-03 -1.6852e-03 -5.5358e-07
8.2034e-02 1.3830e-03 -1.6852e-03 -7.3055e-07
1.0026e-01 1.6904e-03 -1.6852e-03 -9.2193e-07
1.1849e-01 1.9978e-03 -1.6852e-03 -1.1308e-06
1.3672e-01 2.3051e-03 -1.6852e-03 -1.3651e-06
1.5495e-01 2.6125e-03 -1.6852e-03 -1.6270e-06
1.7318e-01 2.9199e-03 -1.6852e-03 -1.9250e-06
1.9141e-01 3.2274e-03 -1.6852e-03 -2.2632e-06
2.0964e-01 3.5348e-03 -1.6852e-03 -2.6556e-06
2.2787e-01 3.8423e-03 -1.6852e-03 -3.1084e-06
2.4610e-01 4.1498e-03 -1.6853e-03 -3.6400e-06
2.6433e-01 4.4574e-03 -1.6852e-03 -4.2577e-06
2.8256e-01 4.7650e-03 -1.6853e-03 -4.9917e-06
3.0079e-01 5.0727e-03 -1.6853e-03 -5.8543e-06
3.1902e-01 5.3804e-03 -1.6853e-03 -6.8937e-06
3.3725e-01 5.6883e-03 -1.6855e-03 -8.2552e-06
3.5548e-01 5.9855e-03 -1.6959e-03 -5.6148e-06
3.7133e-01 6.2838e-03 -1.6802e-03 -5.3363e-05
3.8426e-01 6.5000e-03 -1.6708e-03 -5.2558e-05
3.9613e-01 6.7096e-03 -1.6685e-03 -5.9959e-05
4.0705e-01 6.9051e-03 -1.6686e-03 -6.6434e-05
4.1707e-01 7.0870e-03 -1.6685e-03 -7.3800e-05
4.2628e-01 7.2569e-03 -1.6685e-03 -8.1735e-05
4.3475e-01 7.4155e-03 -1.6685e-03 -9.0516e-05
4.4252e-01 7.5642e-03 -1.6685e-03 -9.9861e-05
4.4966e-01 7.7034e-03 -1.6684e-03 -1.0998e-04
4.5623e-01 7.8344e-03 -1.6685e-03 -1.2063e-04
4.6226e-01 7.9574e-03 -1.6684e-03 -1.3193e-04
4.6780e-01 8.0734e-03 -1.6684e-03 -1.4364e-04
4.7289e-01 8.1825e-03 -1.6683e-03 -1.5587e-04
4.7757e-01 8.2857e-03 -1.6683e-03 -1.6837e-04
4.8187e-01 8.3828e-03 -1.6682e-03 -1.8118e-04
4.8582e-01 8.4746e-03 -1.6681e-03 -1.9411e-04
4.8944e-01 8.5610e-03 -1.6680e-03 -2.0716e-04
4.9278e-01 8.6426e-03 -1.6679e-03 -2.2015e-04
4.9584e-01 8.7191e-03 -1.6676e-03 -2.3304e-04
4.9865e-01 8.7903e-03 -1.6660e-03 -2.4576e-04
