#          y     vel_x      p_xy       q_x
9.9611e-03 1.8792e-04 -5.6597e-04 -3.1023e-08
2.9883e-02 5.6377e-04 -5.6597e-04 -9.2943e-08
4.9806e-02 9.3961e-04 -5.6597e-04 -1.5449e-07
6.9728e-02 1.3155e-03 -5.6597e-04 -2.1543e-07
8.9650e-02 1.6913e-03 -5.6597e-04 -2.7548e-07
1.0957e-01 2.0671e-03 -5.6597e-04 -3.3438e-07
1.2949e-01 2.4430e-03 -5.6597e-04 -3.9187e-07
1.4942e-01 2.8188e-03 -5.6597e-04 -4.4763e-07
1.6934e-01 3.1947e-03 -5.6597e-04 -5.0137e-07
1.8926e-01 3.5705e-03 -5.6597e-04 -5.5276e-07
2.0918e-01 3.9463e-03 -5.6597e-04 -6.0145e-07
2.2911e-01 4.3222e-03 -5.6597e-04 -6.4708e-07
2.4903e-01 4.6980e-03 -5.6597e-04 -6.8924e-07
2.6895e-01 5.0738e-03 -5.6597e-04 -7.2753e-07
2.8887e-01 5.4497e-03 -5.6597e-04 -7.6150e-07
3.0880e-01 5.8255e-03 -5.6597e-04 -7.9071e-07
3.2872e-01 6.2013e-03 -5.6597e-04 -8.1458e-07
3.4864e-01 6.5771e-03 -5.6597e-04 -8.3310e-07
3.6856e-01 6.9529e-03 -5.6600e-04 -8.4366e-07
3.8848e-01 7.3289e-03 -5.6588e-04 -8.5970e-07
4.0864e-01 7.7176e-03 -5.6658e-04 -5.2676e-06
4.2706e-01 8.0695e-03 -5.6606e-04 -6.8140e-06
4.4193e-01 8.3557e-03 -5.6596e-04 -9.6382e-06
4.5394e-01 8.5889e-03 -5.6592e-04 -1.2967e-05
4.6364e-01 8.7799e-03 -5.6590e-04 -1.7045e-05
4.7147e-01 8.9372e-03 -5.6587e-04 -2.1926e-05
4.7779e-01 9.0679e-03 -5.6584e-04 -2.7660e-05
4.8289e-01 9.1771e-03 -5.6581e-04 -3.4191e-05
4.8701e-01 9.2690e-03 -5.6578e-04 -4.1348e-05
4.9033e-01 9.3468e-03 -5.6575e-04 -4.8878e-05
4.9302e-01 9.4125e-03 -5.6572e-04 -5.6488e-05
4.9519e-01 9.4682e-03 -5.6568e-04 -6.3900e-05
4.9694e-01 9.5150e-03 -5.6558e-04 -7.0869e-05
4.9835e-01 9.5539e-03 -5.6520e-04 -7.7185e-05
4.9949e-01 9.5851e-03 -5.6391e-04 -8.2429e-05
