#           y      vel_x       p_xy        q_x
1.14594e-02 1.43739e-04 -3.76303e-03 -3.03548e-08
3.43783e-02 4.31220e-04 -3.76303e-03 -9.09493e-08
5.72972e-02 7.18692e-04 -3.76304e-03 -1.51194e-07
8.02161e-02 1.00619e-03 -3.76302e-03 -2.10875e-07
1.03135e-01 1.29360e-03 -3.76308e-03 -2.69685e-07
1.26054e-01 1.58131e-03 -3.76288e-03 -3.27703e-07
1.48973e-01 1.86802e-03 -3.76349e-03 -3.83449e-07
1.71892e-01 2.15790e-03 -3.76146e-03 -4.41377e-07
1.94811e-01 2.43716e-03 -3.76766e-03 -4.84997e-07
2.17730e-01 2.74872e-03 -3.74568e-03 -5.71018e-07
2.41602e-01 3.27721e-03 -3.80833e-03 -1.62658e-04
2.65553e-01 3.54120e-03 -3.74971e-03 -1.53497e-04
2.87820e-01 3.87327e-03 -3.76750e-03 -1.76230e-04
3.08519e-01 4.15711e-03 -3.76170e-03 -1.89497e-04
3.27762e-01 4.43220e-03 -3.76346e-03 -2.05975e-04
3.45651e-01 4.68848e-03 -3.76290e-03 -2.22076e-04
3.62281e-01 4.93077e-03 -3.76307e-03 -2.38901e-04
3.77742e-01 5.15915e-03 -3.76302e-03 -2.56166e-04
3.92114e-01 5.37504e-03 -3.76304e-03 -2.73987e-04
4.05475e-01 5.57936e-03 -3.76303e-03 -2.92370e-04
4.17896e-01 5.77312e-03 -3.76304e-03 -3.11373e-04
4.29442e-01 5.95734e-03 -3.76304e-03 -3.31078e-04
4.40177e-01 6.13304e-03 -3.76304e-03 -3.51625e-04
4.50156e-01 6.30141e-03 -3.76304e-03 -3.73239e-04
4.59433e-01 6.46378e-03 -3.76305e-03 -3.96256e-04
4.68057e-01 6.62173e-03 -3.76305e-03 -4.21158e-04
4.76074e-01 6.77715e-03 -3.76305e-03 -4.48612e-04
4.83527e-01 6.93235e-03 -3.76309e-03 -4.79429e-04
4.90456e-01 7.08941e-03 -3.76289e-03 -5.14707e-04
4.96897e-01 7.25207e-03 -3.76340e-03 -5.55075e-04
