#          y     vel_x      p_xy       q_x
4.0667e-02 7.2424e-04 -1.5765e-04 -2.9611e-08
1.2200e-01 2.1756e-03 -1.5844e-04 -3.4430e-08
2.0333e-01 3.6461e-03 -1.6233e-04 8.9293e-08
2.8467e-01 5.1757e-03 -1.7186e-04 2.8739e-07
3.6600e-01 6.8149e-03 -1.8630e-04 3.0579e-07
4.4733e-01 8.5847e-03 -1.9775e-04 -1.6437e-07
4.8993e-01 9.5416e-03 -2.1521e-04 -5.1338e-06
4.9326e-01 9.6317e-03 -2.2028e-04 -9.4976e-06
4.9568e-01 9.7003e-03 -2.2069e-04 -1.4215e-05
4.9743e-01 9.7545e-03 -2.2093e-04 -1.9645e-05
4.9869e-01 9.7968e-03 -2.2063e-04 -2.5191e-05
4.9961e-01 9.8286e-03 -2.1942e-04 -3.0081e-05
