#           y      vel_x       p_xy        q_x
9.82494e-03 1.63796e-04 -1.66717e-03 -3.65479e-08
2.94748e-02 4.91389e-04 -1.66717e-03 -1.09517e-07
4.91247e-02 8.18981e-04 -1.66717e-03 -1.82106e-07
6.87746e-02 1.14657e-03 -1.66717e-03 -2.54062e-07
8.84244e-02 1.47417e-03 -1.66717e-03 -3.25120e-07
1.08074e-01 1.80176e-03 -1.66717e-03 -3.95067e-07
1.27724e-01 2.12935e-03 -1.66717e-03 -4.63550e-07
1.47374e-01 2.45694e-03 -1.66717e-03 -5.30385e-07
1.67024e-01 2.78453e-03 -1.66717e-03 -5.95282e-07
1.86674e-01 3.11211e-03 -1.66717e-03 -6.57972e-07
2.06324e-01 3.43970e-03 -1.66717e-03 -7.18176e-07
2.25974e-01 3.76729e-03 -1.66717e-03 -7.75614e-07
2.45623e-01 4.09487e-03 -1.66717e-03 -8.29996e-07
2.65273e-01 4.42245e-03 -1.66717e-03 -8.81040e-07
2.84923e-01 4.75003e-03 -1.66717e-03 -9.28412e-07
3.04573e-01 5.07762e-03 -1.66716e-03 -9.71911e-07
3.24223e-01 5.40515e-03 -1.66720e-03 -1.01087e-06
3.43873e-01 5.73286e-03 -1.66709e-03 -1.04612e-06
3.63523e-01 6.06002e-03 -1.66741e-03 -1.07359e-06
3.83173e-01 6.38884e-03 -1.66639e-03 -1.10503e-06
4.02822e-01 6.71240e-03 -1.66941e-03 -1.10130e-06
4.22472e-01 7.05139e-03 -1.65952e-03 -1.18041e-06
4.41888e-01 7.53900e-03 -1.68608e-03 -1.02562e-04
4.58604e-01 7.83589e-03 -1.66394e-03 -1.09830e-04
4.71025e-01 8.09498e-03 -1.66823e-03 -1.35492e-04
4.80253e-01 8.29066e-03 -1.66686e-03 -1.56431e-04
4.87109e-01 8.44859e-03 -1.66721e-03 -1.78206e-04
4.92204e-01 8.57705e-03 -1.66712e-03 -1.99967e-04
4.95989e-01 8.68455e-03 -1.66709e-03 -2.22245e-04
4.98801e-01 8.77651e-03 -1.66731e-03 -2.44490e-04
