#           y      vel_x       p_xy        q_x
1.43243e-02 2.38092e-04 -1.66225e-03 -3.92045e-08
4.29729e-02 7.14277e-04 -1.66225e-03 -1.17118e-07
7.16216e-02 1.19046e-03 -1.66226e-03 -1.93505e-07
1.00270e-01 1.66665e-03 -1.66224e-03 -2.67568e-07
1.28919e-01 2.14279e-03 -1.66228e-03 -3.37583e-07
1.57567e-01 2.61912e-03 -1.66216e-03 -4.04874e-07
1.86216e-01 3.09480e-03 -1.66256e-03 -4.60237e-07
2.14865e-01 3.57262e-03 -1.66128e-03 -5.32551e-07
2.42662e-01 4.06933e-03 -1.66544e-03 -2.03820e-05
2.68515e-01 4.50226e-03 -1.66203e-03 -1.92554e-05
2.92267e-01 4.90657e-03 -1.66247e-03 -2.43987e-05
3.14090e-01 5.27784e-03 -1.66222e-03 -2.85534e-05
3.34141e-01 5.62117e-03 -1.66228e-03 -3.36119e-05
3.52564e-01 5.93843e-03 -1.66226e-03 -3.91502e-05
3.69490e-01 6.23208e-03 -1.66226e-03 -4.53186e-05
3.85041e-01 6.50416e-03 -1.66226e-03 -5.21286e-05
3.99330e-01 6.75663e-03 -1.66226e-03 -5.96303e-05
4.12458e-01 6.99129e-03 -1.66226e-03 -6.78728e-05
4.24519e-01 7.20984e-03 -1.66226e-03 -7.69174e-05
4.35601e-01 7.41387e-03 -1.66227e-03 -8.68395e-05
4.45783e-01 7.60488e-03 -1.66227e-03 -9.77330e-05
4.55138e-01 7.78432e-03 -1.66227e-03 -1.09715e-04
4.63734e-01 7.95362e-03 -1.66228e-03 -1.22943e-04
4.71631e-01 8.11429e-03 -1.66229e-03 -1.37654e-04
4.78886e-01 8.26819e-03 -1.66230e-03 -1.54332e-04
4.85553e-01 8.41844e-03 -1.66236e-03 -1.74001e-04
4.91678e-01 8.56975e-03 -1.66224e-03 -1.99005e-04
4.97305e-01 8.73307e-03 -1.66245e-03 -2.33134e-04
