#           y      vel_x       p_xy        q_x
9.11486e-03 1.51690e-04 -1.17678e-03 -1.52160e-08
2.73446e-02 4.55070e-04 -1.17678e-03 -4.55860e-08
4.55743e-02 7.58450e-04 -1.17678e-03 -7.57702e-08
6.38040e-02 1.06183e-03 -1.17678e-03 -1.05645e-07
8.20338e-02 1.36521e-03 -1.17678e-03 -1.35085e-07
1.00263e-01 1.66859e-03 -1.17678e-03 -1.63967e-07
1.18493e-01 1.97197e-03 -1.17678e-03 -1.92164e-07
1.36723e-01 2.27535e-03 -1.17678e-03 -2.19555e-07
1.54953e-01 2.57872e-03 -1.17678e-03 -2.46010e-07
1.73182e-01 2.88210e-03 -1.17678e-03 -2.71404e-07
1.91412e-01 3.18548e-03 -1.17678e-03 -2.95608e-07
2.09642e-01 3.48885e-03 -1.17678e-03 -3.18496e-07
2.27872e-01 3.79223e-03 -1.17678e-03 -3.39933e-07
2.46101e-01 4.09561e-03 -1.17678e-03 -3.59803e-07
2.64331e-01 4.39896e-03 -1.17679e-03 -3.77924e-07
2.82561e-01 4.70239e-03 -1.17675e-03 -3.94333e-07
3.00790e-01 5.00558e-03 -1.17686e-03 -4.08304e-07
3.19020e-01 5.30952e-03 -1.17652e-03 -4.21761e-07
3.37250e-01 5.61100e-03 -1.17755e-03 -4.27997e-07
3.55480e-01 5.92008e-03 -1.17410e-03 -4.48109e-07
3.73542e-01 6.30505e-03 -1.18407e-03 -5.25366e-05
3.90466e-01 6.58925e-03 -1.17552e-03 -5.16519e-05
4.05551e-01 6.86281e-03 -1.17733e-03 -6.28580e-05
4.18998e-01 7.10418e-03 -1.17665e-03 -7.16269e-05
4.30985e-01 7.32411e-03 -1.17683e-03 -8.18269e-05
4.41671e-01 7.52322e-03 -1.17677e-03 -9.24870e-05
4.51195e-01 7.70452e-03 -1.17678e-03 -1.03877e-04
4.59686e-01 7.86994e-03 -1.17678e-03 -1.15949e-04
4.67254e-01 8.02149e-03 -1.17678e-03 -1.28750e-04
4.74001e-01 8.16096e-03 -1.17678e-03 -1.42355e-04
4.80015e-01 8.29024e-03 -1.17679e-03 -1.56957e-04
4.85375e-01 8.41149e-03 -1.17679e-03 -1.72991e-04
4.90154e-01 8.52762e-03 -1.17681e-03 -1.91259e-04
4.94413e-01 8.64192e-03 -1.17674e-03 -2.13120e-04
4.98210e-01 8.75990e-03 -1.17691e-03 -2.40038e-04
