#           y      vel_x       p_xy        q_x
1.14594e-02 1.49998e-04 -3.77399e-03 -3.06174e-06
3.43783e-02 4.50100e-04 -3.77399e-03 -9.21021e-06
5.72972e-02 7.50558e-04 -3.77399e-03 -1.54527e-05
8.02161e-02 1.05155e-03 -3.77401e-03 -2.18125e-05
1.03135e-01 1.35352e-03 -3.77395e-03 -2.84697e-05
1.26054e-01 1.65614e-03 -3.77411e-03 -3.51026e-05
1.48973e-01 1.96171e-03 -3.77365e-03 -4.30723e-05
1.71892e-01 2.26436e-03 -3.77489e-03 -4.81727e-05
1.94811e-01 2.58380e-03 -3.77135e-03 -6.47042e-05
2.17730e-01 2.85874e-03 -3.77921e-03 -4.50310e-05
2.41602e-01 3.28087e-03 -3.79555e-03 -1.83522e-04
2.65553e-01 3.56331e-03 -3.76657e-03 -1.74575e-04
2.87820e-01 3.88229e-03 -3.77629e-03 -1.94156e-04
3.08519e-01 4.16605e-03 -3.77323e-03 -2.06430e-04
3.27762e-01 4.43832e-03 -3.77422e-03 -2.21677e-04
3.45651e-01 4.69329e-03 -3.77391e-03 -2.36897e-04
3.62281e-01 4.93427e-03 -3.77400e-03 -2.52939e-04
3.77742e-01 5.16168e-03 -3.77397e-03 -2.69551e-04
3.92114e-01 5.37676e-03 -3.77398e-03 -2.86809e-04
4.05475e-01 5.58042e-03 -3.77398e-03 -3.04706e-04
4.17896e-01 5.77365e-03 -3.77398e-03 -3.23287e-04
4.29442e-01 5.95742e-03 -3.77399e-03 -3.42623e-04
4.40177e-01 6.13277e-03 -3.77399e-03 -3.62847e-04
4.50156e-01 6.30084e-03 -3.77399e-03 -3.84176e-04
4.59433e-01 6.46296e-03 -3.77399e-03 -4.06943e-04
4.68057e-01 6.62072e-03 -3.77400e-03 -4.31624e-04
4.76074e-01 6.77597e-03 -3.77400e-03 -4.58885e-04
4.83527e-01 6.93105e-03 -3.77404e-03 -4.89532e-04
4.90456e-01 7.08802e-03 -3.77384e-03 -5.24662e-04
4.96897e-01 7.25061e-03 -3.77435e-03 -5.64902e-04
