#           y      vel_x       p_xy        q_x
9.82494e-03 1.64290e-04 -1.66921e-03 -2.10577e-07
2.94748e-02 4.92877e-04 -1.66921e-03 -6.36859e-07
4.91247e-02 8.21485e-04 -1.66921e-03 -1.07867e-06
6.87746e-02 1.15013e-03 -1.66921e-03 -1.54683e-06
8.84244e-02 1.47882e-03 -1.66921e-03 -2.05292e-06
1.08074e-01 1.80758e-03 -1.66921e-03 -2.60960e-06
1.27724e-01 2.13642e-03 -1.66921e-03 -3.23098e-06
1.47374e-01 2.46537e-03 -1.66921e-03 -3.93309e-06
1.67024e-01 2.79446e-03 -1.66921e-03 -4.73444e-06
1.86674e-01 3.12370e-03 -1.66921e-03 -5.65664e-06
2.06324e-01 3.45316e-03 -1.66921e-03 -6.72545e-06
2.25974e-01 3.78286e-03 -1.66922e-03 -7.97148e-06
2.45623e-01 4.11288e-03 -1.66922e-03 -9.43332e-06
2.65273e-01 4.44332e-03 -1.66922e-03 -1.11548e-05
2.84923e-01 4.77429e-03 -1.66923e-03 -1.32050e-05
3.04573e-01 5.10600e-03 -1.66922e-03 -1.56280e-05
3.24223e-01 5.43871e-03 -1.66927e-03 -1.86328e-05
3.43873e-01 5.77284e-03 -1.66914e-03 -2.20031e-05
3.63523e-01 6.10921e-03 -1.66956e-03 -2.71017e-05
3.83173e-01 6.44795e-03 -1.66839e-03 -3.03166e-05
4.02822e-01 6.79489e-03 -1.67191e-03 -4.49092e-05
4.22472e-01 7.13286e-03 -1.66193e-03 -2.82311e-05
4.41888e-01 7.54451e-03 -1.67425e-03 -1.10083e-04
4.58604e-01 7.84552e-03 -1.66730e-03 -1.17402e-04
4.71025e-01 8.09930e-03 -1.66955e-03 -1.41691e-04
4.80253e-01 8.29456e-03 -1.66902e-03 -1.62191e-04
4.87109e-01 8.45163e-03 -1.66921e-03 -1.83574e-04
4.92204e-01 8.57966e-03 -1.66917e-03 -2.05081e-04
4.95989e-01 8.68681e-03 -1.66913e-03 -2.27165e-04
4.98801e-01 8.77851e-03 -1.66935e-03 -2.49264e-04
