#           y      vel_x       p_xy        q_x
1.43243e-02 2.38622e-04 -1.66298e-03 -3.20890e-07
4.29729e-02 7.15899e-04 -1.66298e-03 -9.80544e-07
7.16216e-02 1.19329e-03 -1.66298e-03 -1.71066e-06
1.00270e-01 1.67089e-03 -1.66298e-03 -2.53080e-06
1.28919e-01 2.14893e-03 -1.66301e-03 -3.62711e-06
1.57567e-01 2.62751e-03 -1.66295e-03 -4.66905e-06
1.86216e-01 3.10805e-03 -1.66318e-03 -7.38570e-06
2.14865e-01 3.58734e-03 -1.66265e-03 -6.02484e-06
2.42662e-01 4.06955e-03 -1.66386e-03 -2.19777e-05
2.68515e-01 4.50306e-03 -1.66300e-03 -2.07671e-05
2.92267e-01 4.90625e-03 -1.66305e-03 -2.55210e-05
3.14090e-01 5.27740e-03 -1.66297e-03 -2.95040e-05
3.34141e-01 5.62054e-03 -1.66299e-03 -3.44176e-05
3.52564e-01 5.93773e-03 -1.66298e-03 -3.98529e-05
3.69490e-01 6.23133e-03 -1.66298e-03 -4.59408e-05
3.85041e-01 6.50339e-03 -1.66298e-03 -5.26880e-05
3.99330e-01 6.75587e-03 -1.66298e-03 -6.01399e-05
4.12458e-01 6.99055e-03 -1.66298e-03 -6.83424e-05
4.24519e-01 7.20912e-03 -1.66298e-03 -7.73548e-05
4.35601e-01 7.41317e-03 -1.66299e-03 -8.72507e-05
4.45783e-01 7.60420e-03 -1.66299e-03 -9.81230e-05
4.55138e-01 7.78368e-03 -1.66299e-03 -1.10088e-04
4.63734e-01 7.95301e-03 -1.66300e-03 -1.23302e-04
4.71631e-01 8.11372e-03 -1.66301e-03 -1.38003e-04
4.78886e-01 8.26766e-03 -1.66302e-03 -1.54673e-04
4.85553e-01 8.41794e-03 -1.66308e-03 -1.74337e-04
4.91678e-01 8.56929e-03 -1.66295e-03 -1.99338e-04
4.97305e-01 8.73266e-03 -1.66317e-03 -2.33470e-04
