#           y      vel_x       p_xy        q_x
9.11486e-03 1.52042e-04 -1.66553e-03 -1.74310e-07
2.73446e-02 4.56132e-04 -1.66553e-03 -5.26709e-07
4.55743e-02 7.60236e-04 -1.66553e-03 -8.90548e-07
6.38040e-02 1.06437e-03 -1.66553e-03 -1.27379e-06
8.20338e-02 1.36853e-03 -1.66553e-03 -1.68493e-06
1.00263e-01 1.67275e-03 -1.66553e-03 -2.13322e-06
1.18493e-01 1.97703e-03 -1.66553e-03 -2.62899e-06
1.36723e-01 2.28140e-03 -1.66553e-03 -3.18398e-06
1.54953e-01 2.58587e-03 -1.66553e-03 -3.81180e-06
1.73182e-01 2.89047e-03 -1.66553e-03 -4.52842e-06
1.91412e-01 3.19523e-03 -1.66553e-03 -5.35349e-06
2.09642e-01 3.50022e-03 -1.66553e-03 -6.30950e-06
2.27872e-01 3.80549e-03 -1.66553e-03 -7.43025e-06
2.46101e-01 4.11115e-03 -1.66553e-03 -8.73962e-06
2.64331e-01 4.41734e-03 -1.66555e-03 -1.03365e-05
2.82561e-01 4.72427e-03 -1.66549e-03 -1.21190e-05
3.00790e-01 5.03233e-03 -1.66572e-03 -1.47631e-05
3.19020e-01 5.34163e-03 -1.66499e-03 -1.63709e-05
3.37250e-01 5.65467e-03 -1.66739e-03 -2.41132e-05
3.55480e-01 5.96401e-03 -1.65958e-03 -1.37135e-05
3.73542e-01 6.30677e-03 -1.66786e-03 -5.60888e-05
3.90466e-01 6.59370e-03 -1.66456e-03 -5.49242e-05
4.05551e-01 6.86419e-03 -1.66580e-03 -6.55365e-05
4.18998e-01 7.10548e-03 -1.66543e-03 -7.40427e-05
4.30985e-01 7.32490e-03 -1.66556e-03 -8.40092e-05
4.41671e-01 7.52380e-03 -1.66552e-03 -9.44969e-05
4.51195e-01 7.70489e-03 -1.66553e-03 -1.05747e-04
4.59686e-01 7.87018e-03 -1.66553e-03 -1.17706e-04
4.67254e-01 8.02162e-03 -1.66553e-03 -1.30416e-04
4.74001e-01 8.16101e-03 -1.66553e-03 -1.43944e-04
4.80015e-01 8.29023e-03 -1.66554e-03 -1.58484e-04
4.85375e-01 8.41144e-03 -1.66555e-03 -1.74466e-04
4.90154e-01 8.52753e-03 -1.66558e-03 -1.92691e-04
4.94413e-01 8.64181e-03 -1.66547e-03 -2.14517e-04
4.98210e-01 8.75977e-03 -1.66572e-03 -2.41406e-04
