#          y     vel_x      p_xy       q_x
9.1149e-03 1.5379e-04 -1.6872e-03 -7.0267e-09
2.7345e-02 4.6135e-04 -1.6872e-03 -2.1069e-08
4.5574e-02 7.6893e-04 -1.6872e-03 -3.4986e-08
6.3804e-02 1.0765e-03 -1.6872e-03 -4.8754e-08
8.2034e-02 1.3841e-03 -1.6872e-03 -6.2252e-08
1.0026e-01 1.6916e-03 -1.6872e-03 -7.5443e-08
1.1849e-01 1.9992e-03 -1.6872e-03 -8.8235e-08
1.3672e-01 2.3068e-03 -1.6872e-03 -1.0045e-07
1.5495e-01 2.6143e-03 -1.6872e-03 -1.1214e-07
1.7318e-01 2.9219e-03 -1.6872e-03 -1.2305e-07
1.9141e-01 3.2295e-03 -1.6872e-03 -1.3315e-07
2.0964e-01 3.5370e-03 -1.6872e-03 -1.4217e-07
2.2787e-01 3.8446e-03 -1.6872e-03 -1.5014e-07
2.4610e-01 4.1522e-03 -1.6872e-03 -1.5663e-07
2.6433e-01 4.4598e-03 -1.6872e-03 -1.6178e-07
2.8256e-01 4.7673e-03 -1.6872e-03 -1.6487e-07
3.0079e-01 5.0749e-03 -1.6872e-03 -1.6625e-07
3.1902e-01 5.3825e-03 -1.6873e-03 -1.6480e-07
3.3725e-01 5.6902e-03 -1.6874e-03 -1.6185e-07
3.5548e-01 5.9843e-03 -1.6990e-03 -7.8489e-08
3.7133e-01 6.2796e-03 -1.6778e-03 -5.4097e-05
3.8426e-01 6.4983e-03 -1.6732e-03 -4.9885e-05
3.9613e-01 6.7074e-03 -1.6694e-03 -5.8847e-05
4.0705e-01 6.9031e-03 -1.6695e-03 -6.5480e-05
4.1707e-01 7.0851e-03 -1.6694e-03 -7.3002e-05
4.2628e-01 7.2552e-03 -1.6694e-03 -8.1016e-05
4.3475e-01 7.4138e-03 -1.6693e-03 -8.9897e-05
4.4252e-01 7.5626e-03 -1.6694e-03 -9.9285e-05
4.4966e-01 7.7019e-03 -1.6693e-03 -1.0948e-04
4.5623e-01 7.8330e-03 -1.6694e-03 -1.2014e-04
4.6226e-01 7.9561e-03 -1.6692e-03 -1.3151e-04
4.6780e-01 8.0722e-03 -1.6693e-03 -1.4324e-04
4.7289e-01 8.1814e-03 -1.6692e-03 -1.5550e-04
4.7757e-01 8.2846e-03 -1.6692e-03 -1.6802e-04
4.8187e-01 8.3818e-03 -1.6690e-03 -1.8087e-04
4.8582e-01 8.4737e-03 -1.6690e-03 -1.9381e-04
4.8944e-01 8.5601e-03 -1.6689e-03 -2.0689e-04
4.9278e-01 8.6418e-03 -1.6688e-03 -2.1989e-04
4.9584e-01 8.7183e-03 -1.6684e-03 -2.3281e-04
4.9865e-01 8.7896e-03 -1.6669e-03 -2.4553e-04
