#        X        v_x      -p_xy       -q_x
2.5482e-05 1.6909e-05 1.8690e-01 5.1662e-07
3.9317e-03 2.6089e-03 1.8690e-01 7.9713e-05
7.8380e-03 5.2009e-03 1.8690e-01 1.5893e-04
1.1744e-02 7.7930e-03 1.8690e-01 2.3817e-04
1.5650e-02 1.0385e-02 1.8690e-01 3.1747e-04
1.9557e-02 1.2978e-02 1.8690e-01 3.9684e-04
2.3463e-02 1.5570e-02 1.8690e-01 4.7630e-04
2.7369e-02 1.8163e-02 1.8690e-01 5.5586e-04
3.1275e-02 2.0756e-02 1.8690e-01 6.3554e-04
3.5182e-02 2.3349e-02 1.8690e-01 7.1536e-04
3.9088e-02 2.5943e-02 1.8690e-01 7.9534e-04
4.2994e-02 2.8537e-02 1.8690e-01 8.7549e-04
4.6900e-02 3.1131e-02 1.8690e-01 9.5584e-04
5.0807e-02 3.3726e-02 1.8690e-01 1.0364e-03
5.4713e-02 3.6321e-02 1.8690e-01 1.1172e-03
5.8619e-02 3.8917e-02 1.8690e-01 1.1983e-03
6.2525e-02 4.1513e-02 1.8690e-01 1.2796e-03
6.6432e-02 4.4110e-02 1.8690e-01 1.3612e-03
7.0338e-02 4.6707e-02 1.8690e-01 1.4431e-03
7.4244e-02 4.9305e-02 1.8690e-01 1.5254e-03
7.8150e-02 5.1904e-02 1.8690e-01 1.6080e-03
8.2057e-02 5.4504e-02 1.8690e-01 1.6909e-03
8.5963e-02 5.7104e-02 1.8690e-01 1.7743e-03
8.9869e-02 5.9705e-02 1.8690e-01 1.8581e-03
9.3775e-02 6.2307e-02 1.8690e-01 1.9423e-03
9.7682e-02 6.4910e-02 1.8690e-01 2.0269e-03
1.0159e-01 6.7514e-02 1.8690e-01 2.1121e-03
1.0549e-01 7.0119e-02 1.8690e-01 2.1977e-03
1.0940e-01 7.2725e-02 1.8690e-01 2.2839e-03
1.1331e-01 7.5332e-02 1.8690e-01 2.3706e-03
1.1721e-01 7.7940e-02 1.8690e-01 2.4579e-03
1.2112e-01 8.0549e-02 1.8690e-01 2.5458e-03
1.2503e-01 8.3160e-02 1.8690e-01 2.6343e-03
1.2893e-01 8.5772e-02 1.8690e-01 2.7234e-03
1.3284e-01 8.8385e-02 1.8690e-01 2.8131e-03
1.3674e-01 9.0999e-02 1.8690e-01 2.9036e-03
1.4065e-01 9.3615e-02 1.8690e-01 2.9948e-03
1.4456e-01 9.6233e-02 1.8690e-01 3.0866e-03
1.4846e-01 9.8851e-02 1.8690e-01 3.1793e-03
1.5237e-01 1.0147e-01 1.8690e-01 3.2727e-03
1.5628e-01 1.0409e-01 1.8690e-01 3.3669e-03
1.6018e-01 1.0672e-01 1.8690e-01 3.4620e-03
1.6409e-01 1.0934e-01 1.8690e-01 3.5579e-03
1.6799e-01 1.1197e-01 1.8690e-01 3.6547e-03
1.7190e-01 1.1460e-01 1.8690e-01 3.7524e-03
1.7581e-01 1.1723e-01 1.8690e-01 3.8511e-03
1.7971e-01 1.1986e-01 1.8690e-01 3.9508e-03
1.8362e-01 1.2250e-01 1.8690e-01 4.0515e-03
1.8753e-01 1.2514e-01 1.8690e-01 4.1533e-03
1.9143e-01 1.2778e-01 1.8690e-01 4.2562e-03
1.9534e-01 1.3042e-01 1.8690e-01 4.3603e-03
1.9924e-01 1.3306e-01 1.8690e-01 4.4656e-03
2.0315e-01 1.3571e-01 1.8690e-01 4.5721e-03
2.0706e-01 1.3836e-01 1.8690e-01 4.6799e-03
2.1096e-01 1.4101e-01 1.8690e-01 4.7890e-03
2.1487e-01 1.4366e-01 1.8690e-01 4.8995e-03
2.1878e-01 1.4632e-01 1.8690e-01 5.0113e-03
2.2268e-01 1.4898e-01 1.8690e-01 5.1244e-03
2.2659e-01 1.5164e-01 1.8690e-01 5.2390e-03
2.3049e-01 1.5431e-01 1.8690e-01 5.3551e-03
2.3440e-01 1.5698e-01 1.8690e-01 5.4727e-03
2.3831e-01 1.5965e-01 1.8690e-01 5.5918e-03
2.4221e-01 1.6232e-01 1.8690e-01 5.7125e-03
2.4612e-01 1.6500e-01 1.8690e-01 5.8348e-03
2.5003e-01 1.6768e-01 1.8690e-01 5.9589e-03
2.5393e-01 1.7037e-01 1.8690e-01 6.0848e-03
2.5784e-01 1.7306e-01 1.8690e-01 6.2125e-03
2.6174e-01 1.7575e-01 1.8690e-01 6.3423e-03
2.6565e-01 1.7845e-01 1.8690e-01 6.4741e-03
2.6956e-01 1.8115e-01 1.8690e-01 6.6081e-03
2.7346e-01 1.8386e-01 1.8690e-01 6.7444e-03
2.7737e-01 1.8657e-01 1.8690e-01 6.8830e-03
2.8128e-01 1.8928e-01 1.8690e-01 7.0238e-03
2.8518e-01 1.9200e-01 1.8690e-01 7.1670e-03
2.8909e-01 1.9473e-01 1.8690e-01 7.3126e-03
2.9299e-01 1.9746e-01 1.8690e-01 7.4606e-03
2.9690e-01 2.0019e-01 1.8690e-01 7.6111e-03
3.0081e-01 2.0293e-01 1.8690e-01 7.7642e-03
3.0471e-01 2.0568e-01 1.8690e-01 7.9199e-03
3.0862e-01 2.0843e-01 1.8690e-01 8.0785e-03
3.1253e-01 2.1118e-01 1.8690e-01 8.2401e-03
3.1643e-01 2.1395e-01 1.8690e-01 8.4049e-03
3.2034e-01 2.1672e-01 1.8690e-01 8.5732e-03
3.2424e-01 2.1950e-01 1.8690e-01 8.7450e-03
3.2815e-01 2.2228e-01 1.8690e-01 8.9205e-03
3.3206e-01 2.2507e-01 1.8690e-01 9.0997e-03
3.3596e-01 2.2787e-01 1.8690e-01 9.2826e-03
3.3987e-01 2.3068e-01 1.8690e-01 9.4693e-03
3.4378e-01 2.3349e-01 1.8690e-01 9.6599e-03
3.4768e-01 2.3632e-01 1.8690e-01 9.8546e-03
3.5159e-01 2.3915e-01 1.8690e-01 1.0054e-02
3.5549e-01 2.4199e-01 1.8690e-01 1.0257e-02
3.5940e-01 2.4484e-01 1.8690e-01 1.0466e-02
3.6331e-01 2.4770e-01 1.8690e-01 1.0679e-02
3.6721e-01 2.5057e-01 1.8690e-01 1.0899e-02
3.7112e-01 2.5346e-01 1.8690e-01 1.1124e-02
3.7503e-01 2.5635e-01 1.8690e-01 1.1355e-02
3.7893e-01 2.5926e-01 1.8690e-01 1.1591e-02
3.8284e-01 2.6218e-01 1.8690e-01 1.1834e-02
3.8674e-01 2.6511e-01 1.8690e-01 1.2084e-02
3.9065e-01 2.6806e-01 1.8690e-01 1.2340e-02
3.9456e-01 2.7102e-01 1.8690e-01 1.2604e-02
3.9846e-01 2.7400e-01 1.8690e-01 1.2877e-02
4.0237e-01 2.7699e-01 1.8690e-01 1.3157e-02
4.0628e-01 2.8000e-01 1.8690e-01 1.3447e-02
4.1018e-01 2.8303e-01 1.8690e-01 1.3745e-02
4.1409e-01 2.8609e-01 1.8690e-01 1.4054e-02
4.1799e-01 2.8916e-01 1.8690e-01 1.4373e-02
4.2190e-01 2.9225e-01 1.8690e-01 1.4704e-02
4.2581e-01 2.9537e-01 1.8690e-01 1.5047e-02
4.2971e-01 2.9852e-01 1.8690e-01 1.5403e-02
4.3362e-01 3.0169e-01 1.8690e-01 1.5773e-02
4.3753e-01 3.0490e-01 1.8690e-01 1.6159e-02
4.4143e-01 3.0813e-01 1.8690e-01 1.6561e-02
4.4534e-01 3.1141e-01 1.8690e-01 1.6981e-02
4.4924e-01 3.1472e-01 1.8690e-01 1.7421e-02
4.5315e-01 3.1808e-01 1.8690e-01 1.7883e-02
4.5706e-01 3.2149e-01 1.8690e-01 1.8370e-02
4.6096e-01 3.2495e-01 1.8690e-01 1.8884e-02
4.6487e-01 3.2847e-01 1.8690e-01 1.9428e-02
4.6878e-01 3.3206e-01 1.8690e-01 2.0008e-02
4.7268e-01 3.3574e-01 1.8690e-01 2.0629e-02
4.7659e-01 3.3951e-01 1.8690e-01 2.1298e-02
4.8049e-01 3.4340e-01 1.8690e-01 2.2026e-02
4.8440e-01 3.4743e-01 1.8690e-01 2.2826e-02
4.8831e-01 3.5166e-01 1.8690e-01 2.3721e-02
4.9221e-01 3.5615e-01 1.8690e-01 2.4751e-02
4.9612e-01 3.6108e-01 1.8690e-01 2.5997e-02
4.9910e-01 3.6547e-01 1.8690e-01 2.7265e-02
4.9987e-01 3.6690e-01 1.8690e-01 2.7742e-02
# k = 0.3, Nu = 256, Ng = 4, N_points = 2590, error_U = 3.65e-05, error_Pxy = 5.59e-07
