#          y     vel_x      p_xy       q_x
9.1149e-03 1.4657e-04 -1.6080e-03 -1.7253e-08
2.7345e-02 4.3969e-04 -1.6080e-03 -5.1777e-08
4.5574e-02 7.3283e-04 -1.6080e-03 -8.6349e-08
6.3804e-02 1.0260e-03 -1.6080e-03 -1.2100e-07
8.2034e-02 1.3191e-03 -1.6080e-03 -1.5576e-07
1.0026e-01 1.6122e-03 -1.6080e-03 -1.9064e-07
1.1849e-01 1.9053e-03 -1.6080e-03 -2.2565e-07
1.3672e-01 2.1985e-03 -1.6080e-03 -2.6086e-07
1.5495e-01 2.4916e-03 -1.6080e-03 -2.9622e-07
1.7318e-01 2.7847e-03 -1.6080e-03 -3.3178e-07
1.9141e-01 3.0779e-03 -1.6080e-03 -3.6750e-07
2.0964e-01 3.3710e-03 -1.6080e-03 -4.0340e-07
2.2787e-01 3.6641e-03 -1.6080e-03 -4.3942e-07
2.4610e-01 3.9572e-03 -1.6080e-03 -4.7557e-07
2.6433e-01 4.2504e-03 -1.6080e-03 -5.1176e-07
2.8256e-01 4.5435e-03 -1.6080e-03 -5.4798e-07
3.0079e-01 4.8366e-03 -1.6080e-03 -5.8410e-07
3.1902e-01 5.1297e-03 -1.6080e-03 -6.2012e-07
3.3725e-01 5.4229e-03 -1.6080e-03 -6.5585e-07
3.5548e-01 5.7160e-03 -1.6080e-03 -6.9126e-07
3.7133e-01 5.9709e-03 -1.6080e-03 -7.2164e-07
3.8426e-01 6.1787e-03 -1.6080e-03 -7.4608e-07
3.9613e-01 6.3697e-03 -1.6080e-03 -7.6820e-07
4.0705e-01 6.5451e-03 -1.6080e-03 -7.8822e-07
4.1707e-01 6.7063e-03 -1.6080e-03 -8.0630e-07
4.2628e-01 6.8544e-03 -1.6080e-03 -8.2264e-07
4.3475e-01 6.9905e-03 -1.6080e-03 -8.3737e-07
4.4252e-01 7.1155e-03 -1.6080e-03 -8.5068e-07
4.4966e-01 7.2304e-03 -1.6080e-03 -8.6267e-07
4.5623e-01 7.3359e-03 -1.6080e-03 -8.7350e-07
4.6226e-01 7.4329e-03 -1.6080e-03 -8.8325e-07
4.6780e-01 7.5220e-03 -1.6080e-03 -8.9207e-07
4.7289e-01 7.6039e-03 -1.6080e-03 -9.0002e-07
4.7757e-01 7.6791e-03 -1.6080e-03 -9.0719e-07
4.8187e-01 7.7482e-03 -1.6080e-03 -9.1375e-07
4.8582e-01 7.8117e-03 -1.6080e-03 -9.1937e-07
4.8944e-01 7.8700e-03 -1.6080e-03 -9.2545e-07
4.9278e-01 7.9236e-03 -1.6080e-03 -9.2800e-07
4.9584e-01 7.9728e-03 -1.6079e-03 -9.6858e-07
4.9865e-01 8.0157e-03 -1.6064e-03 -8.2615e-07
