Total energy = 1.500073926028797
#          y     vel_x      p_xy       q_x
9.9611e-03 1.8784e-04 -5.6596e-04 -1.2980e-08
2.9883e-02 5.6353e-04 -5.6596e-04 -3.9052e-08
4.9806e-02 9.3921e-04 -5.6596e-04 -6.5455e-08
6.9728e-02 1.3149e-03 -5.6596e-04 -9.2447e-08
8.9650e-02 1.6906e-03 -5.6596e-04 -1.2035e-07
1.0957e-01 2.0663e-03 -5.6596e-04 -1.4958e-07
1.2949e-01 2.4420e-03 -5.6596e-04 -1.8070e-07
1.4942e-01 2.8177e-03 -5.6596e-04 -2.1451e-07
1.6934e-01 3.1934e-03 -5.6596e-04 -2.5211e-07
1.8926e-01 3.5691e-03 -5.6596e-04 -2.9509e-07
2.0918e-01 3.9449e-03 -5.6596e-04 -3.4572e-07
2.2911e-01 4.3206e-03 -5.6596e-04 -4.0734e-07
2.4903e-01 4.6964e-03 -5.6596e-04 -4.8487e-07
2.6895e-01 5.0722e-03 -5.6596e-04 -5.8574e-07
2.8887e-01 5.4481e-03 -5.6596e-04 -7.2123e-07
3.0880e-01 5.8242e-03 -5.6596e-04 -9.0899e-07
3.2872e-01 6.2003e-03 -5.6597e-04 -1.1772e-06
3.4864e-01 6.5768e-03 -5.6597e-04 -1.5723e-06
3.6856e-01 6.9536e-03 -5.6598e-04 -2.1722e-06
3.8848e-01 7.3311e-03 -5.6600e-04 -3.1101e-06
4.0864e-01 7.7142e-03 -5.6598e-04 -4.6183e-06
4.2706e-01 8.0659e-03 -5.6593e-04 -6.8034e-06
4.4193e-01 8.3520e-03 -5.6591e-04 -9.6345e-06
4.5394e-01 8.5853e-03 -5.6589e-04 -1.3100e-05
4.6364e-01 8.7762e-03 -5.6587e-04 -1.7184e-05
4.7147e-01 8.9330e-03 -5.6585e-04 -2.1836e-05
4.7779e-01 9.0624e-03 -5.6583e-04 -2.6991e-05
4.8289e-01 9.1697e-03 -5.6582e-04 -3.2574e-05
4.8701e-01 9.2592e-03 -5.6580e-04 -3.8503e-05
4.9033e-01 9.3342e-03 -5.6578e-04 -4.4702e-05
4.9302e-01 9.3977e-03 -5.6576e-04 -5.1144e-05
4.9519e-01 9.4520e-03 -5.6571e-04 -5.7912e-05
4.9694e-01 9.4995e-03 -5.6560e-04 -6.5220e-05
4.9835e-01 9.5419e-03 -5.6521e-04 -7.3262e-05
4.9949e-01 9.5792e-03 -5.6386e-04 -8.1592e-05
