#Total energy = 1.5000761660965294
#          y     vel_x      p_xy       q_x
9.1149e-03 1.5239e-04 -1.6643e-03 -3.8518e-07
2.7345e-02 4.5717e-04 -1.6643e-03 -1.1626e-06
4.5574e-02 7.6199e-04 -1.6643e-03 -1.9571e-06
6.3804e-02 1.0669e-03 -1.6643e-03 -2.7811e-06
8.2034e-02 1.3718e-03 -1.6643e-03 -3.6470e-06
1.0026e-01 1.6769e-03 -1.6643e-03 -4.5688e-06
1.1849e-01 1.9821e-03 -1.6643e-03 -5.5614e-06
1.3672e-01 2.2875e-03 -1.6643e-03 -6.6421e-06
1.5495e-01 2.5931e-03 -1.6643e-03 -7.8304e-06
1.7318e-01 2.8990e-03 -1.6643e-03 -9.1490e-06
1.9141e-01 3.2051e-03 -1.6643e-03 -1.0625e-05
2.0964e-01 3.5117e-03 -1.6643e-03 -1.2289e-05
2.2787e-01 3.8187e-03 -1.6643e-03 -1.4181e-05
2.4610e-01 4.1262e-03 -1.6643e-03 -1.6346e-05
2.6433e-01 4.4344e-03 -1.6643e-03 -1.8843e-05
2.8256e-01 4.7434e-03 -1.6643e-03 -2.1744e-05
3.0079e-01 5.0534e-03 -1.6643e-03 -2.5141e-05
3.1902e-01 5.3647e-03 -1.6643e-03 -2.9150e-05
3.3725e-01 5.6774e-03 -1.6643e-03 -3.3916e-05
3.5548e-01 5.9920e-03 -1.6642e-03 -3.9606e-05
3.7133e-01 6.2674e-03 -1.6642e-03 -4.5506e-05
3.8426e-01 6.4938e-03 -1.6642e-03 -5.1245e-05
3.9613e-01 6.7035e-03 -1.6642e-03 -5.7336e-05
4.0705e-01 6.8979e-03 -1.6642e-03 -6.3819e-05
4.1707e-01 7.0784e-03 -1.6642e-03 -7.0687e-05
4.2628e-01 7.2460e-03 -1.6641e-03 -7.7942e-05
4.3475e-01 7.4020e-03 -1.6641e-03 -8.5589e-05
4.4252e-01 7.5474e-03 -1.6641e-03 -9.3630e-05
4.4966e-01 7.6830e-03 -1.6641e-03 -1.0207e-04
4.5623e-01 7.8098e-03 -1.6641e-03 -1.1092e-04
4.6226e-01 7.9286e-03 -1.6640e-03 -1.2018e-04
4.6780e-01 8.0401e-03 -1.6640e-03 -1.2989e-04
4.7289e-01 8.1450e-03 -1.6640e-03 -1.4007e-04
4.7757e-01 8.2442e-03 -1.6639e-03 -1.5081e-04
4.8187e-01 8.3385e-03 -1.6639e-03 -1.6226e-04
4.8582e-01 8.4290e-03 -1.6639e-03 -1.7469e-04
4.8944e-01 8.5168e-03 -1.6638e-03 -1.8852e-04
4.9278e-01 8.6035e-03 -1.6635e-03 -2.0426e-04
4.9584e-01 8.6898e-03 -1.6625e-03 -2.2235e-04
4.9865e-01 8.7740e-03 -1.6593e-03 -2.4193e-04
