#Total energy = 1.4998607838138855
#          y     vel_x      p_xy       q_x
9.9611e-03 1.8764e-04 -5.6513e-04 5.4053e-08
2.9883e-02 5.6293e-04 -5.6513e-04 1.6270e-07
4.9806e-02 9.3821e-04 -5.6513e-04 2.7318e-07
6.9728e-02 1.3135e-03 -5.6513e-04 3.8649e-07
8.9650e-02 1.6888e-03 -5.6513e-04 5.0381e-07
1.0957e-01 2.0641e-03 -5.6513e-04 6.2623e-07
1.2949e-01 2.4393e-03 -5.6513e-04 7.5481e-07
1.4942e-01 2.8146e-03 -5.6513e-04 8.9058e-07
1.6934e-01 3.1899e-03 -5.6513e-04 1.0345e-06
1.8926e-01 3.5652e-03 -5.6513e-04 1.1875e-06
2.0918e-01 3.9404e-03 -5.6513e-04 1.3505e-06
2.2911e-01 4.3157e-03 -5.6513e-04 1.5242e-06
2.4903e-01 4.6909e-03 -5.6513e-04 1.7094e-06
2.6895e-01 5.0662e-03 -5.6513e-04 1.9068e-06
2.8887e-01 5.4414e-03 -5.6513e-04 2.1168e-06
3.0880e-01 5.8167e-03 -5.6513e-04 2.3402e-06
3.2872e-01 6.1920e-03 -5.6512e-04 2.5761e-06
3.4864e-01 6.5671e-03 -5.6520e-04 2.8312e-06
3.6856e-01 6.9429e-03 -5.6496e-04 3.0669e-06
3.8848e-01 7.3165e-03 -5.6675e-04 3.5273e-06
4.0864e-01 7.7223e-03 -5.5986e-04 -2.3222e-06
4.2706e-01 8.0691e-03 -5.6435e-04 -8.7937e-06
4.4193e-01 8.3540e-03 -5.6479e-04 -1.1656e-05
4.5394e-01 8.5869e-03 -5.6502e-04 -1.4225e-05
4.6364e-01 8.7776e-03 -5.6503e-04 -1.7808e-05
4.7147e-01 8.9342e-03 -5.6502e-04 -2.2197e-05
4.7779e-01 9.0635e-03 -5.6500e-04 -2.7219e-05
4.8289e-01 9.1706e-03 -5.6498e-04 -3.2726e-05
4.8701e-01 9.2600e-03 -5.6497e-04 -3.8606e-05
4.9033e-01 9.3349e-03 -5.6495e-04 -4.4771e-05
4.9302e-01 9.3983e-03 -5.6493e-04 -5.1187e-05
4.9519e-01 9.4525e-03 -5.6488e-04 -5.7934e-05
4.9694e-01 9.5000e-03 -5.6477e-04 -6.5222e-05
4.9835e-01 9.5423e-03 -5.6438e-04 -7.3245e-05
4.9949e-01 9.5796e-03 -5.6304e-04 -8.1556e-05
