Total energy = 1.4998549060381647
#          y     vel_x      p_xy       q_x
9.1149e-03 1.5141e-04 -1.6612e-03 5.8387e-08
2.7345e-02 4.5424e-04 -1.6612e-03 1.7542e-07
4.5574e-02 7.5707e-04 -1.6612e-03 2.9320e-07
6.3804e-02 1.0599e-03 -1.6612e-03 4.1223e-07
8.2034e-02 1.3627e-03 -1.6612e-03 5.3301e-07
1.0026e-01 1.6655e-03 -1.6612e-03 6.5603e-07
1.1849e-01 1.9684e-03 -1.6612e-03 7.8170e-07
1.3672e-01 2.2712e-03 -1.6612e-03 9.1064e-07
1.5495e-01 2.5740e-03 -1.6612e-03 1.0432e-06
1.7318e-01 2.8768e-03 -1.6612e-03 1.1797e-06
1.9141e-01 3.1796e-03 -1.6612e-03 1.3208e-06
2.0964e-01 3.4825e-03 -1.6612e-03 1.4667e-06
2.2787e-01 3.7853e-03 -1.6612e-03 1.6179e-06
2.4610e-01 4.0881e-03 -1.6612e-03 1.7747e-06
2.6433e-01 4.3909e-03 -1.6612e-03 1.9372e-06
2.8256e-01 4.6937e-03 -1.6612e-03 2.1068e-06
3.0079e-01 4.9965e-03 -1.6612e-03 2.2793e-06
3.1902e-01 5.2996e-03 -1.6610e-03 2.4762e-06
3.3725e-01 5.6012e-03 -1.6621e-03 2.5947e-06
3.5548e-01 5.9100e-03 -1.6576e-03 3.1614e-06
3.7133e-01 6.2815e-03 -1.6611e-03 -5.2420e-05
3.8426e-01 6.4908e-03 -1.6606e-03 -5.2649e-05
3.9613e-01 6.7018e-03 -1.6610e-03 -5.9295e-05
4.0705e-01 6.8971e-03 -1.6610e-03 -6.5123e-05
4.1707e-01 7.0785e-03 -1.6610e-03 -7.1895e-05
4.2628e-01 7.2468e-03 -1.6610e-03 -7.8996e-05
4.3475e-01 7.4031e-03 -1.6610e-03 -8.6533e-05
4.4252e-01 7.5487e-03 -1.6610e-03 -9.4477e-05
4.4966e-01 7.6845e-03 -1.6609e-03 -1.0284e-04
4.5623e-01 7.8114e-03 -1.6609e-03 -1.1161e-04
4.6226e-01 7.9301e-03 -1.6609e-03 -1.2082e-04
4.6780e-01 8.0416e-03 -1.6609e-03 -1.3046e-04
4.7289e-01 8.1466e-03 -1.6608e-03 -1.4059e-04
4.7757e-01 8.2457e-03 -1.6608e-03 -1.5129e-04
4.8187e-01 8.3400e-03 -1.6608e-03 -1.6270e-04
4.8582e-01 8.4303e-03 -1.6607e-03 -1.7509e-04
4.8944e-01 8.5181e-03 -1.6606e-03 -1.8887e-04
4.9278e-01 8.6047e-03 -1.6603e-03 -2.0457e-04
4.9584e-01 8.6910e-03 -1.6594e-03 -2.2262e-04
4.9865e-01 8.7751e-03 -1.6562e-03 -2.4215e-04
