#Total energy = 1.5001846324614068
#          y     vel_x      p_xy       q_x
9.9611e-03 1.8784e-04 -5.6579e-04 -1.5532e-10
2.9883e-02 5.6351e-04 -5.6579e-04 -4.7688e-10
4.9806e-02 9.3918e-04 -5.6579e-04 -8.3183e-10
6.9728e-02 1.3149e-03 -5.6579e-04 -1.2520e-09
8.9650e-02 1.6905e-03 -5.6579e-04 -1.7865e-09
1.0957e-01 2.0662e-03 -5.6579e-04 -2.5157e-09
1.2949e-01 2.4419e-03 -5.6579e-04 -3.5731e-09
1.4942e-01 2.8175e-03 -5.6579e-04 -5.1833e-09
1.6934e-01 3.1932e-03 -5.6579e-04 -7.7263e-09
1.8926e-01 3.5689e-03 -5.6579e-04 -1.1849e-08
2.0918e-01 3.9446e-03 -5.6579e-04 -1.8659e-08
2.2911e-01 4.3203e-03 -5.6579e-04 -3.0051e-08
2.4903e-01 4.6960e-03 -5.6579e-04 -4.9271e-08
2.6895e-01 5.0717e-03 -5.6579e-04 -8.1800e-08
2.8887e-01 5.4475e-03 -5.6579e-04 -1.3698e-07
3.0880e-01 5.8233e-03 -5.6579e-04 -2.3035e-07
3.2872e-01 6.1993e-03 -5.6580e-04 -3.9474e-07
3.4864e-01 6.5754e-03 -5.6582e-04 -6.7429e-07
3.6856e-01 6.9521e-03 -5.6579e-04 -1.3094e-06
3.8848e-01 7.3295e-03 -5.6633e-04 -1.5656e-06
4.0864e-01 7.7197e-03 -5.6197e-04 -6.0832e-06
4.2706e-01 8.0678e-03 -5.6516e-04 -7.0423e-06
4.4193e-01 8.3529e-03 -5.6550e-04 -9.8856e-06
4.5394e-01 8.5859e-03 -5.6568e-04 -1.3214e-05
4.6364e-01 8.7767e-03 -5.6568e-04 -1.7248e-05
4.7147e-01 8.9334e-03 -5.6568e-04 -2.1867e-05
4.7779e-01 9.0627e-03 -5.6566e-04 -2.7006e-05
4.8289e-01 9.1700e-03 -5.6565e-04 -3.2580e-05
4.8701e-01 9.2594e-03 -5.6563e-04 -3.8502e-05
4.9033e-01 9.3344e-03 -5.6561e-04 -4.4696e-05
4.9302e-01 9.3978e-03 -5.6559e-04 -5.1134e-05
4.9519e-01 9.4521e-03 -5.6554e-04 -5.7899e-05
4.9694e-01 9.4996e-03 -5.6543e-04 -6.5203e-05
4.9835e-01 9.5419e-03 -5.6504e-04 -7.3241e-05
4.9949e-01 9.5793e-03 -5.6369e-04 -8.1566e-05
