#Total energy = 1.5001658629219683
#          y     vel_x      p_xy       q_x
9.1149e-03 1.5214e-04 -1.6667e-03 -1.7828e-07
2.7345e-02 4.5643e-04 -1.6667e-03 -5.3941e-07
4.5574e-02 7.6073e-04 -1.6667e-03 -9.1226e-07
6.3804e-02 1.0651e-03 -1.6667e-03 -1.3052e-06
8.2034e-02 1.3694e-03 -1.6667e-03 -1.7270e-06
1.0026e-01 1.6739e-03 -1.6667e-03 -2.1870e-06
1.1849e-01 1.9783e-03 -1.6667e-03 -2.6960e-06
1.3672e-01 2.2829e-03 -1.6667e-03 -3.2659e-06
1.5495e-01 2.5876e-03 -1.6667e-03 -3.9108e-06
1.7318e-01 2.8924e-03 -1.6667e-03 -4.6472e-06
1.9141e-01 3.1974e-03 -1.6667e-03 -5.4953e-06
2.0964e-01 3.5026e-03 -1.6667e-03 -6.4797e-06
2.2787e-01 3.8081e-03 -1.6667e-03 -7.6319e-06
2.4610e-01 4.1141e-03 -1.6667e-03 -8.9916e-06
2.6433e-01 4.4205e-03 -1.6667e-03 -1.0619e-05
2.8256e-01 4.7278e-03 -1.6667e-03 -1.2559e-05
3.0079e-01 5.0362e-03 -1.6667e-03 -1.5057e-05
3.1902e-01 5.3463e-03 -1.6664e-03 -1.7543e-05
3.3725e-01 5.6590e-03 -1.6679e-03 -2.3630e-05
3.5548e-01 5.9714e-03 -1.6612e-03 -1.6350e-05
3.7133e-01 6.2747e-03 -1.6656e-03 -5.6611e-05
3.8426e-01 6.4902e-03 -1.6656e-03 -5.4920e-05
3.9613e-01 6.7005e-03 -1.6664e-03 -6.1936e-05
4.0705e-01 6.8950e-03 -1.6665e-03 -6.7728e-05
4.1707e-01 7.0757e-03 -1.6665e-03 -7.4349e-05
4.2628e-01 7.2436e-03 -1.6665e-03 -8.1306e-05
4.3475e-01 7.3998e-03 -1.6665e-03 -8.8720e-05
4.4252e-01 7.5452e-03 -1.6665e-03 -9.6560e-05
4.4966e-01 7.6810e-03 -1.6664e-03 -1.0483e-04
4.5623e-01 7.8079e-03 -1.6664e-03 -1.1354e-04
4.6226e-01 7.9267e-03 -1.6664e-03 -1.2269e-04
4.6780e-01 8.0383e-03 -1.6664e-03 -1.3229e-04
4.7289e-01 8.1433e-03 -1.6663e-03 -1.4239e-04
4.7757e-01 8.2426e-03 -1.6663e-03 -1.5305e-04
4.8187e-01 8.3369e-03 -1.6663e-03 -1.6444e-04
4.8582e-01 8.4274e-03 -1.6662e-03 -1.7683e-04
4.8944e-01 8.5153e-03 -1.6661e-03 -1.9061e-04
4.9278e-01 8.6020e-03 -1.6658e-03 -2.0631e-04
4.9584e-01 8.6885e-03 -1.6649e-03 -2.2438e-04
4.9865e-01 8.7727e-03 -1.6617e-03 -2.4393e-04
