Total energy = 1.5000761660965294
#          y        L1        L2      Linf
9.1149e-03 8.0902e-06 7.2150e-06 9.0524e-06
2.7345e-02 8.2429e-06 7.3579e-06 9.5246e-06
4.5574e-02 8.5542e-06 7.6421e-06 1.0110e-05
6.3804e-02 9.0193e-06 8.0703e-06 1.0813e-05
8.2034e-02 9.6437e-06 8.6464e-06 1.1637e-05
1.0026e-01 1.0421e-05 9.3777e-06 1.2587e-05
1.1849e-01 1.1369e-05 1.0275e-05 1.3665e-05
1.3672e-01 1.2499e-05 1.1353e-05 1.4872e-05
1.5495e-01 1.3840e-05 1.2634e-05 1.6603e-05
1.7318e-01 1.5418e-05 1.4144e-05 1.8772e-05
1.9141e-01 1.7262e-05 1.5918e-05 2.1310e-05
2.0964e-01 1.9415e-05 1.7999e-05 2.4260e-05
2.2787e-01 2.1927e-05 2.0445e-05 2.7668e-05
2.4610e-01 2.4860e-05 2.3323e-05 3.1573e-05
2.6433e-01 2.8304e-05 2.6722e-05 3.6008e-05
2.8256e-01 3.2458e-05 3.0754e-05 4.0989e-05
3.0079e-01 3.7521e-05 3.5565e-05 4.6498e-05
3.1902e-01 4.3677e-05 4.1340e-05 5.2466e-05
3.3725e-01 5.1122e-05 4.8321e-05 6.1405e-05
3.5548e-01 6.0125e-05 5.6779e-05 7.3466e-05
3.7133e-01 6.9550e-05 6.5723e-05 8.5566e-05
3.8426e-01 7.8850e-05 7.4556e-05 9.6621e-05
3.9613e-01 8.8741e-05 8.4030e-05 1.0743e-04
4.0705e-01 9.9350e-05 9.4245e-05 1.1781e-04
4.1707e-01 1.1081e-04 1.0520e-04 1.2968e-04
4.2628e-01 1.2319e-04 1.1693e-04 1.4673e-04
4.3475e-01 1.3658e-04 1.2945e-04 1.6376e-04
4.4252e-01 1.5085e-04 1.4280e-04 1.8041e-04
4.4966e-01 1.6612e-04 1.5703e-04 1.9626e-04
4.5623e-01 1.8262e-04 1.7221e-04 2.1095e-04
4.6226e-01 2.0014e-04 1.8842e-04 2.3085e-04
4.6780e-01 2.1858e-04 2.0580e-04 2.5633e-04
4.7289e-01 2.3797e-04 2.2448e-04 2.8102e-04
4.7757e-01 2.5858e-04 2.4461e-04 3.0424e-04
4.8187e-01 2.8047e-04 2.6638e-04 3.2510e-04
4.8582e-01 3.0445e-04 2.9012e-04 3.6535e-04
4.8944e-01 3.3316e-04 3.1661e-04 4.0374e-04
4.9278e-01 3.6857e-04 3.4782e-04 4.3720e-04
4.9584e-01 4.1022e-04 3.8747e-04 5.0725e-04
4.9865e-01 4.5591e-04 4.3745e-04 5.7585e-04
