Total energy = 1.4998549060381647
#          y      Linf        L2        L1
9.1149e-03 1.2243e-06 3.0077e-06 3.7401e-06
2.7345e-02 1.2859e-06 3.0383e-06 3.7426e-06
4.5574e-02 1.3483e-06 3.0976e-06 3.7551e-06
6.3804e-02 1.4874e-06 3.1840e-06 3.7674e-06
8.2034e-02 1.6782e-06 3.2951e-06 3.9084e-06
1.0026e-01 1.8637e-06 3.4284e-06 4.0703e-06
1.1849e-01 2.0444e-06 3.5812e-06 4.2342e-06
1.3672e-01 2.2165e-06 3.7500e-06 4.4043e-06
1.5495e-01 2.3836e-06 3.9336e-06 4.5811e-06
1.7318e-01 2.5440e-06 4.1296e-06 4.7617e-06
1.9141e-01 2.6977e-06 4.3364e-06 4.9469e-06
2.0964e-01 2.8444e-06 4.5525e-06 5.1376e-06
2.2787e-01 2.9840e-06 4.7774e-06 5.3352e-06
2.4610e-01 3.1160e-06 5.0099e-06 5.5402e-06
2.6433e-01 3.2422e-06 5.2536e-06 5.7590e-06
2.8256e-01 3.3542e-06 5.4917e-06 5.9708e-06
3.0079e-01 3.4903e-06 5.8066e-06 6.2919e-06
3.1902e-01 3.4758e-06 5.8298e-06 6.1915e-06
3.3725e-01 4.1154e-06 7.3945e-06 8.1995e-06
3.5548e-01 3.1444e-06 6.5993e-06 8.0104e-06
3.7133e-01 7.8859e-04 4.7311e-04 4.6426e-04
3.8426e-01 6.6607e-04 3.9229e-04 3.8832e-04
3.9613e-01 5.7936e-04 3.2709e-04 3.2653e-04
4.0705e-01 5.0680e-04 2.7876e-04 2.8374e-04
4.1707e-01 4.5169e-04 2.4772e-04 2.5726e-04
4.2628e-01 4.0846e-04 2.2816e-04 2.4164e-04
4.3475e-01 3.7435e-04 2.1708e-04 2.3359e-04
4.4252e-01 3.4706e-04 2.1239e-04 2.3148e-04
4.4966e-01 3.2510e-04 2.1274e-04 2.3395e-04
4.5623e-01 3.0736e-04 2.1717e-04 2.4000e-04
4.6226e-01 2.9303e-04 2.2503e-04 2.4964e-04
4.6780e-01 2.8151e-04 2.3585e-04 2.6184e-04
4.7289e-01 2.9040e-04 2.4934e-04 2.7625e-04
4.7757e-01 3.1230e-04 2.6534e-04 2.9225e-04
4.8187e-01 3.3205e-04 2.8378e-04 3.0992e-04
4.8582e-01 3.6793e-04 3.0480e-04 3.3059e-04
4.8944e-01 4.0536e-04 3.2904e-04 3.5623e-04
4.9278e-01 4.3798e-04 3.5831e-04 3.8916e-04
4.9584e-01 5.0446e-04 3.9623e-04 4.2868e-04
4.9865e-01 5.7201e-04 4.4465e-04 4.7207e-04
