Total energy = 1.5001658629219683
#          y      Linf        L1        L2
9.1149e-03 1.5671e-05 6.7394e-06 8.1711e-06
2.7345e-02 1.7685e-05 6.8879e-06 8.4492e-06
4.5574e-02 1.9942e-05 7.1763e-06 8.9941e-06
6.3804e-02 2.2470e-05 7.7309e-06 9.7934e-06
8.2034e-02 2.5299e-05 8.4579e-06 1.0837e-05
1.0026e-01 2.8465e-05 9.3671e-06 1.2120e-05
1.1849e-01 3.2005e-05 1.0457e-05 1.3651e-05
1.3672e-01 3.5967e-05 1.1732e-05 1.5444e-05
1.5495e-01 4.0401e-05 1.3240e-05 1.7527e-05
1.7318e-01 4.5366e-05 1.5018e-05 1.9935e-05
1.9141e-01 5.0933e-05 1.7079e-05 2.2717e-05
2.0964e-01 5.7185e-05 1.9489e-05 2.5932e-05
2.2787e-01 6.4223e-05 2.2474e-05 2.9654e-05
2.4610e-01 7.2174e-05 2.6266e-05 3.3976e-05
2.6433e-01 8.1206e-05 3.0965e-05 3.9025e-05
2.8256e-01 9.1538e-05 3.7003e-05 4.4993e-05
3.0079e-01 1.0353e-04 4.4757e-05 5.2199e-05
3.1902e-01 1.1746e-04 5.5431e-05 6.1397e-05
3.3725e-01 1.3483e-04 6.8991e-05 7.3242e-05
3.5548e-01 1.5223e-04 9.6521e-05 9.4652e-05
3.7133e-01 3.9421e-04 2.3631e-04 2.3302e-04
3.8426e-01 3.5254e-04 2.1842e-04 2.1165e-04
3.9613e-01 3.1193e-04 1.9705e-04 1.8646e-04
4.0705e-01 2.7546e-04 1.8066e-04 1.6770e-04
4.1707e-01 2.4767e-04 1.7343e-04 1.5849e-04
4.2628e-01 2.2614e-04 1.7196e-04 1.5604e-04
4.3475e-01 2.0948e-04 1.7543e-04 1.5862e-04
4.4252e-01 1.9651e-04 1.8242e-04 1.6491e-04
4.4966e-01 2.0367e-04 1.9225e-04 1.7406e-04
4.5623e-01 2.1693e-04 2.0449e-04 1.8553e-04
4.6226e-01 2.3315e-04 2.1879e-04 1.9900e-04
4.6780e-01 2.5765e-04 2.3488e-04 2.1431e-04
4.7289e-01 2.8151e-04 2.5242e-04 2.3141e-04
4.7757e-01 3.0402e-04 2.7127e-04 2.5033e-04
4.8187e-01 3.2430e-04 2.9163e-04 2.7115e-04
4.8582e-01 3.6204e-04 3.1438e-04 2.9412e-04
4.8944e-01 3.9978e-04 3.4176e-04 3.2000e-04
4.9278e-01 4.3270e-04 3.7617e-04 3.5070e-04
4.9584e-01 5.0257e-04 4.1692e-04 3.8993e-04
4.9865e-01 5.7126e-04 4.6176e-04 4.3955e-04
