#          y      Linf        L2        L1
9.1149e-03 1.1351e-06 2.9647e-06 3.7367e-06
2.7345e-02 1.1610e-06 2.9639e-06 3.7397e-06
4.5574e-02 1.1862e-06 2.9615e-06 3.7465e-06
6.3804e-02 1.2104e-06 2.9575e-06 3.7497e-06
8.2034e-02 1.2334e-06 2.9516e-06 3.7595e-06
1.0026e-01 1.2557e-06 2.9444e-06 3.7756e-06
1.1849e-01 1.2741e-06 2.9324e-06 3.7831e-06
1.3672e-01 1.2951e-06 2.9220e-06 3.7904e-06
1.5495e-01 1.3125e-06 2.9071e-06 3.7892e-06
1.7318e-01 1.3282e-06 2.8892e-06 3.7816e-06
1.9141e-01 1.3422e-06 2.8682e-06 3.7674e-06
2.0964e-01 1.3545e-06 2.8439e-06 3.7459e-06
2.2787e-01 1.3648e-06 2.8159e-06 3.7169e-06
2.4610e-01 1.3733e-06 2.7844e-06 3.6799e-06
2.6433e-01 1.3800e-06 2.7490e-06 3.6344e-06
2.8256e-01 1.3848e-06 2.7101e-06 3.5799e-06
3.0079e-01 1.3878e-06 2.6676e-06 3.5185e-06
3.1902e-01 1.3891e-06 2.6221e-06 3.4487e-06
3.3725e-01 1.3886e-06 2.5738e-06 3.3683e-06
3.5548e-01 1.3875e-06 2.5243e-06 3.2776e-06
3.7133e-01 1.3839e-06 2.4789e-06 3.1874e-06
3.8426e-01 1.3802e-06 2.4431e-06 3.1083e-06
3.9613e-01 1.3768e-06 2.4112e-06 3.0299e-06
4.0705e-01 1.3733e-06 2.3835e-06 2.9880e-06
4.1707e-01 1.3700e-06 2.3599e-06 2.9669e-06
4.2628e-01 1.3667e-06 2.3400e-06 2.9460e-06
4.3475e-01 1.3636e-06 2.3238e-06 2.9253e-06
4.4252e-01 1.3606e-06 2.3110e-06 2.9051e-06
4.4966e-01 1.3579e-06 2.3011e-06 2.8855e-06
4.5623e-01 1.3553e-06 2.2940e-06 2.8665e-06
4.6226e-01 1.3530e-06 2.2893e-06 2.8481e-06
4.6780e-01 1.3508e-06 2.2866e-06 2.8305e-06
4.7289e-01 1.3488e-06 2.2856e-06 2.8137e-06
4.7757e-01 1.3470e-06 2.2861e-06 2.7992e-06
4.8187e-01 1.3454e-06 2.2879e-06 2.7886e-06
4.8582e-01 1.3436e-06 2.2905e-06 2.7782e-06
4.8944e-01 1.3437e-06 2.2944e-06 2.7696e-06
4.9278e-01 1.3357e-06 2.2963e-06 2.7553e-06
4.9584e-01 1.3665e-06 2.3101e-06 2.7698e-06
4.9865e-01 1.2553e-06 2.2883e-06 2.6896e-06
