#           y         L1         L2       Linf
9.11486e-03 7.65954e-06 7.63564e-06 1.14135e-05
2.73446e-02 7.79060e-06 7.83758e-06 1.23074e-05
4.55743e-02 8.07745e-06 8.24147e-06 1.34378e-05
6.38040e-02 8.56810e-06 8.84855e-06 1.48317e-05
8.20338e-02 9.34229e-06 9.66295e-06 1.65229e-05
1.00263e-01 1.03995e-05 1.06934e-05 1.85516e-05
1.18493e-01 1.16449e-05 1.19541e-05 2.09663e-05
1.36723e-01 1.31273e-05 1.34660e-05 2.38240e-05
1.54953e-01 1.48456e-05 1.52565e-05 2.71915e-05
1.73182e-01 1.68309e-05 1.73604e-05 3.11458e-05
1.91412e-01 1.91219e-05 1.98195e-05 3.57746e-05
2.09642e-01 2.17620e-05 2.26834e-05 4.11761e-05
2.27872e-01 2.48005e-05 2.60096e-05 4.74567e-05
2.46101e-01 2.82915e-05 2.98629e-05 5.47268e-05
2.64331e-01 3.22935e-05 3.43155e-05 6.30924e-05
2.82561e-01 3.68671e-05 3.94461e-05 7.26383e-05
3.00790e-01 4.20708e-05 4.53389e-05 8.34015e-05
3.19020e-01 4.79539e-05 5.20856e-05 9.53235e-05
3.37250e-01 5.45430e-05 5.97940e-05 1.08175e-04
3.55480e-01 6.20340e-05 6.86196e-05 1.21438e-04
3.73542e-01 7.30610e-05 7.87420e-05 1.34028e-04
3.90466e-01 8.58863e-05 9.00237e-05 1.43878e-04
4.05551e-01 1.00133e-04 1.02502e-04 1.49073e-04
4.18998e-01 1.16658e-04 1.16896e-04 1.52439e-04
4.30985e-01 1.36001e-04 1.34081e-04 1.77013e-04
4.41671e-01 1.57061e-04 1.54846e-04 2.03805e-04
4.51195e-01 1.80143e-04 1.79702e-04 2.38685e-04
4.59686e-01 2.04753e-04 2.08782e-04 3.04927e-04
4.67254e-01 2.33222e-04 2.41863e-04 3.77778e-04
4.74001e-01 2.64129e-04 2.78442e-04 4.56023e-04
4.80015e-01 3.01948e-04 3.17845e-04 5.38324e-04
4.85375e-01 3.44046e-04 3.59327e-04 6.23324e-04
4.90154e-01 3.86619e-04 4.02084e-04 7.09628e-04
4.94413e-01 4.29203e-04 4.45506e-04 7.96164e-04
4.98210e-01 4.70783e-04 4.88443e-04 8.80990e-04
