#          y        L1        L2      Linf
9.1149e-03 8.1889e-06 7.3041e-06 9.1683e-06
2.7345e-02 8.3413e-06 7.4464e-06 9.6420e-06
4.5574e-02 8.6542e-06 7.7318e-06 1.0230e-05
6.3804e-02 9.1217e-06 8.1624e-06 1.0935e-05
8.2034e-02 9.7489e-06 8.7421e-06 1.1762e-05
1.0026e-01 1.0530e-05 9.4779e-06 1.2715e-05
1.1849e-01 1.1485e-05 1.0381e-05 1.3795e-05
1.3672e-01 1.2620e-05 1.1466e-05 1.5004e-05
1.5495e-01 1.3968e-05 1.2754e-05 1.6790e-05
1.7318e-01 1.5554e-05 1.4272e-05 1.8971e-05
1.9141e-01 1.7405e-05 1.6054e-05 2.1522e-05
2.0964e-01 1.9567e-05 1.8146e-05 2.4485e-05
2.2787e-01 2.2087e-05 2.0601e-05 2.7904e-05
2.4610e-01 2.5029e-05 2.3490e-05 3.1820e-05
2.6433e-01 2.8481e-05 2.6899e-05 3.6265e-05
2.8256e-01 3.2648e-05 3.0942e-05 4.1254e-05
3.0079e-01 3.7721e-05 3.5763e-05 4.6770e-05
3.1902e-01 4.3889e-05 4.1551e-05 5.2743e-05
3.3725e-01 5.1359e-05 4.8556e-05 6.1814e-05
3.5548e-01 6.0467e-05 5.7111e-05 7.3988e-05
3.7354e-01 7.1474e-05 6.7547e-05 8.7917e-05
3.9047e-01 8.4202e-05 7.9676e-05 1.0259e-04
4.0555e-01 9.8191e-05 9.3127e-05 1.1670e-04
4.1900e-01 1.1365e-04 1.0790e-04 1.3372e-04
4.3099e-01 1.3078e-04 1.2404e-04 1.5658e-04
4.4167e-01 1.4959e-04 1.4162e-04 1.7899e-04
4.5120e-01 1.7014e-04 1.6074e-04 2.0003e-04
4.5969e-01 1.9275e-04 1.8155e-04 2.2026e-04
4.6725e-01 2.1699e-04 2.0429e-04 2.5428e-04
4.7400e-01 2.4284e-04 2.2925e-04 2.8695e-04
4.8001e-01 2.7084e-04 2.5677e-04 3.1658e-04
4.8538e-01 3.0156e-04 2.8736e-04 3.6115e-04
4.9015e-01 3.3983e-04 3.2252e-04 4.1141e-04
4.9441e-01 3.9004e-04 3.6771e-04 4.7165e-04
4.9821e-01 4.5423e-04 4.3533e-04 5.7438e-04
