#           y         L1         L2       Linf
9.11486e-03 2.73253e-06 2.54491e-06 1.02691e-06
2.73446e-02 2.82150e-06 2.55477e-06 1.06404e-06
4.55743e-02 2.90837e-06 2.57436e-06 1.10056e-06
6.38040e-02 2.99301e-06 2.60338e-06 1.13653e-06
8.20338e-02 3.07527e-06 2.64149e-06 1.17205e-06
1.00263e-01 3.15486e-06 2.68808e-06 1.20708e-06
1.18493e-01 3.23180e-06 2.74290e-06 1.24194e-06
1.36723e-01 3.30520e-06 2.80478e-06 1.27618e-06
1.54953e-01 3.37511e-06 2.87352e-06 1.31021e-06
1.73182e-01 3.44097e-06 2.94836e-06 1.34397e-06
1.91412e-01 3.50218e-06 3.02864e-06 1.37747e-06
2.09642e-01 3.55817e-06 3.11383e-06 1.41313e-06
2.27872e-01 3.60791e-06 3.20316e-06 1.53422e-06
2.46101e-01 3.65138e-06 3.29697e-06 1.65568e-06
2.64331e-01 3.68473e-06 3.39219e-06 1.77622e-06
2.82561e-01 3.71620e-06 3.49762e-06 1.90000e-06
3.00790e-01 3.71345e-06 3.58358e-06 2.01376e-06
3.19020e-01 3.77887e-06 3.74926e-06 2.16062e-06
3.37250e-01 3.61223e-06 3.67356e-06 2.20431e-06
3.55480e-01 4.48571e-06 4.41686e-06 2.56731e-06
3.73542e-01 9.07548e-05 8.73282e-05 1.18504e-04
3.90466e-01 8.01442e-05 7.58989e-05 9.77553e-05
4.05551e-01 9.98288e-05 9.50483e-05 1.20418e-04
4.18998e-01 1.13554e-04 1.08092e-04 1.34664e-04
4.30985e-01 1.31066e-04 1.24590e-04 1.57895e-04
4.41671e-01 1.49757e-04 1.42010e-04 1.80046e-04
4.51195e-01 1.70350e-04 1.61125e-04 2.01061e-04
4.59686e-01 1.92950e-04 1.81905e-04 2.21061e-04
4.67254e-01 2.17169e-04 2.04619e-04 2.55043e-04
4.74001e-01 2.42987e-04 2.29550e-04 2.87665e-04
4.80015e-01 2.70942e-04 2.57043e-04 3.17279e-04
4.85375e-01 3.01768e-04 2.87637e-04 3.61587e-04
4.90154e-01 3.39985e-04 3.22771e-04 4.12114e-04
4.94413e-01 3.89902e-04 3.67753e-04 4.71932e-04
4.98210e-01 4.53847e-04 4.34901e-04 5.75258e-04
