#          y        L1        L2      Linf
9.1149e-03 6.8458e-06 8.2987e-06 1.5989e-05
2.7345e-02 6.9929e-06 8.5772e-06 1.8027e-05
4.5574e-02 7.2826e-06 9.1253e-06 2.0310e-05
6.3804e-02 7.8394e-06 9.9302e-06 2.2866e-05
8.2034e-02 8.5720e-06 1.0981e-05 2.5725e-05
1.0026e-01 9.4841e-06 1.2275e-05 2.8921e-05
1.1849e-01 1.0583e-05 1.3817e-05 3.2496e-05
1.3672e-01 1.1867e-05 1.5624e-05 3.6493e-05
1.5495e-01 1.3382e-05 1.7723e-05 4.0964e-05
1.7318e-01 1.5173e-05 2.0149e-05 4.5970e-05
1.9141e-01 1.7247e-05 2.2951e-05 5.1579e-05
2.0964e-01 1.9674e-05 2.6188e-05 5.7876e-05
2.2787e-01 2.2708e-05 2.9934e-05 6.4962e-05
2.4610e-01 2.6528e-05 3.4282e-05 7.2964e-05
2.6433e-01 3.1262e-05 3.9360e-05 8.2052e-05
2.8256e-01 3.7339e-05 4.5360e-05 9.2448e-05
3.0079e-01 4.5136e-05 5.2603e-05 1.0450e-04
3.1902e-01 5.5853e-05 6.1834e-05 1.1851e-04
3.3725e-01 6.9536e-05 7.3719e-05 1.3588e-04
3.5548e-01 9.6765e-05 9.4955e-05 1.5308e-04
3.7354e-01 2.2653e-04 2.2252e-04 3.8818e-04
3.9047e-01 2.0812e-04 2.0002e-04 3.4442e-04
4.0555e-01 1.8896e-04 1.7674e-04 2.9828e-04
4.1900e-01 1.7789e-04 1.6308e-04 2.5904e-04
4.3099e-01 1.7733e-04 1.6110e-04 2.3075e-04
4.4167e-01 1.8450e-04 1.6706e-04 2.1026e-04
4.5120e-01 1.9725e-04 1.7871e-04 2.0773e-04
4.5969e-01 2.1427e-04 1.9459e-04 2.2464e-04
4.6725e-01 2.3473e-04 2.1399e-04 2.5607e-04
4.7400e-01 2.5799e-04 2.3664e-04 2.8759e-04
4.8001e-01 2.8358e-04 2.6251e-04 3.1632e-04
4.8538e-01 3.1237e-04 2.9189e-04 3.5814e-04
4.9015e-01 3.4887e-04 3.2616e-04 4.0754e-04
4.9441e-01 3.9768e-04 3.7062e-04 4.6649e-04
4.9821e-01 4.6066e-04 4.3765e-04 5.6928e-04
