    # d    heatFlux       force     epsilon
   0.01  4.0979e+00  1.9452e-02  5.37e-03
  0.015  4.0979e+00  2.9328e-02  2.03e-03
   0.02  4.0983e+00  3.8922e-02  1.05e-02
   0.03  4.0988e+00  5.8841e-02  3.90e-03
   0.05  4.1007e+00  9.8458e-02  1.20e-03
   0.07  4.1034e+00  1.3844e-01  2.41e-03
    0.1  4.1095e+00  1.9940e-01  4.33e-03
   0.15  4.1244e+00  3.0326e-01  2.16e-03
    0.2  4.1457e+00  4.1382e-01  1.94e-03
   0.25  4.1742e+00  5.3439e-01  1.94e-03
    0.3  4.2096e+00  6.6701e-01  1.80e-03
   0.35  4.2538e+00  8.1611e-01  1.27e-03
    0.4  4.3074e+00  9.8850e-01  1.51e-03
   0.45  4.3718e+00  1.1899e+00  1.35e-03
    0.5  4.4493e+00  1.4324e+00  1.31e-03
   0.55  4.5430e+00  1.7312e+00  1.66e-03
    0.6  4.6560e+00  2.1090e+00  1.28e-03
   0.65  4.7943e+00  2.6027e+00  5.28e-04
    0.7  4.9663e+00  3.2757e+00  6.29e-04
   0.75  5.1853e+00  4.2454e+00  6.15e-04
    0.8  5.4736e+00  5.7375e+00  1.82e-04
   0.83  5.6966e+00  7.0914e+00  8.53e-05
   0.86  5.9768e+00  9.0697e+00  3.85e-04
   0.88  6.2076e+00  1.0970e+01  2.42e-04
    0.9  6.4908e+00  1.3670e+01  6.88e-04
   0.92  6.8513e+00  1.7807e+01  9.27e-05
   0.93  7.0726e+00  2.0788e+01  4.81e-04
   0.94  7.3335e+00  2.4812e+01  6.83e-04
   0.95  7.6486e+00  3.0479e+01  7.83e-04
   0.96  8.0441e+00  3.9085e+01  6.01e-04
   0.97  8.5662e+00  5.3612e+01  7.82e-04
   0.98  9.3221e+00  8.2916e+01  9.63e-04
  0.985  9.8698e+00  1.1261e+02  1.38e-03
  0.987  1.0146e+01  1.3087e+02  1.36e-03
