#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P
3.16228e-03 -2.56016e-03 1.15988e-01 -1.13756e-04 2.96946e-03 3.29232e-04 2.41441e-04 2.70077e-04 1.18114e-01 1.05518e-01
3.98107e-03 -3.22310e-03 1.15882e-01 -1.79636e-04 3.73498e-03 4.30207e-04 2.91515e-04 3.36717e-04 1.18593e-01 1.06105e-01
5.01187e-03 -4.05767e-03 1.15749e-01 -2.83399e-04 4.69666e-03 5.66354e-04 3.47434e-04 4.18709e-04 1.19193e-01 1.06841e-01
6.30957e-03 -5.10824e-03 1.15579e-01 -4.46556e-04 5.90397e-03 7.51885e-04 4.06694e-04 5.18934e-04 1.19948e-01 1.07765e-01
7.94328e-03 -6.43055e-03 1.15364e-01 -7.02557e-04 7.41832e-03 1.00751e-03 4.63946e-04 6.40402e-04 1.20895e-01 1.08924e-01
1.00000e-02 -8.09460e-03 1.15089e-01 -1.10314e-03 9.31557e-03 1.36362e-03 5.09111e-04 7.85949e-04 1.22082e-01 1.10372e-01
1.25893e-02 -1.01880e-02 1.14739e-01 -1.72783e-03 1.16887e-02 1.86496e-03 5.24471e-04 9.57669e-04 1.23566e-01 1.12177e-01
1.58489e-02 -1.28202e-02 1.14291e-01 -2.69754e-03 1.46504e-02 2.57747e-03 4.80295e-04 1.15596e-03 1.25415e-01 1.14424e-01
1.99526e-02 -1.61270e-02 1.13719e-01 -4.19434e-03 1.83351e-02 3.59839e-03 3.28387e-04 1.37799e-03 1.27712e-01 1.17205e-01
2.51189e-02 -2.02757e-02 1.12983e-01 -6.48764e-03 2.28995e-02 5.07012e-03 -7.06690e-06 1.61525e-03 1.30543e-01 1.20625e-01
3.16228e-02 -2.54696e-02 1.12042e-01 -9.96788e-03 2.85186e-02 7.19939e-03 -6.41990e-04 1.85009e-03 1.34002e-01 1.24794e-01
3.98107e-02 -3.19504e-02 1.10839e-01 -1.51853e-02 3.53761e-02 1.02822e-02 -1.74850e-03 2.05074e-03 1.38168e-01 1.29812e-01
5.01187e-02 -3.99968e-02 1.09309e-01 -2.28855e-02 4.36433e-02 1.47338e-02 -3.57398e-03 2.16516e-03 1.43089e-01 1.35748e-01
6.30957e-02 -4.99141e-02 1.07382e-01 -3.40272e-02 5.34415e-02 2.11215e-02 -6.46060e-03 2.11417e-03 1.48735e-01 1.42603e-01
7.94328e-02 -6.20094e-02 1.04993e-01 -4.97533e-02 6.47847e-02 3.01935e-02 -1.08605e-02 1.78566e-03 1.54954e-01 1.50264e-01
1.00000e-01 -7.65492e-02 1.02091e-01 -7.12749e-02 7.75047e-02 4.28916e-02 -1.73380e-02 1.03316e-03 1.61410e-01 1.58453e-01
1.25893e-01 -9.36948e-02 9.86570e-02 -9.96258e-02 9.11708e-02 6.03344e-02 -2.65471e-02 -3.16294e-04 1.67535e-01 1.66684e-01
1.58489e-01 -1.13422e-01 9.47107e-02 -1.35265e-01 1.05033e-01 8.37498e-02 -3.91739e-02 -2.43864e-03 1.72538e-01 1.74253e-01
1.99526e-01 -1.35443e-01 9.03101e-02 -1.77618e-01 1.18034e-01 1.14358e-01 -5.58412e-02 -5.46882e-03 1.75482e-01 1.80290e-01
2.51189e-01 -1.59157e-01 8.55353e-02 -2.24692e-01 1.28913e-01 1.53194e-01 -7.69770e-02 -9.43417e-03 1.75466e-01 1.83875e-01
3.16228e-01 -1.83649e-01 8.04713e-02 -2.73038e-01 1.36420e-01 2.00922e-01 -1.02671e-01 -1.41763e-02 1.71839e-01 1.84220e-01
