#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau            H |         fit_errors
1.000000e-02 -5.49321e-03 1.22331e-01 -1.39277e-05 1.54530e-04 2.73293e-03 3.44686e-03 2.72393e-03 2.96732e-03 -3.76053e+01 | 1.29e-03 1.63e-06 1.30e-02
1.467799e-02 -7.98823e-03 1.21125e-01 -2.76235e-05 2.10193e-04 2.68338e-03 3.38624e-03 2.66530e-03 2.91205e-03 -3.76052e+01 | 9.86e-04 2.63e-06 8.25e-03
2.154435e-02 -1.15557e-02 1.19408e-01 -5.75802e-05 2.91423e-04 2.74836e-03 3.40824e-03 2.68863e-03 2.94651e-03 -3.76052e+01 | 4.13e-04 4.95e-06 2.80e-03
3.162278e-02 -1.66108e-02 1.16992e-01 -1.18822e-04 4.06213e-04 2.92419e-03 3.52408e-03 2.81030e-03 3.08679e-03 -3.76054e+01 | 3.48e-04 7.07e-06 1.43e-03
4.641589e-02 -2.36587e-02 1.13670e-01 -2.44067e-04 5.55474e-04 3.22061e-03 3.67427e-03 2.98770e-03 3.29414e-03 -3.76056e+01 | 3.45e-04 5.23e-06 1.39e-03
6.812921e-02 -3.32866e-02 1.09260e-01 -4.92568e-04 7.46858e-04 3.67689e-03 3.83800e-03 3.23946e-03 3.58460e-03 -3.76059e+01 | 3.42e-04 7.06e-06 5.14e-04
1.000000e-01 -4.60343e-02 1.03640e-01 -9.55817e-04 9.64292e-04 4.31773e-03 4.00654e-03 3.50208e-03 3.93967e-03 -3.76062e+01 | 2.78e-04 9.41e-06 8.82e-04
1.467799e-01 -6.22716e-02 9.68309e-02 -1.70814e-03 1.20928e-03 5.26193e-03 4.13274e-03 3.81823e-03 4.40585e-03 -3.76066e+01 | 2.94e-04 2.66e-05 8.72e-04
2.154435e-01 -8.19970e-02 8.89910e-02 -2.72408e-03 1.46251e-03 6.55681e-03 4.19118e-03 4.13423e-03 4.95922e-03 -3.76070e+01 | 2.38e-04 2.74e-05 1.04e-03
3.162278e-01 -1.04498e-01 8.05206e-02 -3.82910e-03 1.68475e-03 8.14219e-03 4.18276e-03 4.40210e-03 5.57609e-03 -3.76073e+01 | 4.78e-04 8.79e-05 1.26e-03
4.641589e-01 -1.28988e-01 7.16332e-02 -4.82726e-03 1.85486e-03 1.00259e-02 4.05007e-03 4.47465e-03 6.18364e-03 -3.76075e+01 | 4.66e-04 1.94e-04 1.20e-03
6.812921e-01 -1.53658e-01 6.28388e-02 -5.47499e-03 1.92823e-03 1.21316e-02 3.66874e-03 4.34242e-03 6.71541e-03 -3.76076e+01 | 9.89e-05 7.18e-05 6.68e-04
1.000000e+00 -1.77313e-01 5.43193e-02 -5.76914e-03 1.91879e-03 1.41532e-02 3.28233e-03 4.04268e-03 7.15966e-03 -3.76074e+01 | 7.39e-05 3.42e-05 5.27e-04
1.467799e+00 -1.98756e-01 4.63148e-02 -5.67025e-03 1.83709e-03 1.60848e-02 2.92845e-03 3.62763e-03 7.54750e-03 -3.76070e+01 | 4.32e-05 3.89e-05 9.35e-04
2.154435e+00 -2.17327e-01 3.89562e-02 -5.31173e-03 1.68753e-03 1.78006e-02 3.02320e-03 3.15209e-03 7.99257e-03 -3.79394e+01 | 5.15e-05 1.03e-04 1.29e-03
3.162278e+00 -2.32838e-01 3.22961e-02 -4.73992e-03 1.50490e-03 1.92798e-02 2.71625e-03 2.63541e-03 8.21002e-03 -3.79388e+01 | 3.68e-05 1.24e-04 9.01e-04
4.641589e+00 -2.45337e-01 2.64216e-02 -4.09143e-03 1.29526e-03 2.05073e-02 2.42806e-03 2.14614e-03 8.36067e-03 -3.79382e+01 | 5.91e-05 1.93e-04 1.48e-03
6.812921e+00 -2.55127e-01 2.13271e-02 -3.46729e-03 1.08992e-03 2.15626e-02 2.12070e-03 1.67666e-03 8.45389e-03 -3.79377e+01 | 4.08e-05 1.64e-04 1.22e-03
1.000000e+01 -2.62551e-01 1.69937e-02 -2.85823e-03 8.94847e-04 2.23575e-02 1.50106e-03 1.34672e-03 8.40259e-03 -3.76044e+01 | 2.19e-05 1.31e-04 1.27e-03
1.467799e+01 -2.68120e-01 1.33886e-02 -2.32590e-03 7.18657e-04 2.30152e-02 1.31022e-03 9.95296e-04 8.44017e-03 -3.76040e+01 | 1.30e-05 1.50e-04 1.16e-03
2.154435e+01 -2.72200e-01 1.04131e-02 -1.85788e-03 5.66358e-04 2.34776e-02 8.74174e-04 7.54521e-04 8.37064e-03 -3.71926e+01 | 1.16e-05 1.94e-04 1.38e-03
3.162278e+01 -2.75151e-01 8.02832e-03 -1.46768e-03 4.40918e-04 2.38616e-02 7.85932e-04 5.83053e-04 8.40859e-03 -3.71923e+01 | 1.00e-05 1.89e-04 1.61e-03
4.641589e+01 -2.77259e-01 6.12613e-03 -1.14691e-03 3.40146e-04 2.41483e-02 6.95002e-04 4.17361e-04 8.41634e-03 -3.71920e+01 | 6.67e-06 2.63e-04 1.61e-03
6.812921e+01 -2.78744e-01 4.62598e-03 -8.70706e-04 2.57432e-04 2.43778e-02 6.34199e-04 3.12510e-04 8.44938e-03 -3.71918e+01 | 1.00e-05 4.58e-04 2.02e-03
1.000000e+02 -2.79793e-01 3.47476e-03 -6.71616e-04 1.93982e-04 2.45579e-02 5.84056e-04 2.01428e-04 8.45058e-03 -3.71917e+01 | 1.12e-05 5.73e-04 3.62e-03
