#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 -8.65305e-03 6.57645e-03 6.71695e-03 6.48135e-03
8.16157e-03 -8.64570e-03 6.57596e-03 6.71671e-03 6.48154e-03
2.44847e-02 -8.58689e-03 6.57201e-03 6.71479e-03 6.48306e-03
4.08078e-02 -8.61631e-03 6.56525e-03 6.71086e-03 6.48584e-03
5.71310e-02 -8.64575e-03 6.55491e-03 6.70374e-03 6.49029e-03
7.34541e-02 -8.67519e-03 6.54137e-03 6.69463e-03 6.49657e-03
8.97772e-02 -8.76345e-03 6.52367e-03 6.68330e-03 6.50380e-03
1.06100e-01 -8.73410e-03 6.50427e-03 6.66846e-03 6.51151e-03
1.22423e-01 -8.88120e-03 6.47786e-03 6.64988e-03 6.52061e-03
1.38747e-01 -8.79304e-03 6.44668e-03 6.62714e-03 6.53095e-03
1.55070e-01 -8.88134e-03 6.41034e-03 6.59991e-03 6.54156e-03
1.71393e-01 -8.94025e-03 6.36636e-03 6.56924e-03 6.55186e-03
1.87716e-01 -8.94035e-03 6.31431e-03 6.53160e-03 6.56214e-03
2.04039e-01 -8.99927e-03 6.25644e-03 6.48708e-03 6.57143e-03
2.20362e-01 -9.02880e-03 6.18663e-03 6.43386e-03 6.57871e-03
2.36685e-01 -9.29361e-03 6.10996e-03 6.37135e-03 6.58328e-03
2.53009e-01 -9.26434e-03 6.01740e-03 6.29652e-03 6.58418e-03
2.69332e-01 -9.26449e-03 5.91213e-03 6.20676e-03 6.57842e-03
2.85655e-01 -9.52935e-03 5.79040e-03 6.10190e-03 6.56429e-03
3.01978e-01 -9.73540e-03 5.64788e-03 5.97811e-03 6.53923e-03
3.18301e-01 -9.88266e-03 5.48173e-03 5.83204e-03 6.49940e-03
3.34509e-01 -9.94168e-03 5.28900e-03 5.65837e-03 6.43810e-03
3.49962e-01 -1.02360e-02 5.07430e-03 5.46231e-03 6.35326e-03
3.64119e-01 -1.05304e-02 4.84816e-03 5.25007e-03 6.24614e-03
3.77028e-01 -1.07659e-02 4.60892e-03 5.02449e-03 6.11854e-03
3.88800e-01 -1.10602e-02 4.36630e-03 4.78607e-03 5.97106e-03
3.99535e-01 -1.12663e-02 4.11625e-03 4.53591e-03 5.80296e-03
4.09326e-01 -1.13253e-02 3.85783e-03 4.27716e-03 5.61507e-03
4.18257e-01 -1.17079e-02 3.59245e-03 4.01140e-03 5.40764e-03
4.26405e-01 -1.20317e-02 3.32037e-03 3.73971e-03 5.18239e-03
4.33841e-01 -1.23849e-02 3.04416e-03 3.46357e-03 4.94005e-03
4.40627e-01 -1.26498e-02 2.76665e-03 3.18381e-03 4.68214e-03
4.46822e-01 -1.29147e-02 2.49340e-03 2.90312e-03 4.41012e-03
4.52481e-01 -1.30913e-02 2.22270e-03 2.62261e-03 4.12570e-03
4.57652e-01 -1.32974e-02 1.95189e-03 2.34112e-03 3.82856e-03
4.62380e-01 -1.35623e-02 1.67963e-03 2.05720e-03 3.51964e-03
4.66706e-01 -1.37684e-02 1.40915e-03 1.77030e-03 3.20038e-03
4.70668e-01 -1.42098e-02 1.14029e-03 1.48371e-03 2.87114e-03
4.74302e-01 -1.44747e-02 8.68952e-04 1.19876e-03 2.53172e-03
4.77640e-01 -1.46513e-02 5.98734e-04 9.14266e-04 2.18282e-03
4.80712e-01 -1.49456e-02 3.29271e-04 6.27008e-04 1.82377e-03
4.83548e-01 -1.50929e-02 5.90102e-05 3.36345e-04 1.45157e-03
4.86175e-01 -1.52401e-02 -2.11830e-04 4.07413e-05 1.06544e-03
4.88619e-01 -1.56226e-02 -4.88392e-04 -2.60303e-04 6.61705e-04
4.90908e-01 -1.58287e-02 -7.72265e-04 -5.73566e-04 2.33672e-04
4.93066e-01 -1.60053e-02 -1.07221e-03 -9.05890e-04 -2.30483e-04
4.95122e-01 -1.63291e-02 -1.40099e-03 -1.26698e-03 -7.48244e-04
4.97103e-01 -1.68000e-02 -1.77506e-03 -1.67205e-03 -1.35009e-03
4.99040e-01 -1.71238e-02 -2.21480e-03 -2.15491e-03 -2.08719e-03
5.00000e-01 -1.72344e-02 -2.46017e-03 -2.42637e-03 -2.50751e-03
