#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 -7.36834e-04 -6.65272e-04 -5.82153e-04 -3.75891e-04
8.33333e-03 -7.36538e-04 -6.64769e-04 -5.81798e-04 -3.75658e-04
2.50000e-02 -7.34615e-04 -6.60750e-04 -5.78957e-04 -3.73789e-04
4.16667e-02 -7.25000e-04 -6.52885e-04 -5.73226e-04 -3.69972e-04
5.83333e-02 -7.21154e-04 -6.40846e-04 -5.64553e-04 -3.64077e-04
7.50000e-02 -7.05769e-04 -6.24538e-04 -5.52673e-04 -3.55970e-04
9.16667e-02 -6.82692e-04 -6.04442e-04 -5.37236e-04 -3.45557e-04
1.08333e-01 -6.48077e-04 -5.81000e-04 -5.18173e-04 -3.32700e-04
1.25000e-01 -6.13462e-04 -5.54577e-04 -4.95553e-04 -3.17322e-04
1.41667e-01 -5.42308e-04 -5.24885e-04 -4.69394e-04 -2.99482e-04
1.58333e-01 -4.76923e-04 -4.92038e-04 -4.39615e-04 -2.79288e-04
1.75000e-01 -4.03846e-04 -4.55423e-04 -4.06024e-04 -2.56857e-04
1.91667e-01 -3.78846e-04 -4.14365e-04 -3.68361e-04 -2.32066e-04
2.08333e-01 -2.88462e-04 -3.68500e-04 -3.26486e-04 -2.04831e-04
2.25000e-01 -2.59615e-04 -3.17712e-04 -2.80207e-04 -1.75015e-04
2.41667e-01 -2.17308e-04 -2.61346e-04 -2.29216e-04 -1.42358e-04
2.58333e-01 -1.94231e-04 -1.98981e-04 -1.73226e-04 -1.06808e-04
2.75000e-01 -1.86538e-04 -1.30635e-04 -1.12226e-04 -6.81700e-05
2.91667e-01 -1.17308e-04 -5.64423e-05 -4.62404e-05 -2.63854e-05
3.08333e-01 -2.50000e-05 2.37885e-05 2.50096e-05 1.84746e-05
3.25000e-01 5.00000e-05 1.10481e-04 1.01293e-04 6.63000e-05
3.41667e-01 7.88462e-05 2.04538e-04 1.83269e-04 1.17431e-04
3.58333e-01 2.63462e-04 3.05769e-04 2.70817e-04 1.72592e-04
3.75000e-01 3.61538e-04 4.15385e-04 3.65240e-04 2.32892e-04
3.91667e-01 5.32692e-04 5.33077e-04 4.68029e-04 2.99208e-04
4.08333e-01 6.42308e-04 6.61346e-04 5.81683e-04 3.72246e-04
4.25000e-01 8.80769e-04 8.03462e-04 7.08365e-04 4.52977e-04
4.41667e-01 1.00000e-03 9.64808e-04 8.52308e-04 5.43492e-04
4.58333e-01 1.21538e-03 1.15462e-03 1.01957e-03 6.48162e-04
4.75000e-01 1.54615e-03 1.37750e-03 1.21918e-03 7.73400e-04
4.91667e-01 1.74615e-03 1.64904e-03 1.45894e-03 9.29146e-04
5.00000e-01 1.79712e-03 1.80305e-03 1.59388e-03 1.01846e-03
