#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.26918e-03 -1.22446e-03 -1.28162e-03 -1.46981e-03 -2.37800e-03
2.48076e-02 -3.67103e-03 -3.84536e-03 -4.40991e-03 -7.13419e-03
4.13459e-02 -6.11145e-03 -6.41080e-03 -7.35172e-03 -1.18896e-02
5.78843e-02 -8.54377e-03 -8.97921e-03 -1.02965e-02 -1.66424e-02
7.44227e-02 -1.09707e-02 -1.15512e-02 -1.32454e-02 -2.13915e-02
9.09610e-02 -1.33961e-02 -1.41281e-02 -1.61995e-02 -2.61349e-02
1.07499e-01 -1.58255e-02 -1.67114e-02 -1.91598e-02 -3.08702e-02
1.24038e-01 -1.82641e-02 -1.93027e-02 -2.21271e-02 -3.55959e-02
1.40576e-01 -2.07175e-02 -2.19038e-02 -2.51029e-02 -4.03121e-02
1.57115e-01 -2.31902e-02 -2.45163e-02 -2.80886e-02 -4.50190e-02
1.73653e-01 -2.56824e-02 -2.71409e-02 -3.10857e-02 -4.97169e-02
1.90191e-01 -2.81922e-02 -2.97785e-02 -3.40964e-02 -5.44049e-02
2.06730e-01 -3.07173e-02 -3.24313e-02 -3.71223e-02 -5.90827e-02
2.23268e-01 -3.32557e-02 -3.51013e-02 -4.01651e-02 -6.37501e-02
2.39806e-01 -3.58106e-02 -3.77920e-02 -4.32268e-02 -6.84067e-02
2.56345e-01 -3.83893e-02 -4.05068e-02 -4.63099e-02 -7.30532e-02
2.72883e-01 -4.10006e-02 -4.32485e-02 -4.94181e-02 -7.76904e-02
2.89421e-01 -4.36502e-02 -4.60197e-02 -5.25557e-02 -8.23203e-02
3.05960e-01 -4.63355e-02 -4.88239e-02 -5.57272e-02 -8.69467e-02
3.22498e-01 -4.90500e-02 -5.16661e-02 -5.89381e-02 -9.15730e-02
3.39037e-01 -5.17949e-02 -5.45526e-02 -6.21944e-02 -9.62035e-02
3.55575e-01 -5.45825e-02 -5.74916e-02 -6.55029e-02 -1.00842e-01
3.72103e-01 -5.74317e-02 -6.04912e-02 -6.88694e-02 -1.05492e-01
3.88437e-01 -6.03219e-02 -6.35288e-02 -7.22653e-02 -1.10111e-01
4.04358e-01 -6.32204e-02 -6.65735e-02 -7.56571e-02 -1.14653e-01
4.19848e-01 -6.61359e-02 -6.96319e-02 -7.90563e-02 -1.19132e-01
4.34961e-01 -6.91027e-02 -7.27325e-02 -8.24958e-02 -1.23584e-01
4.49756e-01 -7.21626e-02 -7.59178e-02 -8.60188e-02 -1.28059e-01
4.64298e-01 -7.53685e-02 -7.92547e-02 -8.96931e-02 -1.32634e-01
4.78654e-01 -7.88135e-02 -8.28439e-02 -9.36276e-02 -1.37415e-01
4.92897e-01 -8.26883e-02 -8.68602e-02 -9.79983e-02 -1.42555e-01
5.00000e-01 -8.47907e-02 -8.90325e-02 -1.00352e-01 -1.45266e-01
