#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.68849e-01 1.63991e-01 1.64500e-01 1.65624e-01
8.33333e-03 1.68846e-01 1.63990e-01 1.64499e-01 1.65622e-01
2.50000e-02 1.68827e-01 1.63984e-01 1.64491e-01 1.65604e-01
4.16667e-02 1.68846e-01 1.63972e-01 1.64476e-01 1.65568e-01
5.83333e-02 1.68846e-01 1.63954e-01 1.64453e-01 1.65514e-01
7.50000e-02 1.68808e-01 1.63929e-01 1.64422e-01 1.65440e-01
9.16667e-02 1.68769e-01 1.63900e-01 1.64384e-01 1.65347e-01
1.08333e-01 1.68769e-01 1.63865e-01 1.64338e-01 1.65235e-01
1.25000e-01 1.68750e-01 1.63823e-01 1.64283e-01 1.65103e-01
1.41667e-01 1.68712e-01 1.63775e-01 1.64220e-01 1.64952e-01
1.58333e-01 1.68692e-01 1.63722e-01 1.64149e-01 1.64780e-01
1.75000e-01 1.68673e-01 1.63663e-01 1.64068e-01 1.64590e-01
1.91667e-01 1.68596e-01 1.63598e-01 1.63979e-01 1.64380e-01
2.08333e-01 1.68538e-01 1.63527e-01 1.63882e-01 1.64150e-01
2.25000e-01 1.68462e-01 1.63450e-01 1.63776e-01 1.63901e-01
2.41667e-01 1.68327e-01 1.63367e-01 1.63661e-01 1.63632e-01
2.58333e-01 1.68288e-01 1.63276e-01 1.63538e-01 1.63341e-01
2.75000e-01 1.68192e-01 1.63179e-01 1.63405e-01 1.63027e-01
2.91667e-01 1.68115e-01 1.63072e-01 1.63261e-01 1.62690e-01
3.08333e-01 1.68000e-01 1.62958e-01 1.63107e-01 1.62330e-01
3.25000e-01 1.67827e-01 1.62836e-01 1.62940e-01 1.61946e-01
3.41667e-01 1.67692e-01 1.62704e-01 1.62762e-01 1.61538e-01
3.58333e-01 1.67654e-01 1.62565e-01 1.62573e-01 1.61105e-01
3.75000e-01 1.67538e-01 1.62416e-01 1.62370e-01 1.60643e-01
3.91667e-01 1.67423e-01 1.62257e-01 1.62154e-01 1.60152e-01
4.08333e-01 1.67250e-01 1.62087e-01 1.61923e-01 1.59627e-01
4.25000e-01 1.67019e-01 1.61905e-01 1.61675e-01 1.59067e-01
4.41667e-01 1.66808e-01 1.61708e-01 1.61405e-01 1.58466e-01
4.58333e-01 1.66692e-01 1.61492e-01 1.61108e-01 1.57818e-01
4.75000e-01 1.66519e-01 1.61252e-01 1.60779e-01 1.57107e-01
4.91667e-01 1.66231e-01 1.60983e-01 1.60414e-01 1.56330e-01
5.00000e-01 1.66043e-01 1.60837e-01 1.60217e-01 1.55917e-01
