#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.26918e-03 3.40741e-03 3.56559e-03 3.96974e-03 5.70452e-03
2.48076e-02 1.02238e-02 1.06984e-02 1.19108e-02 1.71136e-02
4.13459e-02 1.70450e-02 1.78359e-02 1.98564e-02 2.85196e-02
5.78843e-02 2.38743e-02 2.49813e-02 2.78099e-02 3.99173e-02
7.44227e-02 3.07149e-02 3.21378e-02 3.57739e-02 5.13051e-02
9.09610e-02 3.75703e-02 3.93088e-02 4.37514e-02 6.26802e-02
1.07499e-01 4.44441e-02 4.64979e-02 5.17452e-02 7.40374e-02
1.24038e-01 5.13400e-02 5.37088e-02 5.97584e-02 8.53742e-02
1.40576e-01 5.82619e-02 6.09456e-02 6.77944e-02 9.66897e-02
1.57115e-01 6.52141e-02 6.82122e-02 7.58570e-02 1.07983e-01
1.73653e-01 7.22009e-02 7.55128e-02 8.39502e-02 1.19255e-01
1.90191e-01 7.92276e-02 8.28522e-02 9.20790e-02 1.30501e-01
2.06730e-01 8.62996e-02 9.02357e-02 1.00248e-01 1.41722e-01
2.23268e-01 9.34231e-02 9.76696e-02 1.08464e-01 1.52919e-01
2.39806e-01 1.00605e-01 1.05161e-01 1.16733e-01 1.64091e-01
2.56345e-01 1.07853e-01 1.12717e-01 1.25061e-01 1.75241e-01
2.72883e-01 1.15175e-01 1.20347e-01 1.33458e-01 1.86371e-01
2.89421e-01 1.22580e-01 1.28060e-01 1.41933e-01 1.97485e-01
3.05960e-01 1.30081e-01 1.35867e-01 1.50497e-01 2.08590e-01
3.22498e-01 1.37692e-01 1.43782e-01 1.59163e-01 2.19693e-01
3.39037e-01 1.45428e-01 1.51822e-01 1.67949e-01 2.30805e-01
3.55575e-01 1.53312e-01 1.60007e-01 1.76876e-01 2.41938e-01
3.72103e-01 1.61361e-01 1.68357e-01 1.85961e-01 2.53102e-01
3.88437e-01 1.69516e-01 1.76808e-01 1.95132e-01 2.64198e-01
4.04358e-01 1.77696e-01 1.85278e-01 2.04297e-01 2.75110e-01
4.19848e-01 1.85925e-01 1.93792e-01 2.13479e-01 2.85866e-01
4.34961e-01 1.94281e-01 2.02427e-01 2.22766e-01 2.96558e-01
4.49756e-01 2.02877e-01 2.11300e-01 2.32278e-01 3.07310e-01
4.64298e-01 2.11893e-01 2.20593e-01 2.42205e-01 3.18311e-01
4.78654e-01 2.21612e-01 2.30599e-01 2.52849e-01 3.29855e-01
4.92897e-01 2.32606e-01 2.41878e-01 2.64776e-01 3.42430e-01
5.00000e-01 2.38592e-01 2.48004e-01 2.71233e-01 3.49119e-01
