#      phi      T0    U1_t
0.3 1.0093 2.7889e-06
0.3037 1.0381 3.6278e-05
0.30785 1.0789 0.00013636
0.31251 1.1236 0.00032512
0.31774 1.1725 0.00062491
0.32361 1.2261 0.0010599
0.33019 1.2846 0.0016575
0.33757 1.3484 0.0024475
0.34586 1.4179 0.0034601
0.35515 1.4933 0.0047242
0.36559 1.5752 0.0062654
0.37729 1.6639 0.008102
0.39042 1.7597 0.010241
0.40516 1.863 0.012674
0.42169 1.9742 0.015371
0.44024 2.0935 0.018271
0.46105 2.2211 0.021286
0.4844 2.3573 0.024286
0.5106 2.502 0.027107
0.54 2.6528 0.029518
0.57111 2.8028 0.031277
0.60222 2.946 0.032287
0.63333 3.0811 0.032596
0.66444 3.2085 0.032297
0.69556 3.3291 0.031488
0.72667 3.4431 0.030265
0.75778 3.551 0.028717
0.78889 3.6534 0.026929
0.82 3.7504 0.024975
0.85111 3.8424 0.022921
0.88222 3.9298 0.020823
0.91333 4.0127 0.018726
0.94444 4.0915 0.016672
0.97556 4.1664 0.01469
1.0067 4.2376 0.012805
1.0378 4.3053 0.011036
1.0689 4.3697 0.0093959
1.1 4.4309 0.0078931
1.1311 4.4892 0.0065327
1.1622 4.5447 0.005316
1.1933 4.5975 0.0042419
1.2244 4.6477 0.0033072
1.2556 4.6956 0.0025067
1.2867 4.7411 0.001834
1.3178 4.7845 0.0012815
1.3489 4.8258 0.00084101
1.38 4.8644 0.00050877
1.4089 4.8985 0.00028323
1.4326 4.9262 0.00014721
1.452 4.9481 7.0559e-05
1.4678 4.9655 2.9357e-05
1.4808 4.9794 9.2132e-06
1.4913 4.9906 1.3297e-06
1.5 4.9978 -1.9999e-07
