#      phi      T0    U1_t
0 1 0
0.096597 1 0
0.19045 1 0
0.28039 1 0
0.3645 1 0
0.44371 1 0
0.51771 1 0
0.58566 1 0
0.64878 1 0
0.70729 1 0
0.7608 1 0
0.81041 1 0
0.85646 1 0
0.89899 1 0
0.93841 1 0
0.97523 1 0
1.0097 1 0
1.0418 1 0
1.072 1 0
1.1004 1 0
1.1273 1 0
1.1528 1 0
1.1769 1 0
1.1999 1 0
1.2218 1 0
1.2428 1 0
1.2629 1 0
1.2823 1 0
1.3009 1 0
1.3189 1 0
1.3363 1 0
1.3531 1 0
1.3694 1 0
1.3853 1 0
1.4006 1 0
1.4155 1 0
1.4301 1 0
1.4442 1 0
1.4578 1 0
1.4711 1 0
1.484 1 0
1.4964 1 0
1.5084 1 0
1.5199 1 0
1.531 1 0
1.5416 1 0
1.5518 1 0
1.5615 1 0
1.5708 1 0
