#      phi   TMean UMean_t
0 1.0763 0
0.096597 1.0767 -0.00056119
0.19045 1.0773 0.0014556
0.28039 1.078 0.0025499
0.36449 1.0789 0.0035342
0.44371 1.08 0.0042524
0.51771 1.0813 0.0048181
0.58566 1.0828 0.0052934
0.64878 1.0845 0.0057905
0.70729 1.0863 0.0063058
0.7608 1.0883 0.0066043
0.81041 1.0905 0.0069332
0.85646 1.0928 0.007528
0.89899 1.0953 0.007872
0.93841 1.098 0.0078514
0.97523 1.1009 0.0081286
1.0097 1.1039 0.0088135
1.0418 1.1072 0.0091844
1.072 1.1106 0.009071
1.1004 1.1143 0.0089474
1.1273 1.1181 0.0095958
1.1528 1.1221 0.010825
1.1769 1.1264 0.010807
1.1999 1.1309 0.00921
1.2218 1.1355 0.0090231
1.2428 1.1405 0.011523
1.2629 1.1457 0.011853
1.2823 1.1511 0.0085813
1.3009 1.1566 0.0073238
1.3189 1.1625 0.0096
1.3363 1.1685 0.010601
1.3531 1.1744 0.0074088
1.3694 1.1808 0.005542
1.3853 1.1878 0.0061739
1.4006 1.1938 0.0057057
1.4156 1.1995 0.002656
1.4301 1.2058 0.00018088
1.4442 1.2119 0.0025772
1.4578 1.2175 0.0037019
1.4711 1.2227 0.00071459
1.484 1.2274 0.00063449
1.4964 1.2318 -7.89e-05
1.5084 1.2355 -0.0011858
1.5199 1.2384 -0.0003705
1.531 1.2409 -0.0010139
1.5416 1.2427 -0.0014497
1.5518 1.2437 -0.00028611
1.5615 1.2436 0.0057142
1.5708 1.2426 0
