#      phi   TMean UMean_t
0.7 1.2576 0.0047571
0.70093 1.2944 0.0043097
0.70196 1.3372 -0.0013178
0.70313 1.3777 -0.0026548
0.70444 1.4186 -0.0038473
0.7059 1.4609 -0.0048869
0.70755 1.5054 -0.0059411
0.70939 1.5526 -0.007074
0.71146 1.603 -0.0082964
0.71379 1.657 -0.0096351
0.7164 1.715 -0.011132
0.71932 1.7774 -0.012777
0.72261 1.8444 -0.014442
0.72629 1.9164 -0.016143
0.73042 1.9936 -0.017854
0.73506 2.0763 -0.019194
0.74026 2.1649 -0.019902
0.7461 2.2595 -0.020117
0.75265 2.3604 -0.020595
0.76 2.4663 -0.021789
0.76778 2.5728 -0.022325
0.77556 2.6757 -0.021148
0.78333 2.7739 -0.018989
0.79111 2.8679 -0.01669
0.79889 2.9581 -0.014498
0.80667 3.045 -0.012375
0.81444 3.1288 -0.010358
0.82222 3.2098 -0.0085054
0.83 3.2882 -0.006805
0.83778 3.3644 -0.0052185
0.84556 3.4384 -0.0037398
0.85333 3.5105 -0.0023849
0.86111 3.5807 -0.0011536
0.86889 3.6493 -7.3072e-05
0.87667 3.7164 0.00084037
0.88444 3.7821 0.0016158
0.89222 3.8465 0.0022776
0.9 3.9097 0.0028354
0.90778 3.9719 0.0033035
0.91556 4.0332 0.0036648
0.92333 4.0936 0.0038892
0.93111 4.1534 0.0039728
0.93889 4.2127 0.0039381
0.94667 4.2717 0.0038019
0.95444 4.3306 0.0035635
0.96222 4.3899 0.0031427
0.97 4.4489 0.002518
0.97724 4.5046 0.0019583
0.98316 4.5538 0.0015793
0.98799 4.5963 0.0012293
0.99195 4.6337 0.00085311
0.99519 4.6677 0.00062437
0.99784 4.7004 0.0015683
1 4.7278 0.0012707
