#      phi      T0    U1_t
0.7 1.0086 8.7524e-06
0.70092 1.0349 9.2028e-05
0.70196 1.072 0.00032604
0.70313 1.1126 0.00075077
0.70443 1.1569 0.0014048
0.7059 1.2051 0.0023261
0.70755 1.2575 0.0035553
0.70939 1.3143 0.0051325
0.71147 1.3758 0.0070943
0.71379 1.4422 0.0094703
0.7164 1.5139 0.01228
0.71932 1.591 0.01553
0.7226 1.6738 0.019208
0.72629 1.7626 0.02328
0.73042 1.8576 0.027686
0.73506 1.959 0.032339
0.74026 2.0671 0.03712
0.7461 2.1822 0.041879
0.75265 2.3045 0.046437
0.76 2.4321 0.050529
0.76778 2.5598 0.053844
0.77556 2.6825 0.056237
0.78333 2.7994 0.057749
0.79111 2.9112 0.058478
0.79889 3.0183 0.058514
0.80667 3.1213 0.057942
0.81444 3.2206 0.056841
0.82222 3.3166 0.055283
0.83 3.4095 0.053335
0.83778 3.4996 0.051055
0.84556 3.5871 0.0485
0.85333 3.6722 0.045719
0.86111 3.7552 0.04276
0.86889 3.8362 0.039665
0.87667 3.9153 0.036474
0.88444 3.9927 0.033227
0.89222 4.0684 0.029957
0.9 4.1427 0.0267
0.90778 4.2156 0.023489
0.91556 4.2872 0.020354
0.92333 4.3575 0.017328
0.93111 4.4267 0.014441
0.93889 4.4949 0.011724
0.94667 4.562 0.0092088
0.95444 4.6282 0.0069255
0.96222 4.6936 0.0049069
0.97 4.7569 0.0032139
0.97724 4.8147 0.0019375
0.98316 4.8632 0.0010878
0.988 4.9026 0.0005647
0.99195 4.9346 0.00025895
0.99519 4.9607 9.5398e-05
0.99784 4.9819 2.1892e-05
1 4.9957 1.1035e-06
